"","CU_name","Return.Year","TribDeme","Estimate"
"1","Fraser Canyon",1975,"Nahatlatch R",9504
"2","Fraser Canyon",1976,"Nahatlatch R",8130
"3","Fraser Canyon",1977,"Nahatlatch R",12260
"4","Fraser Canyon",1978,"Nahatlatch R",11372
"5","Fraser Canyon",1979,"Nahatlatch R",9498
"6","Fraser Canyon",1980,"Nahatlatch R",5462
"7","Fraser Canyon",1981,"Nahatlatch R",6836
"8","Fraser Canyon",1982,"Nahatlatch R",8063
"9","Fraser Canyon",1983,"Nahatlatch R",7597
"10","Fraser Canyon",1984,"Nahatlatch R",14925
"11","Fraser Canyon",1985,"Nahatlatch R",10084
"12","Fraser Canyon",1986,"Nahatlatch R",11403
"13","Fraser Canyon",1987,"Nahatlatch R",13187
"14","Fraser Canyon",1988,"Nahatlatch R",16060
"15","Fraser Canyon",1989,"Nahatlatch R",11206
"16","Fraser Canyon",1990,"Nahatlatch R",7110
"17","Fraser Canyon",1991,"Nahatlatch R",4674
"18","Fraser Canyon",1992,"Nahatlatch R",7506
"19","Fraser Canyon",1993,"Nahatlatch R",2406
"20","Fraser Canyon",1994,"Nahatlatch R",4348
"21","Fraser Canyon",1995,"Nahatlatch R",3519
"22","Fraser Canyon",1996,"Nahatlatch R",1473
"23","Fraser Canyon",1997,"Nahatlatch R",1964
"24","Fraser Canyon",1998,"Nahatlatch R",5460
"25","Fraser Canyon",1999,"Nahatlatch R",4096
"26","Fraser Canyon",2000,"Nahatlatch R",2719
"27","Fraser Canyon",2001,"Nahatlatch R",5971
"28","Fraser Canyon",2002,"Nahatlatch R",3817
"29","Fraser Canyon",2003,"Nahatlatch R",4552
"30","Fraser Canyon",2004,"Nahatlatch R",5872
"31","Fraser Canyon",2005,"Nahatlatch R",2269
"32","Fraser Canyon",2006,"Nahatlatch R",1605
"33","Fraser Canyon",2007,"Nahatlatch R",2739
"34","Fraser Canyon",2008,"Nahatlatch R",1138
"35","Fraser Canyon",2009,"Nahatlatch R",2308
"36","Fraser Canyon",2010,"Nahatlatch R",2227
"37","Fraser Canyon",2011,"Nahatlatch R",3189
"38","Fraser Canyon",2012,"Nahatlatch R",5134
"39","Fraser Canyon",2013,"Nahatlatch R",5398
"40","Fraser Canyon",2014,"Nahatlatch R",1048
"41","Fraser Canyon",2015,"Nahatlatch R",352
"42","Fraser Canyon",2016,"Nahatlatch R",1160
"43","Fraser Canyon",2017,"Nahatlatch R",1657
"44","Fraser Canyon",2018,"Nahatlatch R",4916
"45","Lower Thompson",1975,"Bonaparte R",NA
"46","Lower Thompson",1975,"Coldwater R",NA
"47","Lower Thompson",1975,"Deadman R",NA
"48","Lower Thompson",1975,"Spius Cr",NA
"49","Lower Thompson",1975,"Tranquille R",NA
"50","Lower Thompson",1976,"Bonaparte R",NA
"51","Lower Thompson",1976,"Coldwater R",NA
"52","Lower Thompson",1976,"Deadman R",NA
"53","Lower Thompson",1976,"Spius Cr",NA
"54","Lower Thompson",1976,"Tranquille R",NA
"55","Lower Thompson",1977,"Bonaparte R",NA
"56","Lower Thompson",1977,"Coldwater R",NA
"57","Lower Thompson",1977,"Deadman R",NA
"58","Lower Thompson",1977,"Spius Cr",NA
"59","Lower Thompson",1977,"Tranquille R",NA
"60","Lower Thompson",1978,"Bonaparte R",NA
"61","Lower Thompson",1978,"Coldwater R",NA
"62","Lower Thompson",1978,"Deadman R",NA
"63","Lower Thompson",1978,"Spius Cr",NA
"64","Lower Thompson",1978,"Tranquille R",NA
"65","Lower Thompson",1979,"Bonaparte R",NA
"66","Lower Thompson",1979,"Coldwater R",NA
"67","Lower Thompson",1979,"Deadman R",NA
"68","Lower Thompson",1979,"Spius Cr",NA
"69","Lower Thompson",1979,"Tranquille R",NA
