"","CU_name","Return.Year","TribDeme","Estimate"
"1","Fraser Canyon",1975,"Fraser R",NA
"2","Fraser Canyon",1975,"Kwoiek Cr",NA
"3","Fraser Canyon",1975,"Nahatlatch R",9504
"4","Fraser Canyon",1976,"Fraser R",NA
"5","Fraser Canyon",1976,"Kwoiek Cr",NA
"6","Fraser Canyon",1976,"Nahatlatch R",8130
"7","Fraser Canyon",1977,"Fraser R",NA
"8","Fraser Canyon",1977,"Kwoiek Cr",NA
"9","Fraser Canyon",1977,"Nahatlatch R",12260
"10","Fraser Canyon",1978,"Fraser R",NA
"11","Fraser Canyon",1978,"Kwoiek Cr",NA
"12","Fraser Canyon",1978,"Nahatlatch R",11372
"13","Fraser Canyon",1979,"Fraser R",NA
"14","Fraser Canyon",1979,"Kwoiek Cr",NA
"15","Fraser Canyon",1979,"Nahatlatch R",9498
"16","Fraser Canyon",1980,"Fraser R",NA
"17","Fraser Canyon",1980,"Kwoiek Cr",NA
"18","Fraser Canyon",1980,"Nahatlatch R",5462
"19","Fraser Canyon",1981,"Fraser R",NA
"20","Fraser Canyon",1981,"Kwoiek Cr",NA
"21","Fraser Canyon",1981,"Nahatlatch R",6836
"22","Fraser Canyon",1982,"Fraser R",NA
"23","Fraser Canyon",1982,"Kwoiek Cr",NA
"24","Fraser Canyon",1982,"Nahatlatch R",8063
"25","Fraser Canyon",1983,"Fraser R",NA
"26","Fraser Canyon",1983,"Kwoiek Cr",NA
"27","Fraser Canyon",1983,"Nahatlatch R",7597
"28","Fraser Canyon",1984,"Fraser R",NA
"29","Fraser Canyon",1984,"Kwoiek Cr",NA
"30","Fraser Canyon",1984,"Nahatlatch R",14925
"31","Fraser Canyon",1985,"Fraser R",NA
"32","Fraser Canyon",1985,"Kwoiek Cr",NA
"33","Fraser Canyon",1985,"Nahatlatch R",10084
"34","Fraser Canyon",1986,"Fraser R",NA
"35","Fraser Canyon",1986,"Kwoiek Cr",NA
"36","Fraser Canyon",1986,"Nahatlatch R",11403
"37","Fraser Canyon",1987,"Fraser R",NA
"38","Fraser Canyon",1987,"Kwoiek Cr",NA
"39","Fraser Canyon",1987,"Nahatlatch R",13187
"40","Fraser Canyon",1988,"Fraser R",NA
"41","Fraser Canyon",1988,"Kwoiek Cr",NA
"42","Fraser Canyon",1988,"Nahatlatch R",16060
"43","Fraser Canyon",1989,"Fraser R",NA
"44","Fraser Canyon",1989,"Kwoiek Cr",NA
"45","Fraser Canyon",1989,"Nahatlatch R",11206
"46","Fraser Canyon",1990,"Fraser R",NA
"47","Fraser Canyon",1990,"Kwoiek Cr",NA
"48","Fraser Canyon",1990,"Nahatlatch R",7110
"49","Fraser Canyon",1991,"Fraser R",NA
"50","Fraser Canyon",1991,"Kwoiek Cr",NA
"51","Fraser Canyon",1991,"Nahatlatch R",4674
"52","Fraser Canyon",1992,"Fraser R",NA
"53","Fraser Canyon",1992,"Kwoiek Cr",NA
"54","Fraser Canyon",1992,"Nahatlatch R",7506
"55","Fraser Canyon",1993,"Fraser R",NA
"56","Fraser Canyon",1993,"Kwoiek Cr",NA
"57","Fraser Canyon",1993,"Nahatlatch R",2406
"58","Fraser Canyon",1994,"Fraser R",NA
"59","Fraser Canyon",1994,"Kwoiek Cr",NA
"60","Fraser Canyon",1994,"Nahatlatch R",4348
"61","Fraser Canyon",1995,"Fraser R",NA
"62","Fraser Canyon",1995,"Kwoiek Cr",NA
"63","Fraser Canyon",1995,"Nahatlatch R",3519
"64","Fraser Canyon",1996,"Fraser R",NA
"65","Fraser Canyon",1996,"Kwoiek Cr",NA
"66","Fraser Canyon",1996,"Nahatlatch R",1473
"67","Fraser Canyon",1997,"Fraser R",NA
"68","Fraser Canyon",1997,"Kwoiek Cr",NA
"69","Fraser Canyon",1997,"Nahatlatch R",1964
"70","Fraser Canyon",1998,"Fraser R",NA
"71","Fraser Canyon",1998,"Kwoiek Cr",NA
"72","Fraser Canyon",1998,"Nahatlatch R",5460
"73","Fraser Canyon",1999,"Fraser R",NA
"74","Fraser Canyon",1999,"Kwoiek Cr",NA
"75","Fraser Canyon",1999,"Nahatlatch R",4096
"76","Fraser Canyon",2000,"Fraser R",NA
