"CU_Name","CU_acro","DU_ID","CU_ID","Pop_Name","Pop_ID","Year","EstClass","TotalInfilled","pNOS_Used","TotalInfilledAdj","StartYear","UseYear"
"Upper Fraser River_SP_1.3","UFR-spring","DU11","CK-12","DRISCOLL CREEK",125,2002,"QualFiltered",NA,1,NA,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1995,"INFILL",101.69484671636,1,101.69484671636,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1996,"INFILL",118.421450259846,1,118.421450259846,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1997,"INFILL",147.245566381754,1,147.245566381754,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1998,"INFILL",202.043425109985,1,202.043425109985,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1999,"INFILL",110.628056124909,1,110.628056124909,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2000,"INFILL",48.352253171871,1,48.352253171871,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2001,"INFILL",88.8523468672566,1,88.8523468672566,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2002,"RELATIVE ABUNDANCE (TYPE-4)",2,1,2,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2003,"INFILL",206.104894283666,1,206.104894283666,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2004,"INFILL",183.393515707592,1,183.393515707592,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2005,"INFILL",138.834948176339,1,138.834948176339,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2006,"RELATIVE ABUNDANCE (TYPE-4)",37,1,37,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2007,"RELATIVE ABUNDANCE (TYPE-4)",182,1,182,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2008,"INFILL",96.4829819010698,1,96.4829819010698,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2009,"INFILL",84.6262703463869,1,84.6262703463869,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2010,"INFILL",73.3291006386467,1,73.3291006386467,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2011,"RELATIVE ABUNDANCE (TYPE-4)",704,1,704,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2012,"RELATIVE ABUNDANCE (TYPE-4)",15,1,15,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2013,"RELATIVE ABUNDANCE (TYPE-4)",62,1,62,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2014,"INFILL",88.6327933313349,1,88.6327933313349,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2015,"RELATIVE ABUNDANCE (TYPE-4)",81,1,81,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2016,"RELATIVE ABUNDANCE (TYPE-3)",48,1,48,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2017,"INFILL",125.101139131781,1,125.101139131781,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2018,"RELATIVE ABUNDANCE (TYPE-3)",35,1,35,NA,TRUE
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2019,"RELATIVE ABUNDANCE (TYPE-3)",25,1,25,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","MESACHIE CREEK",164,1986,"TRUE ABUNDANCE (TYPE-1)",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","PATRICIA CREEK",214,1990,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","PATRICIA CREEK",214,1991,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","PATRICIA CREEK",214,1992,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","PATRICIA CREEK",214,2001,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","ROBERTSON RIVER",234,1990,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","ROBERTSON RIVER",234,1991,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","ROBERTSON RIVER",234,2000,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,1991,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,1992,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,1993,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,1996,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,1999,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,2000,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,2001,"RELATIVE ABUNDANCE (TYPE-3)",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,2003,"QualFiltered",NA,1,NA,NA,TRUE
"East Vancouver Island-Cowichan & Koksilah_FA_0.x","CWCH-KOK","DU21","CK-22","SHAW CREEK",244,2004,"TRUE ABUNDANCE (TYPE-2)",NA,1,NA,NA,TRUE
"North Thompson_SP_1.3","NTh-spr","DU16","CK-18","ALBREDA RIVER",290,2000,"OtherSource",NA,1,NA,NA,TRUE
"Fraser-Cross-CU Supplementation Exclusion","FR-XCU","DU_NA","CK-9006","ALOUETTE RIVER",294,2018,"OtherSource",NA,1,NA,NA,TRUE
"Fraser-Cross-CU Supplementation Exclusion","FR-XCU","DU_NA","CK-9006","ALOUETTE RIVER",294,2019,"OtherSource",NA,1,NA,NA,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1980,"OtherSource",18,0.556551724137931,5.57549678953627,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1981,"OtherSource",83,0.556551724137931,25.709235196195,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1982,"OtherSource",75,0.556551724137931,23.2312366230678,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1983,"OtherSource",57,0.556551724137931,17.6557398335315,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1984,"OtherSource",155,0.556551724137931,48.0112223543401,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1985,"OtherSource",150,0.556551724137931,46.4624732461355,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1986,"OtherSource",36,0.556551724137931,11.1509935790725,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1987,"OtherSource",4,0.556551724137931,1.23899928656361,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1988,"OtherSource",37,0.556551724137931,11.4607434007134,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1990,"OtherSource",58,0.556551724137931,17.9654896551724,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1991,"OtherSource",88,0.556551724137931,27.2579843043995,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1992,"OtherSource",19,0.556551724137931,5.88524661117717,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1993,"OtherSource",34,0.556551724137931,10.5314939357907,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1994,"OtherSource",34,0.556551724137931,10.5314939357907,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1995,"OtherSource",103,0.556551724137931,31.9042316290131,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1996,"OtherSource",201,0.556551724137931,62.2597141498216,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1997,"OtherSource",440,0.556551724137931,136.289921521998,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1998,"OtherSource",173,0.556551724137931,53.5867191438763,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1999,"OtherSource",73,0.556551724137931,22.611736979786,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2000,"OtherSource",186,0.556551724137931,57.6134668252081,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2001,"OtherSource",150,0.556551724137931,46.4624732461355,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2002,"OtherSource",76,0.556551724137931,23.5409864447087,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2003,"OtherSource",115,0.556551724137931,35.6212294887039,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2004,"OtherSource",60,0.556551724137931,18.5849892984542,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2005,"OtherSource",45,0.556551724137931,13.9387419738407,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2006,"OtherSource",46,0.556551724137931,14.2484917954816,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2007,"OtherSource",112,0.556551724137931,34.6919800237812,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2008,"OtherSource",31,0.556551724137931,9.60224447086801,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2009,"OtherSource",65,0.556551724137931,20.1337384066587,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2010,"OtherSource",317,0.556551724137931,98.1906934601664,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2011,"OtherSource",266,0.556551724137931,82.3934525564804,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2012,"OtherSource",319,0.556551724137931,98.8101931034482,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2013,"OtherSource",366,0.556551724137931,113.368434720571,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2014,"OtherSource",284,0.556551724137931,87.9689493460166,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2015,"OtherSource",192,0.556551724137931,59.4719657550535,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2016,"OtherSource",245,0.556551724137931,75.8887063020214,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2017,"OtherSource",161,0.556551724137931,49.8697212841855,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2018,"OtherSource",103,0.556551724137931,31.9042316290131,1979,TRUE
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,2019,"OtherSource",36,0.556551724137931,11.1509935790725,1979,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1984,"OtherSource",204,0.470606060606061,45.1798931129477,1986,FALSE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1985,"RELATIVE ABUNDANCE (TYPE-4)",1492,0.470606060606061,330.4333359045,1986,FALSE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1986,"OtherSource",4469,0.470606060606061,989.749717263546,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1987,"OtherSource",17271,0.470606060606061,3825.0094801653,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1988,"RELATIVE ABUNDANCE (TYPE-4)",14466,0.470606060606061,3203.78594986226,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1989,"OtherSource",3333,0.470606060606061,738.159724242426,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1990,"OtherSource",1795,0.470606060606061,397.538765381084,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1991,"OtherSource",9353,0.470606060606061,2071.40951120294,1986,TRUE
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1992,"OtherSource",38177,0.470606060606061,8455.06264398532,1986,TRUE
