Year,Barnes Creek,Blaney Creek,Chilqua Slough & Creek,Coghlan Creek,Hicks Creek,Hopedale Creek,Kanaka Creek,MacIntyre Creek,Nathan Creek,Norrish (Suicide) Creek,North Alouette River,Peach Creek,Post Creek,Salmon River,Siddall Creek,Silverdale Creek,Squawkum Creek,Street Creek,Sweltzer Creek,Wahleach Creek,Whonnock Creek,Widgeon Creek,Worth Creek
2001,176,5266,4150,144,1432,4978,1388,1779,90,6504,271,,,16,,633,,2990,,,,12672,930
2002,86,675,2539,156,500,2616,15630,215,212,7804,,,,150,17,6433,12454,2682,,,,,1470
2003,,,,,,,,,,,,,,,,,,,,,,,
2004,121,5603,2553,306,927,2496,17310,2281,81,,4000,11465,,222,,13969,22762,2720,,,,8204,1292
2005,67,,792,185,523,1139,3896,,102,,,7618,,,,3789,17684,,,,21,,487
2006,157,,813,517,570,1137,11771,,148,,,3682,,,16,1635,22832,,,,,,449
2007,1,,143,14,186,759,1927,,,,,2928,,,,1685,15430,,,,,,134
2008,90.80263158,5387.116987,50.60979135,95.58406367,1334.714998,1210.803493,7708.654109,,77.79411765,,,3643.097502,0,,,1458.774814,21253.15805,,4890.219118,,,,669.9575163
2009,44,4753,0,,628,877,4424,464,,,,1673,0,,,1312,11283,287,,,,2950,148
2010,1,237,,,412,709,486,41,,,,1458,,,,208,9274,210,,0,0,1216,273
2011,12,1562,0,,52,1134,2381,1560,,,,1858,0,,157,1009,34064,337,,,,5722,226
2012,250,2294,8,,602,976,2797,329,,,,1509,,,27,1289,20646,196,,,1170,3016,153
2013,10,2366,11,,298,1018,3351,188,,,,4124,,,1,1431,16946,75,,0,730,310,229
2014,3,1738,0,,445,1021,1022,178,,,,1837,,,0,960,19549,170,,0,188,1607,254
2015,53,1768,311,,168,825,1586,696,,,,775,,,29,653,8336,604,,0,415,968,655
2016,276,4607,2051,,459,1603,5549,1688,,,,2046,,,10,2981,27288,454,,0,267,5128,3591
2017,11,1157,1488,,208,520,2071,178,,,,2603,,,1,1366,6944,407,,0,613,1214,251
2018,0,0,0,,0,0,0,0,,,,0,,,0,0,6261,0,,0,0,0,0
2019,13,692,166,,33,259,1070,62,,,,2327,,,0,610,8387,157,,0,393,128,43
2020,21,2757,741,,302,1085,9548,370,,,,2016,,,974,3943,14277,282,,,1337,657,57
2021,9,1812,446,,107,1016,1309,120,,,,2546,,,3886,534,15101,330,,,457,812,155
2022,13,2203,18,,16,1709,2476,188,,,,2361,,,2692,630,5744,547,,,610,332,68
