Year,Stave River,Inch Creek,Harrison River,Chehalis River,Weaver Creek,Chilliwack_MYTOTAL ,Chilliwack_OG ,Extensive
1998,500000,42399,2291151,275748,38090,413654,413654,0
1999,320000,23262,1896120,276389,43009,426672,426672,0
2000,105000,9602,425236,44833,9886,105419,105419,0
2001,625000,24794,2014862,150419,26628,288004,288004,22186
2002,475000,26017,1458066,61266,10591,266648,215725,55630
2003,200000,24945,1080967,43326,25000,142601,120253,0
2004,440000,32776,1756873,100298,33455,270637,231881,120991
2005,300000,17211,746435,104114,11122,148211,125059,27778
2006,320000,29396,1286856,100618,15334,194291,175425,43825
2007,235000,8016,624443,46751,13767,119204,106577,22756
2008,190000,11631,588561,31431,16346,105643,96546,47506
2009,150000,5844,219612,2880,11797,64281,55303,29114
2010,80000,7135,419478,5179,10163,61615,72175,14566
2011,225000,25960,621118,26381,24537,116985,140105,50093
2012,175000,18794,1035546,8980,27661,131341,171252,35612
2013,165000,22433,605737,24033,25924,96545,133206,31663
2014,125000,11704,871800,17596,18032,102864,146105,29645
2015,120000,18657,672024,12012,10619,89472,129023,19497
2016,305000,25196,1409959,21877,22704,201223,205326,61296
2017,125000,11093,453422,21684,9437,51226,54756,22340
2018,69000,8223,568163,22203,9310,39489,39489,6044
2019,80000,4901,184222,4859,2495,24689,27432,14854
2020,160000,,,,,,,
2021,62000,,,,,,,
