Year,Harrison.River.MR,Chehalis.swimins,Chehalis.inriver,Weaver.swimins,Weaver.inriver.us,Weaver.inriver.ds,Squawkum,Harrison.River.total.estimate,Comments
1995,1210819,,,,,,,1210819,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel. Do not have SEP numbers, need to add these for total system estimate."
1996,503632,,,,,,,560021,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel. Do not have SEP numbers, used swim-ins reported in the JOT report (56,389) for total system estimate."
1997,924330,,,,,,,924330,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel. Do not have SEP numbers, need to add these for total system estimate."
1998,2291151,75748,200000,35590,2500,NA,,2402489,"Report not available for 1998 but assumed to be similar methodology to 1997 & 2003: MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
1999,1896120,101389,175000,39009,4000,NA,,2036518,"Report not available for 1999 but assumed to be similar methodology to 1997 & 2003: MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2000,425236,17833,27000,6286,3600,NA,,449355,"Report not available for 2000 but assumed to be similar methodology to 1997 & 2003: MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2001,2014862,69419,81000,23628,3000,NA,,2107909,"Report not available for 2001 but assumed to be similar methodology to 1997 & 2003: MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2002,1458066,31221,30045,8568,2023,NA,12454,1497855,"Report not available for 2002 but assumed to be similar methodology to 1997 & 2003: MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2003,1080967,23326,20000,13829,11171,NA,,1118122,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2004,1756873,55298,45000,23455,10000,NA,22762,1835626,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2005,746435,27114,77000,9945,1177,NA,17684,783494,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2006,1286856,73618,27000,13834,1500,NA,22832,1374308,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2007,624443,26751,20000,10611,3156,NA,15430,677235,"MR estimate includes Chehalis and Weaver in-river spawners, does not include Squawkum, Chehalis hatchery swim-ins or Weaver spawning channel"
2008,588561,31431,NA,14248,2098,NA,21253,634240,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2009,219612,2880,NA,10888,909,NA,11283,233380,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2010,419478,5179,NA,8297,1866,NA,9274,432954,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2011,621118,26381,NA,20270,4267,NA,34064,667769,"MR estimate includes Chehalis and Weaver in-river spawners and Squawkum, does not include Chehalis hatchery swim-ins or Weaver spawning channel"
2012,1035546,8980,NA,25506,2155,NA,20646,1035546,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
2013,605737,24033,NA,20107,660,5157,16946,648607,"MR estimate includes Chehalis hatchery swim-ins and in-river spawners, does not include Weaver Creek swim-ins or in-river spawners, does not include Squawkum"
2014,871800,17596,NA,17157,875,NA,19549,871800,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
2015,672024,12012,NA,3152,7467,NA,8336,672024,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
2016,1409959,21877,NA,1571,21133,NA,27288,1409959,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
2017,453422,21684,NA,6043,3394,NA,6944,453422,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
2018,568163,22203,NA,2689,6621,NA,6261,568163,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
2019,184222,4859,NA,582,1913,NA,8387,184222,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
2020,345580,11354,NA,2479,2081,NA,14277,345580,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
2021,419590,3782,NA,4585,2144,NA,15206,419590,"MR estimate includes all hatchery swim-ins and (Chehalis and Weaver Channel) as well as in-river spawners (Chehalis, Weaver, and Squawkum)"
