"","Year","Check.Natural.Returns","Total_Spawners","Natural_Origin_Spawners","Hatchery_Origin_Spawners","Ret.Nat","Ret.Hat","Ret.Total","PF.Nat","PF.Hat","PF.Total"
"1",1998,0,5460,5460,0,5460,0,5460,5874,0,5874
"2",1999,0,4096,4096,0,4096,0,4096,4502,0,4502
"3",2000,0,2719,2719,0,2719,0,2719,2819,0,2819
"4",2001,0,5971,5971,0,5971,0,5971,6427,0,6427
"5",2002,0,3817,3817,0,3817,0,3817,4141,0,4141
"6",2003,0,4552,4552,0,4552,0,4552,5227,0,5227
"7",2004,0,5872,5872,0,5872,0,5872,6760,0,6760
"8",2005,0,2269,2269,0,2269,0,2269,2608,0,2608
"9",2006,0,1605,1605,0,1605,0,1605,1772,0,1772
"10",2007,0,2739,2739,0,2739,0,2739,3084,0,3084
"11",2008,0,1138,1138,0,1138,0,1138,1262,0,1262
"12",2009,0,2308,2308,0,2308,0,2308,2608,0,2608
"13",2010,0,2227,2227,0,2226.777793166,0.222206834,2227,2486,0,2486
"14",2011,0,3189,3189,0,3189,0,3189,3647,0,3647
"15",2012,0,5134,5134,0,5134,0,5134,5781,0,5781
"16",2013,0,5398,5398,0,5398,0,5398,6443,0,6443
"17",2014,0,1048,1048,0,1048.117175,0,1048.117175,1537,0,1537
"18",2015,0,352,352,0,351.6928226,0,351.6928226,428,0,428
"19",2016,0,1160,1160,0,1159.606667,0,1159.606667,1251,0,1251
"20",2017,0,1657,1657,0,1656.666667,0,1656.666667,1835,0,1835
"21",2018,0,4916,4916,0,4915.531365,0,4915.531365,5800,0,5800
"22",2019,0,3259,3259,0,3258.927536,0,3258.927536,4162,0,4162
"23",2020,0,5311,5311,0,5311.249597,0,5311.249597,6154,0,6154
"24",2021,0,2372,2372,0,2372.338164,0,2372.338164,2621,0,2621
"25",2022,0,6420,6420,0,6420,0,6420,7550,0,7550
