"","Year","Check.Natural.Returns","Total_Spawners","Natural_Origin_Spawners","Hatchery_Origin_Spawners","Ret.Nat","Ret.Hat","Ret.Total","PF.Nat","PF.Hat","PF.Total"
"1",1975,NA,0,NA,NA,NA,0,0,0,0,0
"2",1976,NA,0,NA,NA,NA,0,0,0,0,0
"3",1977,NA,0,NA,NA,NA,0,0,0,0,0
"4",1978,NA,0,NA,NA,NA,0,0,0,0,0
"5",1979,NA,0,NA,NA,NA,0,0,0,0,0
"6",1980,NA,0,NA,NA,NA,0,0,0,0,0
"7",1981,NA,0,NA,NA,NA,0,0,0,0,0
"8",1982,NA,0,NA,NA,NA,0,0,0,0,0
"9",1983,NA,0,NA,NA,NA,0,0,0,0,0
"10",1984,0,6808,6802,5,6894.132990516,5.415903334,6899.54889385,21578,17,21595
"11",1985,0,4365,4365,0,4534.16237378,0,4534.16237378,14192,0,14192
"12",1986,0,4002,4002,0,4819.09441983,0,4819.09441983,14056,0,14056
"13",1987,0,5923,5840,82,6501.89273041,91.7950262,6593.68775661,14049,198,14248
"14",1988,0,6059,4627,1432,5175.72895805,1601.1880259,6776.91698395,17969,5559,23528
"15",1989,0,6519,3456,3063,3815.53096078,3381.6076234,7197.13858418,10753,9530,20283
"16",1990,0,8172,6680,1492,7277.07440377,1625.3868378,8902.46124157,27622,6170,33792
"17",1991,0,7017,5407,1611,5885.09844871,1753.39680995,7638.49525866,18246,5436,23682
"18",1992,0,7976,5682,2294,6194.26657434,2501.061737,8695.32831134,33419,13493,46912
"19",1993,0,15556,13807,1749,14557.042129163,1843.626234047,16400.66836321,116936,14810,131746
"20",1994,0,10389,5456,4933,5830.47412378,5272.14253045,11102.61665423,10289,9304,19593
"21",1995,0,5345,5304,41,6104.044990317,47.292594243,6151.33758456,13924,108,14031
"22",1996,0,1854,1192,662,1556.753738072,864.575389937,2421.329128009,9433,5239,14671
"23",1997,0,7521,6004,1517,6473.190488657,1635.941486763,8109.13197542,10877,2749,13626
"24",1998,0,2165,463,1702,553.194846588,2034.038896013,2587.233742601,595,2189,2784
"25",1999,0,3992,1592,2400,1848.973800309,2787.182765651,4636.15656596,2032,3064,5096
"26",2000,0,4739,2227,2512,2446.93141327,2760.32763673,5207.25905,2537,2906,5443
"27",2001,0,9522,4720,4802,5030.1128282,5117.8871718,10148,5415,5509,10924
"28",2002,0,16053,5849,10204,6067.9766915,10586.0233085,16654,6583,11484,18067
"29",2003,0,2933,1725,1208,1934.670477541,1354.329522459,3289,2221,1582,3803
"30",2004,0,4304,2685,1619,2811.443671714,1694.892674296,4506.33634601,3237,1958,5195
"31",2005,0,2614,1912,702,2092.38024272,768.61975728,2861,2405,883,3288
"32",2006,0,1082,1065,17,1206.94269667,19.05730333,1226,1332,21,1353
"33",2007,0,10169,8981,1188,9120.679708008,1206.046151992,10326.72586,10271,1370,11641
"34",2008,0,3800,3406,394,3503.631542325,405.088574675,3908.720117,3884,449,4333
"35",2009,0,4768,3842,926,3961.122949669,955.255517331,4916.378467,4476,1127,5603
"36",2010,0,12217,11172,1045,11333.26444652,1059.85485148,12393.119298,12650,1227,13877
"37",2011,0,7289,6393,896,6517.9729638,913.4020092,7431.374973,7454,1116,8570
"38",2012,0,11559,10555,1004,10680.1647684,1016.3314283,11696.4961967,12026,1288,13314
"39",2013,0,11887,11308,579,11428.8864364,584.9135636,12013.8,13642,711,14352
"40",2014,0,7447,6434,1013,6539.544738293,1029.300225717,7568.84496401,9589,1509,11098
"41",2015,0,5182,4576,606,4686.594004245,620.665255014,5307.259259259,5701,762,6464
"42",2016,0,18389,17400,989,17587.799834202,1000.16585633,18587.965690532,18973,1095,20068
"43",2017,0,4103,3568,535,3886.775891984,583.372920746,4470.14881273,4304,684,4988
"44",2018,0,7152,6560,592,6899.001023257,622.772153292,7521.773176549,8141,776,8917
"45",2019,0,13217,10894,2323,11203.322871232,2388.714165808,13592.03703704,14308,3051,17359
"46",2020,0,18406,15154,3252,15363.9696366,3297.0303634,18661,17803,4152,21955
"47",2021,0,23377,16981,6397,17330.068609992,6528.227686308,23858.2962963,19149,7214,26363
"48",2022,0,19647,17661,1986,18007.187416331,2024.768034259,20031.95545059,21177,2455,23631
