"","Year","Check.Natural.Returns","Total_Spawners","Natural_Origin_Spawners","Hatchery_Origin_Spawners","Ret.Nat","Ret.Hat","Ret.Total","PF.Nat","PF.Hat","PF.Total"
"1",1975,NA,0,NA,NA,NA,0,0,0,0,0
"2",1976,NA,0,NA,NA,NA,0,0,0,0,0
"3",1977,NA,0,NA,NA,NA,0,0,0,0,0
"4",1978,NA,0,NA,NA,NA,0,0,0,0,0
"5",1979,NA,0,NA,NA,NA,0,0,0,0,0
"6",1980,NA,0,NA,NA,NA,0,0,0,0,0
"7",1981,NA,0,NA,NA,NA,0,0,0,0,0
"8",1982,NA,0,NA,NA,NA,0,0,0,0,0
"9",1983,NA,0,NA,NA,NA,0,0,0,0,0
"10",1984,0,4726,4726,0,4725.817499122,0,4725.817499122,14792,0,14792
"11",1985,0,5189,5189,0,5204.718975228,0.034296243,5204.753271471,16290,0,16291
"12",1986,0,1876,1876,0,1891.709578646,0.01323032,1891.722808966,5517,0,5518
"13",1987,0,3529,3529,0,3546.734005524,4.97e-05,3546.734055224,7664,0,7664
"14",1988,0,7940,7940,0,8013.266613935,0.014542621,8013.281156556,27821,0,27821
"15",1989,0,6673,6673,0,6741.986071834,0.018631639,6742.004703473,19001,0,19001
"16",1990,0,2593,2593,0,2660.840931161,0.010376571,2660.851307732,10100,0,10100
"17",1991,0,2962,2962,0,2976.574759913,0.037862808,2976.612622721,9228,0,9229
"18",1992,0,6193,6193,0,6207.566699348,0.031829037,6207.598528385,33490,0,33491
"19",1993,0,7624,7624,0,7624.195532985,0.004205032,7624.199738017,61245,0,61245
"20",1994,0,1912,1912,0,1912.146796072,2.26e-05,1912.146818672,3374,0,3374
"21",1995,0,2367,2367,0,2366.736135129,1.23e-05,2366.736147429,5399,0,5399
"22",1996,0,1183,1183,0,1183.345183456,0.000106053,1183.345289509,7170,0,7170
"23",1997,0,1665,1665,0,1665.148510368,1.95e-05,1665.148529868,2798,0,2798
"24",1998,0,4851,4851,0,4890.590757841,2.84e-05,4890.590786241,5261,0,5261
"25",1999,0,1652,1652,0,1652.06913118,0.000325334,1652.069456514,1816,0,1816
"26",2000,0,3920,3920,0,3920.454280642,0.000713984,3920.454994626,4065,0,4065
"27",2001,0,6162,6162,0,6161.991366252,0.008633748,6162,6633,0,6633
"28",2002,0,4170,4170,0,4169.993370819,0.006629181,4170,4524,0,4524
"29",2003,0,3809,3809,0,3809,0,3809,4374,0,4374
"30",2004,0,4760,4760,0,4760,0,4760,5480,0,5480
"31",2005,0,2189,2189,0,2189,0,2189,2516,0,2516
"32",2006,0,1301,1301,0,1300.7833333,0,1300.7833333,1436,0,1436
"33",2007,0,9958,9958,0,9958,0,9958,11214,0,11214
"34",2008,0,1464,1464,0,1464,0,1464,1623,0,1623
"35",2009,0,2306,2306,0,2306,0,2306,2606,0,2606
"36",2010,0,4689,4689,0,4689,0,4689,5234,0,5234
"37",2011,0,3920,3920,0,3924.2,0,3924.2,4488,0,4488
"38",2012,0,7127,7127,0,7126.5000003,0,7126.5000003,8025,0,8025
"39",2013,0,11625,11625,0,11624.83332989,3.81e-06,11624.8333337,13875,0,13875
"40",2014,0,3269,3269,0,3268.88888887,0,3268.88888887,4793,0,4793
"41",2015,0,1354,1354,0,1354.083572727,0,1354.083572727,1647,0,1647
"42",2016,0,13523,13523,0,13587.28634326,0,13587.28634326,14657,0,14657
"43",2017,0,3707,3707,0,3706.67388433,0,3706.67388433,4105,0,4105
"44",2018,0,3544,3544,0,3543.67511275,0,3543.67511275,4182,0,4182
"45",2019,0,2970,2970,0,2969.54074074,0,2969.54074074,3793,0,3793
"46",2020,0,7046,7046,0,7045.9120994,0,7045.9120994,8164,0,8164
"47",2021,0,11555,11555,0,11554.91879798,0,11554.91879798,12768,0,12768
