"","Year","Check.Natural.Returns","Total_Spawners","Natural_Origin_Spawners","Hatchery_Origin_Spawners","Ret.Nat","Ret.Hat","Ret.Total","PF.Nat","PF.Hat","PF.Total"
"1",1975,0,27493,27493,0,27492.94677536,0,27492.94677536,86051,0,86051
"2",1976,0,25367,25367,0,25367.176534066,0,25367.176534066,79398,0,79398
"3",1977,0,30334,30334,0,30334.01754423,0,30334.01754423,94944,0,94944
"4",1978,0,32299,32299,0,32298.58603716,0,32298.58603716,101093,0,101093
"5",1979,0,21307,21307,0,21306.521424346,0,21306.521424346,66688,0,66688
"6",1980,0,10936,10936,0,10936.319797479,0,10936.319797479,34230,0,34230
"7",1981,0,21057,21057,0,21057.26174437,0,21057.26174437,65908,0,65908
"8",1982,0,23633,23633,0,23632.897700898,0.000142273,23632.897843171,73970,0,73970
"9",1983,0,21484,21439,45,21439.48978819,44.564482973,21484.054271163,67104,139,67244
"10",1984,0,41396,41396,0,41661.211217315,0.001517579,41661.212734894,130397,0,130397
"11",1985,0,17986,17882,104,18226.366211858,105.578101004,18331.944312862,57047,330,57378
"12",1986,0,30692,30244,449,31122.573986937,461.688388123,31584.26237506,90774,1347,92121
"13",1987,0,31262,30690,572,30969.88797414,577.50683672,31547.39481086,66920,1248,68168
"14",1988,0,35039,33468,1570,33879.761858502,1589.795791828,35469.55765033,117624,5519,123144
"15",1989,0,24556,23172,1384,23479.974382449,1402.416478058,24882.390860507,66173,3952,70125
"16",1990,0,17551,16576,975,16938.905167817,996.098389467,17935.003557284,64297,3781,68078
"17",1991,0,12243,10639,1604,10638.594281335,1604.28193005,12242.876211385,32983,4974,37957
"18",1992,0,15929,14839,1090,14839.476662174,1089.721365669,15929.198027843,80060,5879,85939
"19",1993,0,6552,6227,325,6438.164444908,335.5628122,6773.727257108,51718,2696,54413
"20",1994,0,14898,14052,846,14365.169655264,864.6542497,15229.823904964,25350,1526,26876
"21",1995,0,12463,12227,236,12535.774565791,242.35066078,12778.125226571,28594,553,29147
"22",1996,0,5923,5832,90,5915.12434805,91.724170637,6006.848518687,35840,556,36396
"23",1997,1,8518,7866,652,8056.187802155,668.07691427,8724.264716425,13536,1123,14659
"24",1998,0,9786,9320,466,9455.629614401,472.3626509,9927.992265301,10173,508,10681
"25",1999,0,10696,10488,208,10655.121785088,211.0032416,10866.125026688,11712,232,11944
"26",2000,0,8054,6497,1557,6634.28219171,1589.9092269,8224.19141861,6879,1648,8527
"27",2001,0,27238,25444,1794,25602.7937253,1804.9172443,27407.7109696,27559,1943,29502
"28",2002,0,22083,19612,2471,19722.2651854,2484.7706886,22207.035874,21395,2696,24091
"29",2003,0,7211,6673,538,6833.4095094,550.8191902,7384.2286996,7847,632,8479
"30",2004,0,10661,10217,444,10337.9673155,449.1672136,10787.1345291,11902,518,12419
"31",2005,0,4518,4386,132,4540.14280117,136.71370103,4676.8565022,5218,158,5375
"32",2006,0,3670,3663,7,3779.161029339,6.928656761,3786.0896861,4172,7,4179
"33",2007,0,24500,24192,308,24390.98014267,310.95007919,24701.93022186,27467,350,27818
"34",2008,0,3849,3657,192,3735.04131587,196.00455853,3931.0458744,4141,217,4358
"35",2009,0,9631,9214,417,9327.21887209,421.70144191,9748.920314,10539,477,11016
"36",2010,0,12159,11664,495,11800.7115645,500.2929195,12301.004484,13172,558,13730
"37",2011,0,8803,8350,453,8413.1041875,456.3980547,8869.5022422,9621,522,10143
"38",2012,0,20058,19471,588,19534.585674608,589.5439223,20124.129596908,21997,664,22661
"39",2013,0,16271,15878,393,15961.914773836,394.86577746,16356.780551296,19052,471,19524
"40",2014,0,5252,5199,54,5338.288145102,55,5393.288145102,7828,81,7908
"41",2015,0,3178,3111,67,3217.977882314,69,3286.977882314,3915,84,3999
"42",2016,0,16914,16805,109,16845.774608872,109,16954.774608872,18172,118,18290
"43",2017,0,11908,11774,135,11904.163387507,136,12040.163387507,13183,150,13333
"44",2018,0,11429,11222,207,11322.240705458,209,11531.240705458,13361,246,13607
"45",2019,0,15419,15178,242,15268.059258361,243,15511.059258361,19499,311,19809
"46",2020,0,26239,25908,331,26046.99999997,333,26379.99999997,30181,386,30568
"47",2021,0,29214,28390,823,28476.66296201,826,29302.66296201,31466,912,32378
