ReturnYear,ConservationUnit,SubPop,SpawnRDeme,TribDeme,WSP.2014.Data.Use.Categories,Final.Spawner.Estimate,Total.Escapement,Natural.Escapement,Total.Hatchery.Clipped.Escapement.Corrected,Total.Hatchery.Unclipped.Escapement.Corrected,Total.Prefishery.Abundance,prefishery.return.natural,prefishery.return.hatchery.clipped,prefishery.return.hatchery.unclipped,FN.Removals,Classroom.Removals,Fence.Mortalities,AFC.Harvest,Brood.Removed.below.or.at.estimation.site,Brood.Removed.above.estimation.site,BroodYear,Final.Clipped.ER,Smolt.Survival.MU,Final.Smolt.Survival,Average.Fry.Survival.across.CU.Years,Final.Fry.Survival,PeakCountDate,PeakSpawnDate,FinalEstType,EstClass,CompSysSurvey,DataQualClass,AdultPresent,Comments
1975,Fraser Canyon,Fraser Canyon,Kwoiek Creek,Kwoiek Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,NI,,,,,
1975,Fraser Canyon,Fraser Canyon,Nahatlatch River,Nahatlatch R,yellow,9503.820705,9503.820705,9503.820705,0,0,29746.37668,29746.37668,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,Infill,Type-7: Infill,,,,
1975,Lower Thompson,Lower Thompson,Bonaparte River,Bonaparte R,green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Lower Thompson,Deadman River,Deadman R,green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Lower Thompson,Tranquille River,Tranquille R,yellow,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Lower Thompson/Nicola,infill,infill,not used,4629.879625,4629.879625,4629.879625,0,0,14491.23964,14491.23964,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,Infill,Type-7: Infill,,,,
1975,Lower Thompson,Nicola,Coldwater River,Brook Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Nicola River (lower),Clapperton Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Coldwater River,Coldwater R,green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Nicola River (lower),Guichon Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Coldwater River,Juliet Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Spius Creek,Maka Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Nicola River (lower),Nicola R (DAM),not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Nicola River (lower),Nicola R (DOT),not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Nicola River (lower),Nooaitch Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Nicola River (lower),Skuhun Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Nicola River (upper),Spahomin Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Lower Thompson,Nicola,Spius Creek,Spius Cr,green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Lower Middle Fraser,Bridge River,Bridge R,green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,NI,,,,,100+Horseshoe bend needs some clearance work to facilitate fish passage
1975,Middle Fraser,Lower Middle Fraser,Seton River ,Cayoosh Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Lower Middle Fraser,Gates Creek,Gates Cr,green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Lower Middle Fraser,Gates Creek,Haylemore Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Lower Middle Fraser,Portage Creek,Portage Cr,green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Lower Middle Fraser,Seton River ,Seton R (Sp Channels),green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,NI,,,,,
1975,Middle Fraser,Lower Middle Fraser,Portage Creek,Spider Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,NI,,,,,
1975,Middle Fraser,Lower Middle Fraser,Stein River,Stein R,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Lower Middle Fraser,Portage Creek,Whitecap Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Lower Middle Fraser,Bridge River,Yalakom R,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Cottonwood River,Ahbau Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,West Road River (Blackwater),Baezaeko R,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Baker Creek,Baker Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Quesnel River,Beaver Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Quesnel River,Bill Miner Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Quesnel River,Blue Lead Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Chilcotin River,Brittany Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Nechako River,Chilako R,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Chilcotin River,Chilcotin R (upr),not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Chilcotin River,Chilko R,green,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,West Road River (Blackwater),Clisbako R,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Chilcotin River,Clusko Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,West Road River (Blackwater),Coglistiko R,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Cottonwood River,Cottonwood R  ,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,West Road River (Blackwater),Euchiniko R,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,French Bar Creek,French Bar Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
1975,Middle Fraser,Upper Middle Fraser,Hixon Creek,Government Cr,not used,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0.68050493,,,,,,,,,,,,
