ACT_ID,DESCR,ANALYSIS_YR,STREAM_ID,AREA,SPECIES,SEN_STATUS,ESTIMATE_CLASSIFICATION,ESTIMATE_METHOD,WATERSHED_CDE,ESTIMATE_STAGE,SPL_ID,SEN_PRESENCE_ADULT,SEN_PRESENCE_JACK,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURN,NO_INSPECTIONS_USED,POPULATION,MAX_ESTIMATE,RUN_TYPE,SEN_NUSEDS1_ENUM_METHOD1,SEN_NUSEDS1_ENUM_METHOD2,SEN_NUSEDS1_ENUM_METHOD3,SEN_NUSEDS1_ENUM_METHOD4,SEN_NUSEDS1_ENUM_METHOD5,SEN_NUSEDS1_ENUM_METHOD6,EFFECTIVE_FEMALES,WEIGHTED_PCT_SPAWN,OTHER_ADULT_REMOVALS,OTHER_JACK_REMOVALS,TOT_ADULT_RET_RIVER,TOT_JACK_RET_RIVER,JUV_PRES_TYP,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,POP_ID,CU_NAME,CU_INDEX,CU_TYPE,SPECIES_QUALIFIED,SBJ_ID
739050,Douglas Creek Pink 1991,1991,195,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,110-987400-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8311535,PRESENT,UNKNOWN,,,,,,,,,50,1,Douglas Creek Pink,50,,Walk,,,,,,,,,,,,,DOUGLAS CREEK,46085,FRASER RIVER,1,Current,PKO,7389
727917,Bonaparte River (Lillooet) Pink Run 1 1985,1985,216,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,120-506800-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8300402,PRESENT,UNKNOWN,,,,,,,,,73,,Bonaparte River (Lillooet) Pink Run 1,73,1,Float,,,,,,,,,,,,,BONAPARTE RIVER,46202,FRASER RIVER,1,Current,PKO,7389
727920,Bonaparte River (Lillooet) Pink Run 1 1987,1987,216,29F,Pink,RELEASED,UNKNOWN,Not Applicable,120-506800-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8300405,NONE OBSERVED,UNKNOWN,,,,,,,,,0,,Bonaparte River (Lillooet) Pink Run 1,0,1,Walk,Spot Checks,,,,,,,,,,,,BONAPARTE RIVER,46202,FRASER RIVER,1,Current,PKO,7389
728681,American Creek (Chilliwack) Pink 1985,1985,118,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-119000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8301166,PRESENT,UNKNOWN,,,,,,,,,4412,,American Creek (Chilliwack) Pink,4412,,Walk,,,,,,,,,,,,,AMERICAN CREEK,47141,FRASER RIVER,1,Current,PKO,7389
728686,American Creek (Chilliwack) Pink 1987,1987,118,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-119000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8301171,PRESENT,UNKNOWN,,,,,,,,,3,,American Creek (Chilliwack) Pink,3,,Walk,,,,,,,,,,,,,AMERICAN CREEK,47141,FRASER RIVER,1,Current,PKO,7389
728691,American Creek (Chilliwack) Pink 1991,1991,118,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-119000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8301176,PRESENT,UNKNOWN,,,,,,,,,1945,3,American Creek (Chilliwack) Pink,1945,,Walk,,,,,,,,,,,,,AMERICAN CREEK,47141,FRASER RIVER,1,Current,PKO,7389
728983,Sweltzer River (Chilliwack) Pink 1985,1985,70,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-065700-09700-13300-0000-0000-000-000-000-000-000-000,NEAR FINAL,8301468,PRESENT,UNKNOWN,,,,,,,,,14712,,Sweltzer River (Chilliwack) Pink,14712,,Walk,Fence,,,,,,,,,,,,SWELTZER RIVER,47017,FRASER RIVER,1,Current,PKO,7389
729362,Maria Slough (Mission) Pink 1985,1985,104,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8301847,PRESENT,UNKNOWN,,,,,,,,,591,,Maria Slough (Mission) Pink,591,,Walk,Spot Checks,Fence,,,,,,,,,,,MARIA SLOUGH,47094,FRASER RIVER,1,Current,PKO,7389
729370,Maria Slough (Mission) Pink 1987,1987,104,29D,Pink,RELEASED,UNKNOWN,Not Applicable,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8301855,NONE OBSERVED,UNKNOWN,,,,,,,,,0,,Maria Slough (Mission) Pink,0,,Dead Pitch,Fence,,,,,,,,,,,,MARIA SLOUGH,47094,FRASER RIVER,1,Current,PKO,7389
732756,Upper Pitt River (Coquitlam) Pink 1987,1987,13,29C,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8305241,PRESENT,UNKNOWN,,,,,,,,,500,,Upper Pitt River (Coquitlam) Pink,500,,Walk,Spot Checks,,,,,,,,,,,,PITT RIVER - UPPER,47919,FRASER RIVER,1,Current,PKO,7389
732765,Upper Pitt River (Coquitlam) Pink 1989,1989,13,29C,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8305250,UNKNOWN,UNKNOWN,,,,,,,,,,,Upper Pitt River (Coquitlam) Pink,,,Biologist/Working Group,,,,,,,,,,,,,PITT RIVER - UPPER,47919,FRASER RIVER,1,Current,PKO,7389
753069,Chilliwack River (Chilliwack) Pink 1991,1991,62,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8325554,PRESENT,UNKNOWN,,,,,,,,,158876,,Chilliwack River (Chilliwack) Pink,158876,,Dead Pitch,Enumeration by Hatchery,,,,,,,,,,,,CHILLIWACK RIVER,46983,FRASER RIVER,1,Current,PKO,7389
755776,Silverhope Creek (Chilliwack) Pink 1985,1985,111,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-112900-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8328261,PRESENT,UNKNOWN,,,,,,,,,13588,,Silverhope Creek (Chilliwack) Pink,13588,,Walk,,,,,,,,,,,,,SILVERHOPE CREEK,47119,FRASER RIVER,1,Current,PKO,7389
755780,Silverhope Creek (Chilliwack) Pink 1987,1987,111,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-112900-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8328265,PRESENT,UNKNOWN,,,,,,,,,2561,,Silverhope Creek (Chilliwack) Pink,2561,,Walk,Helicopter,Spot Checks,,,,,,,,,,,SILVERHOPE CREEK,47119,FRASER RIVER,1,Current,PKO,7389
755789,Silverhope Creek (Chilliwack) Pink 1991,1991,111,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-112900-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8328274,PRESENT,UNKNOWN,,,,,,,,,3370,4,Silverhope Creek (Chilliwack) Pink,3370,,Walk,,,,,,,,,,,,,SILVERHOPE CREEK,47119,FRASER RIVER,1,Current,PKO,7389
755872,Ruby Creek (Mission) Pink 1987,1987,109,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-104700-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8328357,PRESENT,UNKNOWN,,,,,,,,,322,,Ruby Creek (Mission) Pink,322,,Walk,,,,,,,,,,,,,RUBY CREEK,47112,FRASER RIVER,1,Current,PKO,7389
755877,Ruby Creek (Mission) Pink 1989,1989,109,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-104700-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8328362,PRESENT,UNKNOWN,,,,,,,,,348,8,Ruby Creek (Mission) Pink,348,,Walk,,,,,,,,,,,,,RUBY CREEK,47112,FRASER RIVER,1,Current,PKO,7389
755884,Ruby Creek (Mission) Pink 1991,1991,109,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-104700-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8328369,PRESENT,UNKNOWN,,,,,,,,,6783,4,Ruby Creek (Mission) Pink,6783,,Walk,Spot Checks,,,,,,,,,,,,RUBY CREEK,47112,FRASER RIVER,1,Current,PKO,7389
758110,Chehalis River (Mission) Pink 1985,1985,181,29D,Pink,RELEASED,UNKNOWN,Not Applicable,110-090200-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8330595,NONE OBSERVED,UNKNOWN,,,,,,,,,0,,Chehalis River (Mission) Pink,0,,Helicopter,,,,,,,,,,,,,CHEHALIS RIVER,46040,FRASER RIVER,1,Current,PKO,7389
