Brood.Year,Net.Escapement,Recruits
1959,1078000,1889246
1961,1092561,5482350
1963,1954038,2319887
1965,1194099,12962791
1967,1831219,3931461
1969,1530913,9763328
1971,1804952,6803984
1973,1754261,4893955
1975,1367089,8209485
1977,2387811,14404120
1979,3560654,18684689
1981,4488336,15346097
1983,4631721,19038024
1985,6460950,7171773
1987,3223521,16484275
1989,7189201,22173639
1991,12942835,16983498
1993,10768335,12903708
1995,7174584,8175964
1997,2842108,3608265
1999,3444982,21261774
2001,19813620,24250000
2003,22181030,9870000
2005,8809624,8490000
2007,7650052,19936153
2009,15428836,20645119.62
2011,12784507.74,15897819.05
2013,9344490.078,5865236.133
2015,5315845,3563091.085
2017,3392159,8858203.465
2019,8307419.479,8107513.214
2021,7827444.568,
2023,9575760,
