Year,Watershed Group Name,Stock Name(stream),Timing Group,CU Name,spnpeak,arrival,Total,jacks,males,females,spawn%,eff_fem,remarks,Estimate Method,Survey Start,Survey End,Number Inspections,est_type,Forecast
1938,Chilcotin,Chilko River,T3,Chilko - Summer,Sep 16-20,1-Sep,10870,32,5403,5435,94.61,5142,Minimum.,Peak Live + Cummulative Dead,8/15/1938,10/25/1938,51,"Type-3: Relative Abundance, high resolution",7
1938,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,,,11100,150,2894,8056,95,7653,"Min. 1942 data for age, sex ratio",Peak Live + Cummulative Dead,9/9/1938,10/8/1938,14,"Type-3: Relative Abundance, high resolution",10
1938,Late South Thompson,Little River,T4,Shuswap Complex - Late,Oct 15-20,,175000,494,96592,77914,76.18,59355,Minimum.  Adams age comp. used.  50-50 M/F sex ratio.,,,,,,9
1938,Late Stuart,Middle River,T3,Takla-Trembleur-Stuart - Summer,,,62,0,31,31,87.73,27,Minimum.  24-year avg. % spawn.,Peak Live + Cummulative Dead,9/20/1938,10/14/1938,11,"Type-3: Relative Abundance, high resolution",2
1938,Lower Fraser,Chilliwack Lake,T2,Chilliwack - Early Summer,,,25,0,12,13,100,13,,Peak Live + Cummulative Dead,9/19/1938,10/30/1938,7,"Type-3: Relative Abundance, high resolution",23
1938,Lower Fraser,Cultus Lake,T4,Cultus - Late,Nov 12-19,27-Sep,13342,3908,1603,7831,45.29,3547,,,,,,,11
1938,Early Stuart,Gluske Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,Four surveys; no sockeye observed.,Peak Live + Cummulative Dead,7/28/1938,9/15/1938,4,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Hudson Bay Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Leo Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,One survey Oct. 1; no evidence of sockeye,Peak Live + Cummulative Dead,10/1/1938,,1,"Type-5: Relative Abundance, low resolution",1
1938,Early Stuart,McDougall Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Paula Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,Two surveys; Aug. 24 & Sep. 13; no evidence of sockeye,Peak Live + Cummulative Dead,8/24/1938,9/13/1938,2,"Type-5: Relative Abundance, low resolution",1
1938,Early Stuart,Point Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Sakeniche River,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,8/9/1938,,1,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Sandpoint Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Shale Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Sinta Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Maclaing Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,15 Mile Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,One survey in early Sep.; no evidence of sockeye,Peak Live + Cummulative Dead,9/8/1938,,1,"Type-5: Relative Abundance, low resolution",1
1938,Early Stuart,25 Mile Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Late Stuart,Kazchek Creek,T3,Takla-Trembleur-Stuart - Summer,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,9/14/1938,9/22/1938,2,"Type-4: Relative Abundance, medium resolution",2
1938,Late Stuart,Kuzkwa Creek,T3,Takla-Trembleur-Stuart - Summer,,,0,0,0,0,0,0,None observed?,,,,,,2
1938,Late Stuart,Pinchi Creek,T3,Takla-Trembleur-Stuart - Summer,,,0,0,0,0,0,0,None observed?,,,,,,2
1938,Late Stuart,Sakeniche River,T3,Takla-Trembleur-Stuart - Summer,,,0,0,0,0,0,0,None observed?,,,,,,2
1938,Late Stuart,Tachie River,T3,Takla-Trembleur-Stuart - Summer,,,0,0,0,0,0,0,,Peak Live + Cummulative Dead,,10/14/1938,,,2
1938,Early Stuart,Fleming Creek,T1,Takla-Trembleur - Early Stuart,,,5,0,2,3,100,3,Minimum.,Peak Live + Cummulative Dead,7/19/1938,9/13/1938,4,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Forfar Creek,T1,Takla-Trembleur - Early Stuart,,,4694,0,2112,2582,91.43,2361,Minimum.,Peak Live + Cummulative Dead,7/21/1938,8/19/1938,8,"Type-3: Relative Abundance, high resolution",1
1938,Early Stuart,Kazchek Creek,T1,Takla-Trembleur - Early Stuart,,,4,0,2,2,100,2,,Peak Live + Cummulative Dead,7/27/1938,8/27/1938,5,"Type-3: Relative Abundance, high resolution",1
1938,Early Stuart,O'Ne-ell Creek,T1,Takla-Trembleur - Early Stuart,,,2835,0,1276,1559,90.43,1410,Minimum.  33-year avg. % spawn used.,Peak Live + Cummulative Dead,7/21/1938,9/17/1938,13,"Type-3: Relative Abundance, high resolution",1
1938,Early Stuart,Narrows Creek,T1,Takla-Trembleur - Early Stuart,,,115,0,57,58,100,58,Minimum.,Peak Live + Cummulative Dead,8/8/1938,8/29/1938,3,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Van Decar Creek,T1,Takla-Trembleur - Early Stuart,,,18,0,9,9,100,9,Minimum.,Peak Live + Cummulative Dead,7/21/1938,9/17/1938,9,"Type-3: Relative Abundance, high resolution",1
1938,Harrison-Lillooet,East Creek,T4,Harrison (U/S) - Late,,,187,0,90,97,99.36,96,Minimum.  29-year Harrison R. avg. % spawn,,,,,,13
