Takla_Trem_EStu_Drift,Takla_Trem_Dust_Sinta,Takla_Trem_EStu_Beav,Takla_Trem_EStu_Main,Takla_Trem_EStu_Low,Takla_Trem_EStu_Upper,Takla_Trem_EStu_Sand,Takla_Trem_EStu,Bowron_ES,Kamloops_ES,Anderson_Seton_ES,Nadina_Francois_ES,North_Barriere_ES,Pitt_ES,Shuswap_ES,Chilliwack_ES,Chilko_S_ES,Takla_Trem_S_S,Quesnel_S_Horse,Quesnel_S_McKin,Quesnel_S_Mitchell,Quesnel_S_Little,Quesnel_S_Lake,Quesnel_S,Fran_Fras_S,Harrison_R,Shuswap_L_Stocks,Shuswap_L_Lakes,Shuswap_L,Seton_L,Harrison_US_L,Lillooet_Harr_L,Harrison_DS_L,Nahatlatch_ES,Taseko_ES,Widgeon_RT
Driftwood River,Dust Creek,Sidney Creek,Forfar Creek,15 Mile Creek,Lovell Creek,Sandpoint Creek,Takla_Trem_EStu_Drift,Huckey Creek,Raft River,Gates Channel,Early Nadina River,"Barriere River, upper",Upper Pitt River,McNomee Creek,Chilliwack Lake,Chilko River,Kuzkwa Creek,Horsefly Channel,McKinley Creek,Cameron Creek,Little Horsefly River,Bear Beach - Shore,Quesnel_S_Horse,Stellako River,Harrison River,"Adams River, lower",Adams River - shore,Shuswap_L_Stocks,Portage Creek,East Creek,Birkenhead River,Big Silver Creek,Nahatlatch River,Taseko Lake,Widgeon Slough
Lion Creek,Sinta Creek,Paula Creek,Gluske Creek,25 Mile Creek,Ankwill Creek,Narrows Creek,Takla_Trem_Dust_Sinta,Pomeroy Creek,,Gates Creek,Late Nadina River,,Corbold Creek,Scotch Creek,"Chilliwack River, upper",Chilko Channel,Tachie River,Horsefly River,"McKinley Creek, lower",Penfold Creek,,Baxter Beach,Quesnel_S_McKin,,,Anstey River,Anstey River - shore,Shuswap_L_Lakes,,Weaver Creek,,,Nahatlatch Lake,,
Porter Creek,,Point Creek,O'Ne-ell Creek,Maclaing Creek,Frypan Creek,Sakeniche River,Takla_Trem_EStu_Beav,Sus Creek,,Gates River,Late Nadina Channel,,Upper Pitt Channel,Seymour River,,S. End Chilko Lake,Kazchek Creek,Horsefly River - Above Falls,"McKinley Creek, upper",Mitchell River,,Betty Frank's - Shore,Quesnel_S_Mitchell,,,Momich River,Cruikshank Pt. West - shore,,,Weaver Channel,,,,,
Kotsine River,,,Van Decar Creek,Shale Creek,,Bivouac Creek,Takla_Trem_EStu_Main,"Bowron River, upper",,,,,North Boise Creek,,,,Middle River,"Horsefly River, upper",,,,Big Slide - Shore,Quesnel_S_Little,,,Eagle River,Hlina Creek - shore,,,,,,,,
Blackwater Creek,,,,Crow Creek,,,Takla_Trem_EStu_Low,,,,,,South Boise Creek,,,,,"Horsefly River, lower",,,,"Big Slide, 1 km. West - shore",Quesnel_S_Lake,,,Little River,Lee Creek - shore,,,,,,,,
Kastberg Creek,,,,,,,Takla_Trem_EStu_Upper,,,,,,Blue Creek,,,,,,,,,Bill Miner Cr. - Shore,,,,Lower Shuswap River,Onyx Creek - shore,,,,,,,,
Consolidated Creek,,,,,,,Takla_Trem_EStu_Sand,,,,,,Cypress Creek,,,,,,,,,Bill Miner Cr. - Shore 3 km west,,,,Middle Shuswap River,Ross Creek - shore,,,,,,,,
,,,,,,,,,,,,,Fish Hatchery Creek,,,,,,,,,Blue Lead Cr. - Shore,,,,Sinmax Creek,Shuswap Lake,,,,,,,,
,,,,,,,,,,,,,Slough Creek,,,,,,,,,Bouldery Cr. - Shore,,,,Scotch Creek,Scotch Creek - shore,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Bouldery Cr. - Shore 2 km east,,,,South Thompson River,Shuswap L. - Main Arm north side,,,,,,,,
