,CU_Name,Year,Escape,SumRawEsc,EscAvg,GroupSum,Props,Present,PresentProps,inverse_prop,GroupCount,GroupEsc,ContrEsc,SiteEsc
1,1 - Southern Coastal Streams,1953,28327.8388,27075,5619.003711,584009.6145,0.009621423,1,0.009621423,1,579317.1146,579317.1146,5573.855183,28327.8388
2,1 - Southern Coastal Streams,1954,49645.64915,47450,5619.003711,584009.6145,0.009621423,1,0.009621423,1,737978.4035,737978.4035,7100.402605,49645.64915
3,1 - Southern Coastal Streams,1955,23599.7914,22600,5619.003711,584009.6145,0.009621423,1,0.009621423,1,337767.8504,337767.8504,3249.807465,23599.7914
4,1 - Southern Coastal Streams,1956,28481.83666,26325,5619.003711,584009.6145,0.009621423,1,0.009621423,1,320388.9002,320388.9002,3082.597229,28481.83666
5,1 - Southern Coastal Streams,1957,31055.29323,27350,5619.003711,584009.6145,0.009621423,1,0.009621423,1,746660.9835,746660.9835,7183.941383,31055.29323
6,1 - Southern Coastal Streams,1958,50017.27295,46025,5619.003711,584009.6145,0.009621423,1,0.009621423,1,818193.8353,818193.8353,7872.18923,50017.27295
7,1 - Southern Coastal Streams,1959,8703.839843,7575,5619.003711,584009.6145,0.009621423,1,0.009621423,1,632204.488,632204.488,6082.706991,8703.839843
8,1 - Southern Coastal Streams,1960,9643.992917,8275,5619.003711,584009.6145,0.009621423,1,0.009621423,1,325100.0323,325100.0323,3127.925025,9643.992917
9,1 - Southern Coastal Streams,1961,14969.775,11150,5619.003711,584009.6145,0.009621423,1,0.009621423,1,360460.3564,360460.3564,3468.141671,14969.775
10,1 - Southern Coastal Streams,1962,9778.417481,8375,5619.003711,584009.6145,0.009621423,1,0.009621423,1,354336.7296,354336.7296,3409.223665,9778.417481
11,1 - Southern Coastal Streams,1963,15162.60451,8700,5619.003711,584009.6145,0.009621423,1,0.009621423,1,299007.9818,299007.9818,2876.882362,15162.60451
12,1 - Southern Coastal Streams,1964,7297.326478,6250,5619.003711,584009.6145,0.009621423,1,0.009621423,1,413134.4851,413134.4851,3974.941761,7297.326478
13,1 - Southern Coastal Streams,1965,2063.690328,1725,5619.003711,584009.6145,0.009621423,1,0.009621423,1,183868.0045,183868.0045,1769.071902,2063.690328
14,1 - Southern Coastal Streams,1966,16042.81474,14025,5619.003711,584009.6145,0.009621423,1,0.009621423,1,452455.4604,452455.4604,4353.265508,16042.81474
15,1 - Southern Coastal Streams,1967,18203.50191,14750,5619.003711,584009.6145,0.009621423,1,0.009621423,1,371281.6821,371281.6821,3572.258227,18203.50191
16,1 - Southern Coastal Streams,1968,10717.68324,9100,5619.003711,584009.6145,0.009621423,1,0.009621423,1,773764.2455,773764.2455,7444.713339,10717.68324
17,1 - Southern Coastal Streams,1969,16141.38657,13000,5619.003711,584009.6145,0.009621423,1,0.009621423,1,456241.1367,456241.1367,4389.689103,16141.38657
18,1 - Southern Coastal Streams,1970,19676.20453,16275,5619.003711,584009.6145,0.009621423,1,0.009621423,1,617086.8988,617086.8988,5937.254266,19676.20453
19,1 - Southern Coastal Streams,1971,10194.86887,6525,5619.003711,584009.6145,0.009621423,1,0.009621423,1,244614.427,244614.427,2353.538947,10194.86887
20,1 - Southern Coastal Streams,1972,18654.43421,15775,5619.003711,584009.6145,0.009621423,1,0.009621423,1,1233744.263,1233744.263,11870.3758,18654.43421
21,1 - Southern Coastal Streams,1973,47325.7421,41125,5619.003711,584009.6145,0.009621423,1,0.009621423,1,974931.9901,974931.9901,9380.233364,47325.7421
