Year,Spawners,Run,Age3,Age4,Age5,Age6,RunAge3,RunAge4,RunAge5,RunAge6,RecAge3,RecAge4,RecAge5,RecAge6,RecAll,Rec45,Rec35,Rec,RpS,RpS35,RpS45,RpS4,lnRpS
1961,3172.897818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,5430.506455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,26237.73109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,23251.55603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,17879.29135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,73659.0366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,26964.0961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,45522.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,10710.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,29341.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,36090.9141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,21564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,12133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,7110.434712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,12739.23404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3856.1490000000003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,16428.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33069.399,4174.929,0,NA,37244.327999999994,NA,NA,NA,NA,2.2670498371614665,2.012923299837161,NA
1977,13176.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025.452,35803.179,2666.4660000000003,0,40495.096999999994,38469.645,40495.096999999994,40495.096999999994,3.0732938801109366,3.0732938801109366,2.919576277309332,2.7172102071817834,1.1227499115438955
1978,4750.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,2192.892,22866.966,3813.777,0,28873.635000000002,26680.743000000002,28873.635000000002,28873.635000000002,6.078475726209564,6.078475726209564,5.616828247733122,4.813952166502742,1.804753961620785
1979,15009.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400.568,32706.027,13935.042000000001,0,48041.637,46641.069,48041.637,48041.637,3.2007955744712606,3.2007955744712606,3.107482104404742,2.179053692115811,1.1633993959278592
1980,15807.04,38951,0.052,0.849,0.099,0,2025.452,33069.399,3856.1490000000003,0,2003.196,119503.542,4848.92,0,126355.658,124352.462,126355.658,126355.658,7.993631824807173,7.993631824807173,7.866903734032431,7.5601467447415835,2.078645202787067
1981,16938.304,42171,0.052,0.849,0.099,0,2192.892,35803.179,4174.929,0,7319.415999999999,108009.693,4864.365,0,120193.474,112874.058,120193.474,120193.474,7.095956832514046,7.095956832514046,6.663834702695146,6.376653353251895,1.9595251616339333
1982,11703.04,26934,0.052,0.849,0.099,0,1400.568,22866.966,2666.4660000000003,0,8364.387,41715.615,3769.79,0,53849.792,45485.405,53849.792,53849.792,4.601350760144372,4.601350760144372,3.8866315931587003,3.564511015941157,1.5263499038998782
1983,16761.472,38523,0.052,0.849,0.099,0,2003.196,32706.027,3813.777,0,2555.02,46626.350000000006,1489.372,0,50670.742000000006,48115.72200000001,50670.742000000006,50670.742000000006,3.0230484530236965,3.0230484530236965,2.8706143469976864,2.7817574733293116,1.1062657437944745
1984,53720.67986,140758,0.052,0.849,0.099,0,7319.415999999999,119503.542,13935.042000000001,0,48808.86,76741.852,582.208,74.106,126207.026,77324.06,126132.92,126132.92,2.3479397566954026,2.3479397566954026,1.4393723274074737,1.4285346388019446,0.8535382443519444
1985,31945.74646,121223,0.069,0.891,0.04,0,8364.387,108009.693,4848.92,0,156.776,17065.972,3223.6110000000003,118.89,20565.249000000003,20289.583000000002,20446.359000000004,20446.359000000004,0.6400338469348763,0.6400338469348763,0.6351262765265183,0.5342173494480305,-0.4462342181910818
1986,15472.15812,49135,0.052,0.849,0.099,0,2555.02,41715.615,4864.365,0,545.8199999999999,3470.6310000000003,634.08,0,4650.531,4104.711,4650.531,4650.531,0.30057416450446667,0.30057416450446667,0.26529660362597174,0.2243146025966286,-1.202060751782462
1987,21090.09404,99205,0.492,0.47000000000000003,0.038,0,48808.86,46626.350000000006,3769.79,0,5582.652,32774.009999999995,1701.924,79.83,40138.416,34475.933999999994,40058.585999999996,40058.585999999996,1.899402910391195,1.899402910391195,1.6346979740636565,1.5540001831115589,0.641539579094255
1988,20652.928,78388,0.002,0.979,0.019,0,156.776,76741.852,1489.372,0,6103.0199999999995,48808.748999999996,4390.65,0,59302.418999999994,53199.399,59302.418999999994,59302.418999999994,2.8713807068905677,2.8713807068905677,2.575876844193714,2.3632847119788534,1.0547929966286926
1989,17947.46414,18194,0.03,0.9380000000000001,0.032,0,545.8199999999999,17065.972,582.208,0,10272.327000000001,35444.520000000004,1568.71,0,47285.55700000001,37013.23,47285.55700000001,47285.55700000001,2.634665077536687,2.634665077536687,2.0623097341928998,1.9749040713224684,0.9687560686155925
1990,6261.494874,12351,0.452,0.281,0.261,0.006,5582.652,3470.6310000000003,3223.6110000000003,74.106,0,311.54800000000006,67.86,0,379.4080000000001,379.4080000000001,379.4080000000001,379.4080000000001,0.06059383703649424,0.06059383703649424,0.06059383703649424,0.0497561694562205,-2.803562090146321
1991,19737.56439,39630,0.154,0.827,0.016,0.003,6103.0199999999995,32774.009999999995,634.08,118.89,313.74199999999996,2991.0600000000004,1500.265,0,4805.067000000001,4491.325000000001,4805.067000000001,4805.067000000001,0.2434478188420492,0.2434478188420492,0.2275521392231922,0.15154149422384736,-1.412852655760787
1992,33184.31818,60783,0.169,0.8029999999999999,0.028,0,10272.327000000001,48808.748999999996,1701.924,0,2161.08,19826.578999999998,1223.048,0,23210.707,21049.626999999997,23210.707,23210.707,0.6994480608008682,0.6994480608008682,0.6343245290085991,0.5974683250219486,-0.35746373952637844
