"popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment"
125,2002,"QualFiltered",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA
131,2002,"RELATIVE ABUNDANCE (TYPE-4)",NA,2,NA,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
131,2003,"QualFiltered",NA,NA,NA,78,1,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
131,2005,"QualFiltered",NA,NA,NA,37,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA
131,2006,"RELATIVE ABUNDANCE (TYPE-4)",NA,37,NA,37,24,NA,NA,NA,NA,61,NA,NA,NA,NA,NA
131,2007,"RELATIVE ABUNDANCE (TYPE-4)",NA,182,NA,182,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
131,2008,"QualFiltered",NA,NA,NA,123,8,NA,0,0,NA,NA,NA,NA,NA,NA,NA
131,2009,"QualFiltered",NA,NA,NA,75,14,NA,NA,NA,NA,89,NA,NA,NA,NA,NA
131,2010,"QualFiltered",NA,NA,NA,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
131,2011,"RELATIVE ABUNDANCE (TYPE-4)",NA,704,NA,704,192,NA,0,0,NA,896,NA,NA,NA,NA,NA
131,2012,"RELATIVE ABUNDANCE (TYPE-4)",NA,15,NA,15,1,NA,0,0,NA,16,NA,NA,NA,NA,NA
131,2013,"RELATIVE ABUNDANCE (TYPE-4)",NA,62,NA,62,4,NA,0,0,NA,66,NA,NA,NA,NA,NA
131,2014,"QualFiltered",NA,NA,NA,8,0,NA,0,0,NA,8,NA,NA,NA,NA,NA
131,2015,"RELATIVE ABUNDANCE (TYPE-4)",NA,81,NA,81,1,NA,0,0,NA,82,NA,NA,NA,NA,NA
131,2016,"RELATIVE ABUNDANCE (TYPE-3)",NA,48,NA,48,6,NA,0,0,NA,54,NA,NA,NA,NA,NA
131,2017,"QualFiltered",NA,NA,NA,3,2,NA,0,0,NA,5,NA,NA,NA,NA,NA
