"CU","SiteName","popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment","EstClassOrig"
"CK-12","DRISCOLL CREEK",125,2002,"QualFiltered","","","","","","","","","","26","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,1995,"INFILL","","","101.69484671636","","","","","","","","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,1996,"INFILL","","","118.421450259846","","","","","","","","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,1997,"INFILL","","","147.245566381754","","","","","","","","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,1998,"INFILL","","","202.043425109985","","","","","","","","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,1999,"INFILL","","","110.628056124909","","","","","","","","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,2000,"INFILL","","","48.352253171871","","","","","","","","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,2001,"INFILL","","","88.8523468672566","","","","","","","","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,2002,"RELATIVE ABUNDANCE (TYPE-4)","","2","2","2","1","","","","","3","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-31","CLEMENS CREEK",131,2003,"INFILL","","","206.104894283666","78","1","","","","","79","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,2004,"INFILL","","","183.393515707592","","","","","","","","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,2005,"INFILL","","","138.834948176339","37","","","","","","37","","","","","","QualFiltered"
"CK-31","CLEMENS CREEK",131,2006,"RELATIVE ABUNDANCE (TYPE-4)","","37","37","37","24","","","","","61","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-31","CLEMENS CREEK",131,2007,"RELATIVE ABUNDANCE (TYPE-4)","","182","182","182","0","","0","0","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-31","CLEMENS CREEK",131,2008,"INFILL","","","96.4829819010698","123","8","","0","0","","","","","","","","QualFiltered"
