"CU_ID","Year","AllSitesInfilled","LowUnkSitesInfilled","ModHighSitesInfilled","DU_ID","CU_Name","CU_acro"
"CK-01",1997,5,5,NA,"DU_Ok","Okanagan_1.x","OK"
"CK-01",1998,4,4,NA,"DU_Ok","Okanagan_1.x","OK"
"CK-02",1996,123,NA,123,"DU1","Boundary Bay_FA_0.3","BB"
"CK-02",1997,381,NA,381,"DU1","Boundary Bay_FA_0.3","BB"
"CK-03",1975,15000,15000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1976,7500,7500,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1977,25000,25000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1978,15000,15000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1979,15000,15000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1980,10000,10000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1981,20000,20000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1982,22000,22000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1983,6000,6000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1984,122403,122403,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1985,175419,175419,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1986,163329,163329,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1987,79956,79956,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1988,35583,35583,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1989,76085,76085,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1990,178854,178854,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1991,92079,92079,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1992,132385,132385,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1993,120487,120487,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1994,99649,99649,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1995,28835,28835,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1996,38643,38643,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1997,71955,71955,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1998,201261,201261,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1999,105536,105536,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",2000,79141,79141,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",2001,109836,109836,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
