Stock,Year,Spn,Rec,RecAge3,RecAge4,RecAge5,RecAge6,RecAge7,Total.Run,RpS,Total.Harvest
Alastair,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1953,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Alastair,1954,NA,NA,NA,NA,NA,4744.830072,0,NA,NA,NA
Alastair,1955,NA,NA,NA,NA,6326.440096,17504.31392,0,NA,NA,NA
Alastair,1956,NA,37412.84209,NA,379.5864025,23339.08523,13694.17045,0,NA,NA,NA
Alastair,1957,NA,30051.93504,0,1400.345102,18258.89394,10392.696,0,NA,NA,NA
Alastair,1958,NA,17526.54987,0,1095.533627,13856.928,2574.088242,0,NA,NA,NA
Alastair,1959,NA,14254.02738,0,831.4156732,3432.117656,9990.49405,0,NA,NA,NA
Alastair,1960,7763.168203,25957.85943,0,205.9270576,13320.65873,12431.27363,0,11450.85657,3.343719825,3687.688367
Alastair,1961,29389.13677,37048.09703,0,799.2395172,16575.03151,19673.826,0,42243.74426,1.260605145,12854.60749
Alastair,1962,22058.48794,49046.34754,0,994.5018824,26231.768,21820.07766,0,33048.59802,2.223468248,10990.11008
Alastair,1963,19962.43252,34620.52679,0,1573.906066,29093.43689,3953.183837,0,25081.03968,1.734283973,5118.60716
Alastair,1964,4214.29131,9991.13483,0,1745.606198,5270.911783,2974.616848,0,6212.132955,2.370774608,1997.841645
Alastair,1965,17522.57966,5861.047942,0,316.2547043,3966.155797,1578.637441,0,24110.3923,0.33448545,6587.81264
Alastair,1966,18631.60369,7902.214394,0,237.9693458,2104.849921,5559.395127,0,30000.80703,0.424129588,11369.20334
Alastair,1967,27725.60073,13444.72342,0,126.2909942,7412.526836,5905.905594,0,47479.50006,0.484920906,19753.89933
Alastair,1968,33270.72087,11040.67389,0,444.7516064,7874.540792,2721.381492,0,52659.12075,0.331843543,19388.39988
Alastair,1969,6654.144174,4840.724766,0,472.4724435,3628.508656,739.7436661,0,9540.350325,0.727475185,2886.206151
Alastair,1970,4990.608131,5415.688986,0,217.7105175,986.3248881,4211.65358,0,7178.741991,1.085176164,2188.13386
Alastair,1971,2550.755267,15558.06805,0,59.17949279,5615.538107,9883.350454,0,3809.778356,6.09939662,1259.023089
Alastair,1972,8872.192233,26501.23024,0,336.9322835,13177.80061,12986.49735,0,13416.67357,2.986999103,4544.481337
Alastair,1973,8872.192233,30617.64809,0,790.6680297,17315.3298,12511.65026,0,14252.91883,3.450967618,5380.726597
Alastair,1974,3881.584102,39192.23418,0,1038.919779,16682.20035,21471.11405,0,6567.600666,10.09696896,2686.016564
Alastair,1975,1330.828835,30894.40377,0,1000.932013,28628.15206,1265.319697,0,1785.248047,23.21440816,454.419212
Alastair,1976,6654.144174,11028.40641,0,1717.689109,1687.09293,7623.624371,0,10164.12397,1.65737413,3509.979796
Alastair,1977,15526.33641,18423.62576,0,101.2255749,10164.83249,8157.56769,0,23851.81909,1.186604829,8325.48268
Alastair,1978,19962.43252,16913.26171,0,609.8899445,10876.75692,5426.614841,0,31340.74693,0.847254546,11378.31441
Alastair,1979,19962.43252,13268.64671,0,652.6054097,7235.486455,5380.554843,0,30194.78263,0.664680855,10232.35011
Alastair,1980,33270.72087,22215.92281,0,434.1291836,7174.073124,14607.7205,0,51816.95522,0.667731934,18546.23435
Alastair,1981,1996.243252,25707.47179,0,430.4443838,19476.96067,5800.066734,0,3053.638202,12.87792545,1057.39495
Alastair,1982,10535.72828,19066.39934,0,1168.61763,7733.422312,10164.3594,0,18398.34681,1.809689737,7862.61853
Alastair,1983,14417.31238,23832.41771,0,464.0053348,13552.4792,9815.933178,0,19686.93002,1.653041641,5269.61764
Alastair,1984,8872.192233,20898.50391,0,813.148745,13087.9109,6997.444266,0,13096.23048,2.355506212,4224.038247
Alastair,1985,8872.192233,27323.58286,0,785.2746476,9329.925688,17208.38252,0,12985.07235,3.079687876,4112.880117
Alastair,1986,23289.50461,37766.25803,0,559.7955365,22944.51003,14261.95246,0,35253.2988,1.621599886,11963.79419
Alastair,1987,11090.24029,31772.72687,0,1376.67059,19015.93662,11380.11966,0,13997.49438,2.864926822,2907.25409
Alastair,1988,14417.31238,25875.11628,0,1140.956187,15173.49288,9560.667218,0,24529.98734,1.794725369,10112.67496
Alastair,1989,16560.22965,27873.30716,0,910.4095649,12747.55629,14215.34131,0,23689.11873,1.683147381,7128.88908
Alastair,1990,11090.24029,40958.01901,0,764.853371,18953.78841,21239.37723,0,16887.16549,3.693158844,5796.9252
Alastair,1991,24398.52864,53506.83154,0,1137.227295,28319.16964,24050.4346,0,41529.56314,2.193035175,17131.0345
Alastair,1992,17744.38447,45645.62935,0,1699.150164,32067.24613,11879.23306,0,34418.84527,2.572398576,16674.4608
Alastair,1993,16635.36044,20720.25927,0,1924.034752,15838.97741,2957.247108,0,27464.0221,1.245555174,10828.66166
Alastair,1994,14417.31238,12681.94154,0,950.3386364,3942.996144,7788.606756,0,23073.07688,0.879632847,8655.7645
Alastair,1995,18853.40849,21577.41945,0,236.5797667,10384.80901,10956.03067,0,34306.35701,1.144483739,15452.94852
Alastair,1996,27725.60073,17935.34082,0,623.0885352,14608.0409,2704.211387,0,51257.69704,0.646887366,23532.09631
Alastair,1997,26616.5767,38304.17782,0,876.4824465,3605.615182,33822.08019,0,58041.71548,1.439109854,31425.13878
Alastair,1998,20516.94454,53473.71243,0,216.3369091,45096.10692,8161.268596,0,28668.5491,2.60631949,8151.60456
Alastair,1999,5545.120145,19937.9408,0,2705.766393,10881.69146,6350.482941,0,7136.823019,3.595583193,1591.702874
Alastair,2000,12075.4233,15021.42738,0,652.9014822,8467.310588,5901.215306,0,18796.5043,1.24396694,6721.081
Alastair,2001,19611.24158,28795.96512,0,508.038631,7868.287074,20419.63941,0,26440.55402,1.468339728,6829.31244
Alastair,2002,4341.829074,28237.86925,0,472.0972205,27226.18589,539.5861385,0,6526.163478,6.503680537,2184.334404
Alastair,2003,64663.28901,15912.6027,0,1633.571139,719.4481847,13559.58338,0,81623.95351,0.246084029,16960.6645
Alastair,2004,15935.63229,54858.09472,0,43.16689072,18079.4445,36735.48333,0,19695.86154,3.442479954,3760.22925
Alastair,2005,13311.77219,72978.41121,0,1084.766661,48980.64443,22913.00011,0,15325.83216,5.482246102,2014.05997
Alastair,2006,11478.3987,52065.88768,0,2938.838641,30550.66682,18576.38223,0,14241.5996,4.535988777,2763.2009
Alastair,2007,35057.87332,40273.77674,0,1833.039993,24768.50964,13672.22711,0,49279.39644,1.148779801,14221.52312
Alastair,2008,984.2658272,25353.20045,0,1486.110566,18229.63615,5637.453731,0,1302.201214,25.75848896,317.9353868
Alastair,2009,29522.0922,19342.92484,0,1093.77816,7516.604974,10732.5417,0,32723.79454,0.655201695,3201.70234
Alastair,2010,79093.36085,48116.98756,0,450.9962947,14310.05561,33355.93566,0,88654.9664,0.608356846,9561.60555
Alastair,2011,44267.37816,51392.9085,0,858.6033291,44474.58089,6059.724283,0,55296.70692,1.160965719,11029.32876
Alastair,2012,36375.98815,12244.95999,0,2668.474831,8079.632378,1496.852777,0,44831.00243,0.336622058,8455.01428
Alastair,2013,30475.4425,4619.874875,0,484.7779386,1995.803702,2139.293234,0,32995.64142,0.151593365,2520.19892
Alastair,2014,11598.17655,3250.943412,0,119.7482211,2852.390979,278.8042113,0,13605.055,0.280297804,2006.87845
Alastair,2015,23600.03134,7273.001863,0,171.1434573,371.7389484,6730.119458,0,25901.20064,0.308177636,2301.1693
Alastair,2016,66596.89295,20248.33947,0,22.30433672,8973.49261,11252.54253,NA,80498.99138,0.304043306,13902.09843
Alastair,2017,13862.80036,NA,0,538.4095521,15003.39004,NA,NA,14624.1346,NA,761.33424
Alastair,2018,3278.49878,NA,0,900.2033946,NA,NA,NA,3612.4047,NA,333.90592
Alastair,2019,4306.578784,NA,0,NA,NA,NA,NA,5162.827671,NA,856.248887
Alastair,2020,602.8865865,NA,NA,NA,NA,NA,NA,672.8474965,NA,69.96091
Alastair,2021,12642.87393,NA,NA,NA,NA,NA,NA,16242.02162,NA,3599.14769
Alastair,2022,23489.12894,NA,NA,NA,NA,NA,NA,27156.13596,NA,3667.00702
Asitka,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1954,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Asitka,1955,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Asitka,1956,NA,NA,NA,NA,592.4967932,NA,NA,NA,NA,NA
Asitka,1957,NA,NA,NA,533.9137474,NA,NA,0,NA,NA,NA
Asitka,1958,NA,NA,83.97186239,NA,NA,0,0,NA,NA,NA
Asitka,1959,NA,NA,NA,NA,524.069939,0,0,NA,NA,NA
Asitka,1960,NA,NA,NA,472.2525899,492.027234,0,0,NA,NA,NA
Asitka,1961,600,1307.250474,74.27403711,443.3781033,789.5983339,0,0,1210.382403,2.178750791,610.382403
Asitka,1962,NA,1727.142501,69.73277098,711.5268982,945.8828316,0,0,NA,NA,NA
Asitka,1963,NA,1717.690217,111.9061629,852.3587859,753.4252679,0,0,NA,NA,NA
Asitka,1964,500,1156.574212,134.0556504,678.9304395,343.5881225,0,0,1070.596566,2.313148425,570.596566
Asitka,1965,550,515.3139629,106.7795196,309.6158902,98.91855308,0,0,1005.138108,0.936934478,455.1381083
Asitka,1966,600,246.0519393,48.69517417,89.13799362,108.2187715,0,0,1613.031395,0.410086566,1013.031395
Asitka,1967,600,223.1293602,14.0192744,97.51865413,111.5914317,0,0,1932.297268,0.371882267,1332.297268
Asitka,1968,600,900.4401826,15.33735186,100.5578429,784.5449878,0,NA,1539.135227,1.500733638,939.135227
Asitka,1969,350,725.8268602,15.81534357,706.973201,3.03831561,NA,NA,701.8991869,2.073791029,351.8991869
Asitka,1970,100,NA,111.1899752,2.737902537,NA,NA,NA,202.0758211,NA,102.0758211
Asitka,1971,100,NA,0.430606584,NA,NA,NA,0,221.0747775,NA,121.0747775
Asitka,1972,100,NA,NA,NA,NA,0,0,227.9646182,NA,127.9646182
Asitka,1973,600,NA,NA,NA,737.3291321,0,0,1602.708164,NA,1002.708164
Asitka,1974,2,NA,NA,664.4258071,111.6585681,0,NA,6.206824732,NA,4.206824732
Asitka,1975,NA,325.4351392,104.4982878,100.6183413,120.3185101,NA,NA,NA,NA,NA
Asitka,1976,NA,NA,15.82485851,108.4220326,NA,NA,NA,NA,NA,NA
Asitka,1977,NA,NA,17.0521925,NA,NA,NA,NA,NA,NA,NA
Asitka,1978,600,NA,NA,NA,NA,NA,NA,1506.253227,NA,906.253227
Asitka,1979,100,NA,NA,NA,NA,NA,NA,228.1017679,NA,128.1017679
Asitka,1980,100,NA,NA,NA,NA,NA,0,245.7927352,NA,145.7927352
Asitka,1981,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Asitka,1982,NA,NA,NA,NA,82.5883483,NA,NA,NA,NA,NA
Asitka,1983,NA,NA,NA,74.42243578,NA,NA,0,NA,NA,NA
Asitka,1984,NA,NA,11.70486912,NA,NA,0,0,NA,NA,NA
Asitka,1985,NA,NA,NA,NA,305.7990008,0,0,NA,NA,NA
Asitka,1986,NA,NA,NA,275.5631631,690.9994795,0,0,NA,NA,NA
Asitka,1987,100,1723.43286,43.33949468,622.6769931,1057.416372,0,NA,168.7156532,17.2343286,68.7156532
Asitka,1988,NA,1853.481164,97.9321979,952.8644616,802.6845046,NA,NA,NA,NA,NA
Asitka,1989,NA,NA,149.8627893,723.3191754,NA,NA,NA,NA,NA,NA
Asitka,1990,260,NA,113.760806,NA,NA,NA,NA,624.7016586,NA,364.7016586
