MU,StkSeq,Stock,StkNmS,LHAZ,StkID,Agg,S_msy,SgenBM,SmsyBM80p
Nass,1,Lower Nass Sea & River Type,LNassSRT,Nass Sea/River Type,1,Nass,40550.270029431194,15870.804038272214,32440.216023544956
Nass,2,Meziadin,Meziadin,Upper Nass Lake Type,2,Nass,131878.51206541265,27828.858573707497,105502.80965233012
Nass,3,Bowser,Bowser,Upper Nass Lake Type,3,Nass,NA,NA,NA
Nass,4,Oweegee,Oweege,Upper Nass Lake Type,4,Nass,NA,NA,NA
Nass,5,Kwinageese,Kwinag,Upper Nass Lake Type,5,Nass,7131.379188182521,1676.4908173200645,5705.103350546017
Nass,6,Damdochax,Damdoch,Upper Nass Lake Type,6,Nass,1694.257436700888,244.57761966891468,1355.4059493607106
Nass,7,Upper Nass River Type,UNassRT,Nass River Type,7,Nass,NA,NA,NA
Skeena,8,Johnston,Johnston,Lower Skeena Lake Type,8,Skeena,3132.58531684676,1447.8396143424316,2506.0682534774082
Skeena,9,Ecstall,Ecstall,Lower Skeena Lake Type,9,Skeena,NA,NA,NA
Skeena,10,Alastair,Alastair,Lower Skeena Lake Type,10,Skeena,12004.961791538832,3960.937849887743,9603.969433231066
Skeena,11,Lakelse,Lakelse,Lower Skeena Lake Type,11,Skeena,9120.779828764564,3890.179917755106,7296.623863011651
Skeena,12,Kitsumkalum,Kitsumk,Lower Skeena Lake Type,12,Skeena,14797.47804660911,3523.9249345863423,11837.98243728729
Skeena,13,Mcdonell,Mcdonell,Lower Skeena Lake Type,13,Skeena,2280.0255092200696,554.6410289324632,1824.0204073760558
Skeena,14,Kitwanga,Kitwanga,Middle Skeena Lake Type,14,Skeena,4395.445266845826,4614.17006634339,3516.356213476661
Skeena,15,Upper Bulkley Lakes,UBulkLk,Middle Skeena Lake Type,15,Skeena,NA,NA,NA
Skeena,16,Morice,Morice,Middle Skeena Lake Type,16,Skeena,9915.392021452684,1978.6250606291917,7932.313617162148
Skeena,17,Swan/Stephens,SwanSteph,Middle Skeena Lake Type,17,Skeena,15400.227074333376,5825.402758413414,12320.181659466702
Skeena,18,Babine Early Wild,Bab-EW,Middle Skeena Lake Type,18,Skeena,38505.908081494,15573.49883212167,30804.726465195203
Skeena,19,Babine Late Wild,Bab-LW,Middle Skeena Lake Type,19,Skeena,200910.96472036152,71559.77184260276,160728.7717762892
Skeena,20,Babine Mid Wild,Bab-MW,Middle Skeena Lake Type,20,Skeena,17093.36547975502,4662.715919186466,13674.692383804017
Skeena,21,Pinkut,Pinkut,Middle Skeena Lake Type,21,Skeena,NA,NA,NA
Skeena,22,Fulton,Fulton,Middle Skeena Lake Type,22,Skeena,NA,NA,NA
Skeena,23,Sicintine,Sicintine,Upper Skeena Lake Type,23,Skeena,NA,NA,NA
Skeena,24,Slamgeesh,Slamg,Upper Skeena Lake Type,24,Skeena,277.171922233023,88.67851969889045,221.73753778641841
Skeena,25,Motase,Motase,Upper Skeena Lake Type,25,Skeena,340.03193023904157,157.09739872366697,272.0255441912333
Skeena,26,Bear,Bear,Upper Skeena Lake Type,26,Skeena,4185.8534559392165,704.0486359526914,3348.6827647513733
Skeena,27,Asitka,Asitka,Upper Skeena Lake Type,27,Skeena,874.1887358960998,344.45750749264914,699.3509887168799
Skeena,28,Sustut,Sustut,Upper Skeena Lake Type,28,Skeena,961.9239440810524,169.51918144388253,769.539155264842
Skeena,29,Kluantantan,Kluant,Upper Skeena Lake Type,29,Skeena,NA,NA,NA
Skeena,30,Kluayaz,Kluayaz,Upper Skeena Lake Type,30,Skeena,NA,NA,NA
Skeena,31,Skeena River Type,Skeena RT,Skeena River Type,31,Skeena,NA,NA,NA
