Stock,Year,Spn,Rec,RecAge3,RecAge4,RecAge5,RecAge6,RecAge7,Total.Run,RpS,Total.Harvest
Alastair,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alastair,1953,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Alastair,1954,NA,NA,NA,NA,NA,4739.775051050894,0,NA,NA,NA
Alastair,1955,NA,NA,NA,NA,6319.700068067859,17485.66536953687,0,NA,NA,NA
Alastair,1956,NA,37372.98347947156,NA,379.1820008812475,23314.220492715827,13679.58098587448,0,NA,NA,NA
Alastair,1957,NA,30019.91875338551,0,1398.8532177473026,18239.44131449931,10381.6242211389,0,NA,NA,NA
Alastair,1958,NA,17507.877971597685,0,1094.3664696262094,13842.165628185201,2571.345873786275,0,NA,NA,NA
Alastair,1959,NA,14238.841675866694,0,830.5299306759024,3428.4611650483675,9979.850580142423,0,NA,NA,NA
Alastair,1960,7754.898063,25930.204530340594,0,205.7076681653579,13306.467440189901,12418.029421985335,0,11438.65712,3.34371958466588,3683.759057
Alastair,1961,29357.82838,37008.625918591075,0,798.3880396676763,16557.372562647117,19652.865316276282,0,42198.73908,1.2606050229451977,12840.9107
Alastair,1962,22034.98892,48994.093531459665,0,993.4423453675504,26203.820421701712,21796.830764390405,0,33013.38877,2.2234680357379397,10978.399849999998
Alastair,1963,19941.16645,34583.64247098896,0,1572.2292120220063,29062.441019187212,3948.9722397797455,0,25054.31978,1.7342838272627206,5113.153330000001
Alastair,1964,4209.801806,9980.490548728676,0,1743.7464464223872,5265.296319706328,2971.447782599961,0,6205.514707,2.3707744470307435,1995.7129009999999
Alastair,1965,17503.91277,5854.803749335534,0,315.91777651392744,3961.9303767999486,1576.955596021658,0,24084.70606,0.3344854277022048,6580.793290000001
Alastair,1966,18611.75535,7893.795539042135,0,237.71582060009055,2102.607461362211,5553.472257079833,0,29968.84433,0.4241295563259236,11357.08898
Alastair,1967,27696.06451,13430.399602275022,0,126.15644661613118,7404.629676106446,5899.613479552444,0,47428.91495,0.48492086655220684,19732.85044
Alastair,1968,33235.27741,11028.91119773322,0,444.2777768137204,7866.151306069926,2718.4821148495726,0,52603.01823,0.3318435125928807,19367.74082
Alastair,1969,6647.055483,4835.567470627062,0,471.96907437763,3624.6428197994305,738.9555764500014,0,9530.186336,0.7274751178163231,2883.1308530000006
Alastair,1970,4985.291612,5409.919227092173,0,217.47856735099683,985.2741019333354,4207.166557807841,0,7171.09398,1.0851760835956035,2185.8023679999997
Alastair,1971,2548.037935,15541.492753819131,0,59.1164456166632,5609.555410410455,9872.820897792013,0,3805.719504,6.099396143338475,1257.6815690000003
Alastair,1972,8862.740643,26472.99620479051,0,336.5733217817046,13163.76119705602,12972.661685952786,0,13402.37971,2.986998860865855,4539.639067
Alastair,1973,8862.740643,30585.028514654845,0,789.8256651519669,17296.88224793705,12498.320601565829,0,14237.73386,3.4509673414410043,5374.993217000001
Alastair,1974,3877.449031,39150.47940501375,0,1037.812926110163,16664.42746875444,21448.23901014915,0,6560.603502,10.096968159222142,2683.154471
Alastair,1975,1329.411097,30861.489300941543,0,999.8656396797344,28597.652013532206,1263.9716477296026,0,1783.346124,23.214406266492556,453.935027
Alastair,1976,6647.055483,11016.65752273502,0,1715.859106318642,1685.295530306137,7615.502886110241,0,10153.29529,1.6573740885585173,3506.239807
Alastair,1977,15509.79613,18403.99905238741,0,101.11773096426043,10154.00384814699,8148.87747327616,0,23826.40776,1.186604833366524,8316.611629999998
Alastair,1978,19941.16645,16895.245622568043,0,609.2402257427701,10865.169964368215,5420.83543245706,0,31307.35686,0.8472546310132245,11366.19041
Alastair,1979,19941.16645,13254.511990083249,0,651.9101923556248,7227.780576609414,5374.82122111821,0,30162.61371,0.6646808762826032,10221.44726
Alastair,1980,33235.27741,22192.25166023035,0,433.6668309335256,7166.428294824281,14592.156534472544,0,51761.75013,0.667731801557132,18526.472719999998
Alastair,1981,1994.116645,25680.083489801575,0,429.9856940575109,19456.20871263006,5793.889083114002,0,3050.384909,12.877924445488782,1056.2682639999998
Alastair,1982,10524.50451,19046.090226466975,0,1167.372512897397,7725.185444152004,10153.532269417574,0,18378.74696,1.8096899676721192,7854.24245
Alastair,1983,14401.95355,23807.030590596147,0,463.51112273399616,13538.0430258901,9805.476441972052,0,19665.95763,1.6530417563106323,5264.004080000001
Alastair,1984,8862.740643,20876.24801263068,0,812.2825746923257,13073.968589296072,6989.996848642281,0,13082.28284,2.3555070438757824,4219.542197000001
Alastair,1985,8862.740643,27294.502356486184,0,784.4381087318769,9319.99579818971,17190.0684495646,0,12971.23521,3.079690973248103,4108.494567000002
Alastair,1986,23264.69419,37726.05843451396,0,559.1997431680087,22920.091266086136,14246.767425259812,0,35215.73776,1.6216013039505146,11951.043570000005
Alastair,1987,11078.4258,31738.894711801375,0,1375.2054643492656,18995.689900346417,11367.999347105691,0,13982.58565,2.864928220379593,2904.15985
Alastair,1988,14401.95355,25847.52568412963,0,1139.7413843937693,15157.33246280759,9550.45183692827,0,24503.85787,1.7947235834634134,10101.90432
Alastair,1989,16542.58795,27843.536966965283,0,909.4399400867192,12733.935782571029,14200.161244307536,0,23663.88314,1.6831427495578333,7121.295190000001
Alastair,1990,11078.4258,40914.40678295828,0,764.0361405007029,18933.54832574338,21216.82231671419,0,16869.19239,3.6931607000480406,5790.766589999999
Alastair,1991,24372.53677,53450.07880791194,0,1136.0128899490805,28289.09642228559,24024.96949567727,0,41485.36518,2.193045365458359,17112.828410000002
Alastair,1992,17725.48129,45597.196616165114,0,1697.3457710002212,32033.29266090303,11866.558184261861,0,34382.19871,2.5724095086709555,16656.717419999997
Alastair,1993,16617.63871,20698.16954177096,0,1921.9975434197086,15822.077579015819,2954.0944193354335,0,27434.77175,1.2455541911207528,10817.13304
Alastair,1994,14401.95355,12668.431212158366,0,949.32464672232,3938.792559113912,7780.3140063221335,0,23048.42376,0.8796328337108382,8646.470210000001
Alastair,1995,18833.32387,21554.43855613851,0,236.32755155065462,10373.752008429512,10944.358996158342,0,34269.72246,1.1444840382357058,15436.398589999997
Alastair,1996,27696.06451,17916.37518514591,0,622.4251152483531,14592.47866154446,2701.471408353097,0,51203.26451,0.6468924557377812,23507.2
Alastair,1997,26588.22193,38263.80842000348,0,875.5487122971992,3601.96187780413,33786.29782990215,0,57980.2597,1.4391262612724656,31392.037770000003
Alastair,1998,20495.08774,53417.07297573904,0,216.11771084277348,45048.397106536206,8152.558158360063,0,28637.96041,2.6063354133139733,8142.872670000001
Alastair,1999,5539.212902,19916.639579099723,0,2702.9038035616445,10870.077544480086,6343.658231057992,0,7129.21453,3.5955721384004895,1590.001628
Alastair,2000,12062.5593,15005.193159465982,0,652.2046471598497,8458.210974743992,5894.7775375621395,0,18776.49113,1.2439477217298307,6713.931829999998
Alastair,2001,19590.34963,28767.935419017016,0,507.49265419801804,7859.7033834161875,20400.73938140281,0,26412.38637,1.4684748339030544,6822.03674
Alastair,2002,4337.203702,28211.6072960154,0,471.5821990216735,27200.98584187042,539.0392551233066,0,6519.550997,6.50456128749643,2182.3472950000005
Alastair,2003,64594.4029,15896.229034090898,0,1632.0591367267655,718.7190068310756,13545.450890533057,0,81537.59874,0.24609297896444984,16943.19584
Alastair,2004,15918.65598,54800.32475206271,0,43.12314004561774,18060.60118737741,36696.600424639684,0,19674.84035,3.442522083579993,3756.184369999999
Alastair,2005,13297.5911,72901.12273827578,0,1083.6360620895318,48928.800566186255,22888.68610999999,0,15309.36186,5.482280376201054,2011.7707600000012
Alastair,2006,11466.17071,52010.623732859785,0,2935.728009174059,30518.24814666666,18556.647577019066,0,14226.06312,4.536006400768106,2759.8924100000004
Alastair,2007,35020.52599,40230.99724182013,0,1831.0948733333512,24742.196769358758,13657.705599128023,0,49233.78436,1.1487833521777475,14213.258369999996
Alastair,2008,983.2172841,25326.28385554649,0,1484.53179362218,18210.2741321707,5631.47792975361,0,1300.881402,25.75858283322309,317.66411789999995
Alastair,2009,29490.64218,19322.39722695479,0,1092.616438701275,7508.6372396714805,10721.143548582031,0,32689.68814,0.6552043563181162,3199.0459599999995
Alastair,2010,79009.10232,48073.64633645082,0,450.5182305749114,14294.858064776043,33328.270041099866,0,88561.129,0.6084570628551703,9552.026679999995
Alastair,2011,44220.21991,51348.83631398387,0,857.6914766419284,44437.693388133164,6053.451449208778,0,55238.02913,1.1612071676371696,11017.809220000003
Alastair,2012,36337.23664,12232.801754163831,0,2666.2615807669663,8071.268598945039,1495.2715744518252,0,44783.37614,0.33664645100442153,8446.139499999997
Alastair,2013,30442.97686,4615.040851953074,0,484.27611184618337,1993.6954326024338,2137.069307504457,NA,32960.59617,0.15159624083993323,2517.619309999998
Alastair,2014,11585.82096,NA,0,119.62172494574116,2849.425743339276,NA,NA,13590.6334,NA,2004.8124400000015
Alastair,2015,23574.89011,NA,0,170.96554315626756,NA,NA,NA,25873.69309,NA,2298.8029800000004
Alastair,2016,66525.94695,NA,0,NA,NA,NA,NA,80432.22501,NA,13906.278059999997
Alastair,2017,13848.03226,NA,NA,NA,NA,NA,NA,14608.99616,NA,760.9639000000006
Alastair,2018,3275.00618,NA,NA,NA,NA,NA,NA,3608.588732,NA,333.5825520000003
Alastair,2019,4301.990965,NA,NA,NA,NA,NA,NA,5157.460594,NA,855.4696290000002
Asitka,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asitka,1954,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Asitka,1955,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Asitka,1956,NA,NA,NA,NA,592.4933381871634,NA,NA,NA,NA,NA
Asitka,1957,NA,NA,NA,533.9106340825102,NA,NA,0,NA,NA,NA
Asitka,1958,NA,NA,83.97137273032625,NA,NA,0,0,NA,NA,NA
Asitka,1959,NA,NA,NA,NA,524.0665109633463,0,0,NA,NA,NA
Asitka,1960,NA,NA,NA,472.2495007723803,492.0272340167477,0,0,NA,NA,NA
Asitka,1961,600,1307.2423467007384,74.27355126427341,443.37810329398377,789.5906921424813,0,0,1210.375345,2.1787372445012307,610.3753449999999
Asitka,1962,NA,1727.1356145567318,69.73277098356228,711.5200120178731,945.8828315552964,0,0,NA,NA,NA
Asitka,1963,NA,1717.6823739213348,111.90507983964547,852.3587858534169,753.4185082282725,0,0,NA,NA,NA
Asitka,1964,500,1156.568121127013,134.0556503989854,678.9243482271628,343.5881225008647,0,0,1070.589563,2.313136242254026,570.589563
Asitka,1965,550,515.3124260372207,106.77856154456474,309.61589021226615,98.91797428038984,0,0,1005.1381082942937,0.9369316837040376,455.1381082942937
Asitka,1966,600,246.0514177420697,48.69517417446329,89.13747204617025,108.21877152143615,0,0,1613.015784,0.4100856962367828,1013.0157839999999
Asitka,1967,600,223.12845963003542,14.01919237343992,97.51865413276317,111.59061312383233,0,0,1932.2972678076987,0.37188076605005904,1332.2972678076987
Asitka,1968,600,900.4319294587751,15.33735185554768,100.5571053218843,784.5374722813432,0,NA,1539.121418,1.500719882431292,939.121418
Asitka,1969,350,725.8199351637891,15.815227554283366,706.966428633335,3.0382789761707207,NA,NA,701.8991868875942,2.0737712433251114,351.89918688759417
Asitka,1970,100,NA,111.18891008532178,2.7378695255041676,NA,NA,NA,202.0746387,NA,102.07463870000001
Asitka,1971,100,NA,0.4306013923251113,NA,NA,NA,0,221.074777509747,NA,121.07477750974701
Asitka,1972,100,NA,NA,NA,NA,0,0,227.962946,NA,127.96294599999999
Asitka,1973,600,NA,NA,NA,737.3227478640526,0,0,1602.692811,NA,1002.6928109999999
