Variable,Year,Osoyoos,Skaha,Total,PercSkaha
Spawners,1961,3172.897818,NA,NA,NA
Spawners,1962,5430.506455,NA,NA,NA
Spawners,1963,26237.73109,NA,NA,NA
Spawners,1964,23251.55603,NA,NA,NA
Spawners,1965,17879.29135,NA,NA,NA
Spawners,1966,73659.0366,NA,NA,NA
Spawners,1967,26964.0961,NA,NA,NA
Spawners,1968,45522.88,NA,NA,NA
Spawners,1969,10710.592,NA,NA,NA
Spawners,1970,29341.888,NA,NA,NA
Spawners,1971,36090.9141,NA,NA,NA
Spawners,1972,21564,NA,NA,NA
Spawners,1973,12133,NA,NA,NA
Spawners,1974,7110.434712,NA,NA,NA
Spawners,1975,12739.23404,NA,NA,NA
Spawners,1976,16428.544,NA,NA,NA
Spawners,1977,13176.448,NA,NA,NA
Spawners,1978,4750.144,NA,NA,NA
Spawners,1979,15009.28,NA,NA,NA
Spawners,1980,15807.04,NA,NA,NA
Spawners,1981,16938.304,NA,NA,NA
Spawners,1982,11703.04,NA,NA,NA
Spawners,1983,16761.472,NA,NA,NA
Spawners,1984,53720.67986,NA,NA,NA
Spawners,1985,31945.74646,NA,NA,NA
Spawners,1986,15472.15812,NA,NA,NA
Spawners,1987,21090.09404,NA,NA,NA
Spawners,1988,20652.928,NA,NA,NA
Spawners,1989,17947.46414,NA,NA,NA
Spawners,1990,6261.494874,NA,NA,NA
Spawners,1991,19737.56439,NA,NA,NA
Spawners,1992,33184.31818,NA,NA,NA
Spawners,1993,17151.424,NA,NA,NA
Spawners,1994,1976.704,NA,NA,NA
Spawners,1995,4581.290136,NA,NA,NA
Spawners,1996,17034.93753,NA,NA,NA
Spawners,1997,11995.86628,NA,NA,NA
Spawners,1998,3708.12834,NA,NA,NA
Spawners,1999,5648,NA,NA,NA
Spawners,2000,29243,NA,NA,NA
Spawners,2001,41921.52918,NA,NA,NA
Spawners,2002,4898,NA,NA,NA
Spawners,2003,17753,NA,NA,NA
Spawners,2004,41571,NA,NA,NA
Spawners,2005,31536,NA,NA,NA
Spawners,2006,20819,NA,NA,NA
Spawners,2007,13504.13636,NA,NA,NA
Spawners,2008,127602.4545,NA,NA,NA
Spawners,2009,64141.36364,NA,NA,NA
Spawners,2010,209974,NA,NA,NA
Spawners,2011,77650,9426,87076,10.825026413707565
Spawners,2012,94071.31818,12236,106307.31818,11.510026035349657
Spawners,2013,36557,9110,45667,19.948759498105854
Spawners,2014,146700.8636,49731,196431.8636,25.317175680453097
Spawners,2015,10443,10160,20603,49.31320681454157
Spawners,2016,55190,33090,88280,37.48300860897145
Spawners,2017,10040,25364,35404,71.64162241554627
Spawners,2018,31001,25420,56421,45.054146505733684
Spawners,2019,13108,16338,29446,55.484615907084155
Spawners,2020,48138,32889,81027,40.590173645821764
Spawners,2021,10699,8774,19473,45.05725876855133
Rec,1961,NA,NA,NA,NA
Rec,1962,NA,NA,NA,NA
Rec,1963,NA,NA,NA,NA
Rec,1964,NA,NA,NA,NA
Rec,1965,NA,NA,NA,NA
Rec,1966,NA,NA,NA,NA
Rec,1967,NA,NA,NA,NA
Rec,1968,NA,NA,NA,NA
Rec,1969,NA,NA,NA,NA
Rec,1970,NA,NA,NA,NA
Rec,1971,NA,NA,NA,NA
Rec,1972,NA,NA,NA,NA
Rec,1973,NA,NA,NA,NA
Rec,1974,NA,NA,NA,NA
Rec,1975,NA,NA,NA,NA
Rec,1976,NA,NA,NA,NA
Rec,1977,NA,NA,NA,NA
Rec,1978,NA,NA,NA,NA
Rec,1979,NA,NA,NA,NA
Rec,1980,NA,NA,NA,NA
Rec,1981,112310.40191048905,NA,NA,NA
Rec,1982,45521.32274896054,NA,NA,NA
Rec,1983,48053.71143096001,NA,NA,NA
Rec,1984,77625.16667322733,NA,NA,NA
Rec,1985,22946.65648863579,NA,NA,NA
