NUSEDS_CU,NUSEDS_POP_ID,NUSEDS_GFE_ID,NUSEDS_SYSTEM_SITE,STAD_TribDeme,RPA_River_Mainstems,RPA_Tributaries,RPA_CU_Name_Alternative ,
INTERIOR FRASER,287,143,AHBAU CREEK,,,Ahbau Cr,MIDDLE FRASER,
INTERIOR FRASER,,,,,Baker Creek,,,
INTERIOR FRASER,,,,,,Baezaeko R,,
INTERIOR FRASER,,,,,,Beaver Cr,,
INTERIOR FRASER,,,,,,Bill Miner,,
INTERIOR FRASER,,,,,,Blue Lead Cr,,
INTERIOR FRASER,47223,133,BRIDGE RIVER,Bridge R,Bridge River,,MIDDLE FRASER,
INTERIOR FRASER,,,,,,Brittany Cr,,
INTERIOR FRASER,47203,131,CAYOOSH CREEK,,,Cayoosh Creek,MIDDLE FRASER,
INTERIOR FRASER,46835,285,CHILCOTIN RIVER,,Chilcotin R,,MIDDLE FRASER,
INTERIOR FRASER,,,,,,Chilcotin R (upper),,
INTERIOR FRASER,,,,,,Chilako R,,
INTERIOR FRASER,46845,286,CHILKO RIVER,Chilko R,,Chilko R,MIDDLE FRASER,
INTERIOR FRASER,,,,,,Clisbako R,,
INTERIOR FRASER,,,,,,Clusko Cr,,
INTERIOR FRASER,,,,,,Coglistiko R,,
INTERIOR FRASER,,,,,Cottonwood R (Swift),,,
INTERIOR FRASER,,,,,,Edney Cr,,
INTERIOR FRASER,,,,,,Euchiniko R,,
INTERIOR FRASER,,,,,French Bar Creek,,,
INTERIOR FRASER,47213,132,GATES CREEK,Gates Cr,Gates Cr,,MIDDLE FRASER,
INTERIOR FRASER,,,,,,Government Cr,,
INTERIOR FRASER,,,,,Hawks Cr,,,
INTERIOR FRASER,,,,,,Haylemore Cr,,
INTERIOR FRASER,,,,Hazeltine Cr (Edney),,,MIDDLE FRASER,not in NuSEDs because a consistent population has not been established.
INTERIOR FRASER,,,,,Hixon Cr,,,
INTERIOR FRASER,46895,291,HORSEFLY RIVER,Horsefly R,,Horsefly R,MIDDLE FRASER,
INTERIOR FRASER,,,,,,John-Boyd Cr,,
INTERIOR FRASER,1505,292,LITTLE HORSEFLY RIVER,Little Horsefly R,,Little Horsefly R,MIDDLE FRASER,
INTERIOR FRASER,,,,,,Little Swift R,,
INTERIOR FRASER,,,,,Mackin Cr,,,
INTERIOR FRASER,45045,2401,MCKINLEY CREEK,McKinley Cr,,McKinley Cr,MIDDLE FRASER,
INTERIOR FRASER,,,,,Meldrum Cr,,,
INTERIOR FRASER,44998,2381,MINTON CREEK,,,Minton Cr,MIDDLE FRASER,
INTERIOR FRASER,46915,293,MITCHELL RIVER,Mitchell R,,Mitchell R,MIDDLE FRASER,
INTERIOR FRASER,,,,,,Moffat Cr,,
INTERIOR FRASER,,,,,Narcosli Cr,,,
INTERIOR FRASER,,,,,,Nataniko R,,
