,Year,CU_ID,Species,Stock,Label,Metric,Compare,LBM,UBM,Value,Status
1,2010,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,62802.54623,NA,NA,NA,NA
2,2011,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,70782.65332,NA,NA,NA,NA
3,2012,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,71972.90286,NA,NA,NA,NA
4,2013,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,63709.07786,NA,NA,NA,NA
5,2014,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,51659.71433,NA,NA,NA,NA
6,2015,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,49199.47538,NA,NA,NA,NA
7,2016,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,48311.83853,NA,NA,NA,NA
8,2017,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,44135.07299,NA,NA,NA,NA
9,2018,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelUBM,44482.06779,NA,NA,NA,NA
10,2010,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,62802.54623,1000,10000,6.280254623,Green
11,2011,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,70782.65332,1000,10000,7.078265332,Green
12,2012,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,71972.90286,1000,10000,7.197290286,Green
13,2013,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,63709.07786,1000,10000,6.370907786,Green
14,2014,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,51659.71433,1000,10000,5.165971433,Green
15,2015,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,49199.47538,1000,10000,4.919947538,Green
16,2016,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,48311.83853,1000,10000,4.831183853,Green
17,2017,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,44135.07299,1000,10000,4.413507299,Green
18,2018,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsUBM,44482.06779,1000,10000,4.448206779,Green
19,2010,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
20,2011,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
21,2012,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
22,2013,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
23,2014,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
24,2015,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
25,2016,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,Green
26,2017,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,Green
27,2018,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,Green
28,2010,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,62802.54623,NA,NA,NA,NA
29,2011,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,70782.65332,NA,NA,NA,NA
30,2012,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,71972.90286,NA,NA,NA,NA
31,2013,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,63709.07786,NA,NA,NA,NA
32,2014,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,51659.71433,NA,NA,NA,NA
33,2015,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,49199.47538,NA,NA,NA,NA
34,2016,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,48311.83853,NA,NA,NA,NA
35,2017,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,44135.07299,NA,NA,NA,NA
36,2018,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,RelLBM,44482.06779,NA,NA,NA,NA
37,2010,CK-03,Chinook,Lower Fraser River_FA_0.3,SpnForAbd_Wild,AbsLBM,62802.54623,1000,10000,62.80254623,Green
