Pop_UID,Species_code,Pop_ID,Pop_Name,CU_ID,Lat,Lon,FAZ,JAZ,MAZ,Species,TimeSeriesData_Species,TimeSeriesData_Pop_Name,WSP_ts,Data_msg_code
CK-01.48442,CK,48442,OKANAGAN RIVER,CK-01,49.07636988,-119.5181801,OK,OK+ORWA,ORWA,Chinook,NA,NA,yes,WSP_ts
CK-02.1840,CK,1840,NICOMEKL RIVER,CK-02,49.05729658,-122.8698186,BB,BB+GStr,GStr,Chinook,NA,NA,no,Raw_ts
CK-02.2168,CK,2168,SERPENTINE RIVER,CK-02,49.08194793,-122.8529309,BB,BB+GStr,GStr,Chinook,NA,NA,no,Raw_ts
CK-02.586,CK,586,CAMPBELL RIVER/BB,CK-02,49.01345154,-122.7783585,BB,BB+GStr,GStr,Chinook,NA,NA,yes,WSP_ts
CK-03.46034,CK,46034,HARRISON RIVER,CK-03,49.21890306,-121.9450663,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,HARRISON RIVER,yes,WSP_ts
CK-04.46101,CK,46101,BIRKENHEAD RIVER,CK-04,50.30644079,-122.6070114,LILL,LILL+GStr,GStr,Chinook,Ck_SBC,BIRKENHEAD RIVER,yes,WSP_ts
CK-04.46111,CK,46111,GREEN RIVER/LILL,CK-04,50.30147365,-122.7224003,LILL,LILL+GStr,GStr,Chinook,Ck_SBC,GREEN RIVER,no,Raw_ts
CK-04.69055,CK,69055,RYAN RIVER,CK-04,50.3589405,-122.8356076,LILL,LILL+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-04.69350,CK,69350,COQUITLAM RIVER,CK-04,49.22648919,-122.8055618,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-04.69351,CK,69351,CHILLIWACK/VEDDER RIVER,CK-04,49.12566398,-122.0981661,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-05.47921,CK,47921,PITT RIVER-UPPER,CK-05,49.56628595,-122.6343385,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,PITT RIVER-UPPER,yes,WSP_ts
CK-05.69058,CK,69058,BLUE CREEK/LFR,CK-05,49.71314298,-122.717736,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-06.44538,CK,44538,LILLOOET RIVER,CK-06,49.7483959,-122.1526912,LILL,LILL+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-06.46029,CK,46029,LILLOOET RIVER-UPPER,CK-06,50.30287519,-122.6340291,LILL,LILL+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-06.46068,CK,46068,COGBURN CREEK,CK-06,49.53455563,-121.7638652,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,COGBURN CREEK,no,Raw_ts
CK-06.46076,CK,46076,BIG SILVER CREEK,CK-06,49.57559391,-121.8286997,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,BIG SILVER CREEK,yes,WSP_ts
CK-06.46082,CK,46082,TIPELLA CREEK,CK-06,49.74315616,-122.1508804,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,TIPELLA CREEK,no,Raw_ts
CK-06.46087,CK,46087,DOUGLAS CREEK/LILL,CK-06,49.76361308,-122.1547819,LILL,LILL+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-06.46097,CK,46097,SLOQUET CREEK,CK-06,49.76499948,-122.2029894,LILL,LILL+GStr,GStr,Chinook,Ck_SBC,SLOQUET CREEK,no,Raw_ts
CK-06.46967,CK,46967,LILLOOET RIVER-LOWER,CK-06,49.74741205,-122.1500543,LILL,LILL+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-06.46985,CK,46985,CHILLIWACK/VEDDER RIVER,CK-06,49.12566398,-122.0981661,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,CHILLIWACK,yes,WSP_ts
CK-07.47096,CK,47096,MARIA SLOUGH,CK-07,49.22791876,-121.733305,LFR,LFR+GStr,GStr,Chinook,Ck_SBC,MARIA SLOUGH,yes,WSP_ts
CK-08.47156,CK,47156,ANDERSON RIVER,CK-08,49.84240911,-121.4385973,FRCany,FRCany+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-08.47165,CK,47165,NAHATLATCH RIVER,CK-08,49.9779149,-121.5120321,FRCany,FRCany+GStr,GStr,Chinook,Ck_SBC,NAHATLATCH RIVER,yes,WSP_ts
CK-09.47189,CK,47189,PORTAGE CREEK,CK-09,50.70803014,-122.2700586,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,PORTAGE CREEK,yes,WSP_ts
CK-10.2483,CK,2483,SWIFT RIVER/MFR,CK-10,53.11916698,-122.6106377,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,SWIFT RIVER,yes,WSP_ts
CK-10.44752,CK,44752,BAEZAEKO RIVER,CK-10,53.13432105,-123.6717445,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,BAEZAEKO RIVER,yes,WSP_ts
CK-10.44762,CK,44762,NAZKO RIVER,CK-10,53.12659824,-123.5667422,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,NAZKO RIVER,yes,WSP_ts
CK-10.45051,CK,45051,MCKINLEY CREEK,CK-10,52.28894348,-121.0693469,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,MCKINLEY CREEK,no,Raw_ts
CK-10.45510,CK,45510,ENDAKO RIVER,CK-10,54.04983464,-124.9040503,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,ENDAKO RIVER,yes,WSP_ts
CK-10.45520,CK,45520,SHOVEL CREEK,CK-10,54.13876638,-125.2880668,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,SHOVEL CREEK,no,Raw_ts
CK-10.45599,CK,45599,DRIFTWOOD RIVER,CK-10,55.69931908,-126.2513263,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.45991,CK,45991,WEST ROAD (BLACKWATER) RIVER,CK-10,53.30965387,-122.8760445,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,WEST ROAD (BLACKWATER) RIVER,yes,WSP_ts
CK-10.46011,CK,46011,CHILAKO RIVER,CK-10,53.88615191,-122.9775951,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,CHILAKO RIVER,yes,WSP_ts
CK-10.46841,CK,46841,CHILCOTIN RIVER-UPPER,CK-10,52.33929599,-124.028396,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,CHILCOTIN RIVER-UPPER,yes,WSP_ts
CK-10.46842,CK,46842,CHILCOTIN RIVER-LOWER,CK-10,51.74039967,-122.4023235,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,CHILCOTIN RIVER-LOWER,yes,WSP_ts
CK-10.46861,CK,46861,TASEKO LAKE,CK-10,51.34893023,-123.619087,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,,no,Raw_ts
CK-10.46892,CK,46892,CARIBOO RIVER-UPPER,CK-10,52.82540899,-121.2758869,MFR,MFR+GStr,GStr,Chinook,Ck_SBC,CARIBOO RIVER-UPPER,no,Raw_ts
