CU_ID,Species,Stock,DataType,Label,Year,Metric,Compare,LBM,UBM,Value,Status
CK-01,Chinook,Okanagan_1.x ,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-01,Chinook,Okanagan_1.x ,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-01,Chinook,Okanagan_1.x ,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-01,Chinook,Okanagan_1.x ,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,60,50,75,60,Amber
CK-01,Chinook,Okanagan_1.x ,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-33,-25,-15,-33,Red
CK-01,Chinook,Okanagan_1.x ,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,890,3528,NA,NA
CK-01,Chinook,Okanagan_1.x ,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,890,3528,NA,NA
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,SpnForAbd_Wild,2012,AbsLBM,79720,1000,10000,79.72,Green
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,SpnForAbd_Wild,2012,AbsUBM,79720,1000,10000,7.972,Green
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,4,Green
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,SpnForAbd_Wild,2012,LongTrend,86,50,75,86,Green
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,SpnForAbd_Wild,2012,PercChange,-51,-25,-15,-51,Red
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,SpnForAbd_Wild,2012,RelLBM,79720,42918,71412,1.857495689,Green
CK-03,Chinook,Lower Fraser River_FA_0.3,Abs_Abd,SpnForAbd_Wild,2012,RelUBM,79720,42918,71412,1.116338991,Green
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
