Plot,CUIndex,Species,CU_ID,CU_Name,CU_Acro
Boundary Bay Chinook,-0.5,Chinook,CK-02,Boundary Bay_FA_0.3,BB
Lower Georgia Strait Chinook,-0.5,Chinook,CK-21,East Vancouver Island-Goldstream_FA_0.x,Goldstr
Lower Georgia Strait Chinook,1,Chinook,CK-22,East Vancouver Island-Cowichan & Koksilah_FA_0.x,CWCH-KOK
Middle Georgia Strait Chinook,-0.5,Chinook,CK-23,East Vancouver Island-Nanaimo_SP_1.x,NanR-spr
Middle Georgia Strait Chinook,1,Chinook,CK-25,East Vancouver Island-Nanaimo & Chemainus_FA_0.x,EVI-fall
Middle Georgia Strait Chinook,2.5,Chinook,CK-27,East Vancouver Island-Qualicum & Puntledge_FA_0.x,QP-fall
Middle Georgia Strait Chinook,4,Chinook,CK-83,East Vancouver Island - Georgia Strait Summer 0.3,GS-Sum
Upper Georgia Strait Chinook,-0.5,Chinook,CK-29,East Vancouver Island-North_FA_0.x,NEVI
Mainland Inlet Chinook,-0.5,Chinook,CK-20,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr
Mainland Inlet Chinook,1,Chinook,CK-28,Southern Mainland-Southern Fjords_FA_0.x,SMn-SFj
Mainland Inlet Chinook,2.5,Chinook,CK-34,Homathko_SU_x.x,Homa
Mainland Inlet Chinook,4,Chinook,CK-35,Klinaklini_SU_1.3,Klina
WCVI Chinook,-0.5,Chinook,CK-31,West Vancouver Island-South_FA_0.x,SWVI
WCVI Chinook,1,Chinook,CK-32,West Vancouver Island-Nootka & Kyuquot_FA_0.x,NoKy
WCVI Chinook,2.5,Chinook,CK-33,West Vancouver Island-North_FA_0.x,NWVI
Fraser Fall 4sub1 Chinook,-0.5,Chinook,CK_03,Lower Fraser River_FA_0.3,LFR-fall
Fraser Spring 4sub2 Chinook,-0.5,Chinook,CK_16,South Thompson-Bessette Creek_SU_1.2,STh-BESS
Fraser Spring 4sub2 Chinook,1,Chinook,CK_17,Lower Thompson_SP_1.2,LTh
Fraser Spring 5sub2 Chinook,-0.5,Chinook,CK_04,Lower Fraser River_SP_1.3,LFR-spring
Fraser Spring 5sub2 Chinook,1,Chinook,CK_08,Middle Fraser-Fraser Canyon_SP_1.3,FRCanyon
Fraser Spring 5sub2 Chinook,2.5,Chinook,CK_10,Middle Fraser River_SP_1.3,MFR-spring
Fraser Spring 5sub2 Chinook,4,Chinook,CK_12,Upper Fraser River_SP_1.3,UFR-spring
Fraser Spring 5sub2 Chinook,5.5,Chinook,CK_18,North Thompson_SP_1.3,NTh-spr
Fraser Summer 4sub1 Chinook,-0.5,Chinook,CK_07,Maria Slough_SU_0.3,Maria
Fraser Summer 4sub1 Chinook,1,Chinook,CK_13,South Thompson_SU_0.3,STh-0.3
