MU,StkSeq,Stock,StkNmS,LHAZ,Timing,StkID,Smsy,SmsyBM80p,NumSR,RecCap,Spn_BM_Bad,Spn_BM_OK,Ct_BM_Bad,Ct_BM_OK,Run_BM_Bad,Run_BM_OK,RpS_Avg,RpS_Recent,RpS_Hi,RpS_Lo,RpSAdj_Hi,RpSAdj_Lo,RpSAdj_Recent
Nass,1,Lower Nass Sea & River Type,LNassSRT,Nass Sea/River Type,1,1,44109.44814590039,35287.55851672031,34,144331.560625452,1403.8473484,5308.1940701700005,1718.1551188,7672.636191979999,2839.6037744,13666.337018999999,2.9,3.44,3.7911457021995894,1.8363329669450068,1.3072916214481343,0.6332182644637955,1.186206896551724
Nass,2,Meziadin,Meziadin,Upper Nass Lake Type,2,2,155575.38724760356,124460.30979808286,32,2049315.865164,109312,144033.34,75411.42433000001,215427.976694,193577.42433,369188.14451799996,2.28,2.06,3.750648842705007,1.8086574853017703,1.6450214222390382,0.7932708268867414,0.9035087719298247
Nass,3,Bowser,Bowser,Upper Nass Lake Type,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.5,1.8
Nass,4,Oweegee,Oweege,Upper Nass Lake Type,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.5,1.8
Nass,5,Kwinageese,Kwinag,Upper Nass Lake Type,2,5,7582.8881454958055,6066.310516396645,32,128695.70895777867,433.90000000000003,2213.75,502.63791235,3792.49058776416,903.73791235,7170.29639118,2.58,2.87,4.172645211820773,1.9032659694686407,1.617304345666966,0.7376999881661398,1.1124031007751938
Nass,6,Damdochax,Damdoch,Upper Nass Lake Type,2,6,4441.882916883364,3553.506333506691,32,49386.586076676176,577.9,1735.38,1282.256215,2331.96205614,2535.7107873000004,5128.14610202,3.11,2.88,3.898450872612739,2.755417059603402,1.2535211809044178,0.8859861927985216,0.9260450160771704
Nass,7,Upper Nass River Type,UNassRT,Nass River Type,4,7,NA,NA,4,5880.591111188686,139.8,232.44,109.74718722,458.384957184,262.29430098,794.2557017140001,1.64,3.88,2.4997555535308034,0.7419719468534433,1.5242411911773193,0.5,1.5242411911773193
SkeenaWild,8,Johnston,Johnston,Lower Skeena Lake Type,3,8,2974.3776438774894,2379.5021151019914,14,30005.687664870497,978.4249913600001,2493.741258,255.86701326993693,1728.1651424000001,2016.614047839747,4694.5414066799995,1,NA,1.6079604337324795,0.8541039623819658,1.6079604337324795,0.8541039623819658,1.6079604337324795
SkeenaWild,9,Ecstall,Ecstall,Lower Skeena Lake Type,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.5,1.8
SkeenaWild,10,Alastair,Alastair,Lower Skeena Lake Type,2,10,11559.386174930089,9247.508939944071,54,87481.34728593093,4333.6824283,13611.3425612,846.0190561000003,2655.7149769999996,6383.341956700001,17956.3526718,1.66,0.9,2.3704690989676442,1.1548710217528644,1.4279934331130388,0.6957054347908822,0.5421686746987953
SkeenaWild,11,Lakelse,Lakelse,Lower Skeena Lake Type,1,11,8950.789895701078,7160.631916560863,55,108721.41432232491,3081.3819307,7902.619178429999,455.0407389999998,1043.7690431800006,4039.8462167000002,9230.991880021753,1.34,1.85,2.2907972531320606,0.7903260381268515,1.7095501889045228,0.5897955508409339,1.380597014925373
SkeenaWild,12,Kitsumkalum,Kitsumk,Lower Skeena Lake Type,4,12,14623.62326596646,11698.89861277317,54,71437.40942046358,13853.375232200002,19409.03819,4686.800082977928,10185.116019960002,22843.93996,31213.952753999998,2.54,1.3,3.156491602588728,1.4597247605877168,1.242713229365641,0.5746947876329593,0.5118110236220472
SkeenaWild,13,Mcdonell,Mcdonell,Lower Skeena Lake Type,1,13,2185.152303488568,1748.1218427908545,42,24957.427754538217,3032,3829.44635383,162.86883099999977,442.2570665099998,3570.1517003,4337.20660242,1.75,2.01,2.8135657833166525,1.029554544682524,1.6077518761809444,0.588316882675728,1.1485714285714284
SkeenaWild,14,Kitwanga,Kitwanga,Middle Skeena Lake Type,4,14,5954.459793149579,4763.567834519664,19,28087.046857937858,231,961.6,109.15691019999997,318.25331268,458.8400446,1387.0116754,2.82,1.51,4.441025366713417,1.1533593705382026,1.5748316903239068,0.5,0.5354609929078015
SkeenaWild,15,Upper Bulkley Lakes,UBulkLk,Middle Skeena Lake Type,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.5,1.8
SkeenaWild,16,Morice,Morice,Middle Skeena Lake Type,2,16,10397.541423033654,8318.033138426923,54,152806.84920652508,6865.715843700001,13529.977773999999,2422.2670028000002,4758.69886502,9880.4749251,18367.9150576,2.58,1.73,4.375473526863275,1.6052876526585529,1.6959199716524322,0.6222045165343228,0.6705426356589147
SkeenaWild,17,Swan/Stephens,SwanSteph,Middle Skeena Lake Type,2,17,20934.296716803412,16747.43737344273,54,190264.96991952,4800.03143766,10825.22614428,899.3529739199998,3351.5277910699997,6027.28880382,14825.62818788,1.64,1.05,1.9470900468332424,1.233496740415812,1.1872500285568552,0.7521321587901293,0.6402439024390244
SkeenaWild,18,Babine Early Wild,Bab-EW,Middle Skeena Lake Type,3,18,42937.838159166946,34350.27052733356,55,744923.8392223567,16167.361496000001,26790.897044700003,3511.2112884000007,23293.3694769,26706.843027000006,50103.3688366,1.86,1.1,2.7126085658913732,1.1467306116818439,1.458391702092136,0.6165218342375505,0.5913978494623656
SkeenaWild,19,Babine Late Wild,Bab-LW,Middle Skeena Lake Type,5,19,245179.4899684306,196143.5919747445,55,2560923.9074958023,83671.064839,107291.72684,43982.69898,88125.671203,135907.75546000001,229326.752697,2.14,1.54,3.4811110845843167,1.1821295248694639,1.6266874227029517,0.5523969742380672,0.719626168224299
SkeenaWild,20,Babine Mid Wild,Bab-MW,Middle Skeena Lake Type,4,20,17245.5726032318,13796.458082585443,55,209877.297471456,7311.2402305,12560.5679787,4001.1028205999996,11995.31770218,15696.081587000002,25192.3844034,2.32,2.18,3.360260612704715,1.181979818754002,1.4483881951313429,0.5094740598077595,0.9396551724137933
SkeenaChannel,21,Pinkut,Pinkut,Middle Skeena Lake Type,3,21,233573.88495160404,186859.10796128324,55,2488273.473044644,69209.183422,106635.58572,53183.63834,106026.4658422,150383.93311,188975.15622399998,3.04,1.35,5.0284457576019745,1.6931843845459364,1.6540939992111758,0.5569685475480054,0.4440789473684211
