Species,Species_Short,CU_ID,StkID,StkNm,Conservation_Unit,CU_Acro,latitude,long,FAZ,MAZ,JAZ,Area,Avg_Gen,RunTiming,LifeHistory,SK_Data_CU_Name
Chinook,Ck,CK_9006,NA,NA,Fraser-Cross-CU Supplementation Exclusion,FR-XCU,49.125664,-122.098166,NA,NA,NA,Fraser,NA,Summer,NA,
Chinook,Ck,CK_9008,NA,NA,Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,49.125664,-122.098166,NA,NA,NA,Fraser,NA,Fall,NA,
Chinook,Ck,CK_03,NA,NA,Lower Fraser River_FA_0.3,LFR-fall,49.218903,-121.945066,NA,NA,NA,Fraser_Lower,4,Fall,Ocean,
Chinook,Ck,CK_04,NA,NA,Lower Fraser River_SP_1.3,LFR-spring,49.460826,-122.4924814,NA,NA,NA,Fraser_Lower,5,Spring,Stream,
Chinook,Ck,CK_06,NA,NA,Lower Fraser River_SU_1.3,LFR-summer,49.72016855,-122.157779,NA,NA,NA,Fraser_Lower,5,Summer,Stream,
Chinook,Ck,CK_05,NA,NA,Lower Fraser River-Upper Pitt_SU_1.3,LFR-UPITT,49.566286,-122.634339,NA,NA,NA,Fraser_Lower,5,Summer,Stream,
Chinook,Ck,CK_17,NA,NA,Lower Thompson_SP_1.2,LTh,50.336506,-120.9842179,NA,NA,NA,Fraser_Thompson,4,Spring,Stream,
Chinook,Ck,CK_07,NA,NA,Maria Slough_SU_0.3,Maria,49.227919,-121.733305,NA,NA,NA,Fraser_Lower,4,Summer,Ocean,
Chinook,Ck,CK_10,NA,NA,Middle Fraser River_SP_1.3,MFR-spring,52.72549964,-122.6181922,NA,NA,NA,Fraser_Upper,5,Spring,Stream,
Chinook,Ck,CK_11,NA,NA,Middle Fraser River_SU_1.3,MFR-summer,52.94072095,-123.4585458,NA,NA,NA,Fraser_Upper,5,Summer,Stream,
Chinook,Ck,CK_09,NA,NA,Middle Fraser River-Portage_FA_1.3,Portage,50.70803,-122.270059,NA,NA,NA,Fraser_Upper,5,Fall,Stream,
Chinook,Ck,CK_08,NA,NA,Middle Fraser-Fraser Canyon_SP_1.3,FRCanyon,49.977915,-121.512032,NA,NA,NA,Fraser_Upper,5,Spring,Stream,
Chinook,Ck,CK_18,NA,NA,North Thompson_SP_1.3,NTh-spr,51.83759443,-119.6156737,NA,NA,NA,Fraser_Thompson,5,Spring,Stream,
Chinook,Ck,CK_19,NA,NA,North Thompson_SU_1.3,NTh-sum,51.43836057,-120.0999803,NA,NA,NA,Fraser_Thompson,5,Summer,Stream,
Chinook,Ck,CK_15,NA,NA,Shuswap River_SU_0.3,STh-SHUR,50.576293,-118.8984295,NA,NA,NA,Fraser_Thompson,4,Summer,Ocean,
Chinook,Ck,CK_13,NA,NA,South Thompson_SU_0.3,STh-0.3,50.94251125,-119.4355425,NA,NA,NA,Fraser_Thompson,4,Summer,Ocean,
Chinook,Ck,CK_14,NA,NA,South Thompson_SU_1.3,STh-1.3,50.8752315,-119.251533,NA,NA,NA,Fraser_Thompson,5,Summer,Stream,
Chinook,Ck,CK_16,NA,NA,South Thompson-Bessette Creek_SU_1.2,STh-BESS,50.25159,-118.935535,NA,NA,NA,Fraser_Thompson,4,Summer,Stream,
Chinook,Ck,CK_82,NA,NA,Upper Adams River_SU_x.x,UADAMS,51.411,-119.456,NA,NA,NA,Fraser_Thompson,5,Summer,Ocean,
Chinook,Ck,CK_12,NA,NA,Upper Fraser River_SP_1.3,UFR-spring,53.67953103,-120.9021509,NA,NA,NA,Fraser_Upper,5,Spring,Stream,
Coho,Co,CO_05,NA,NA,Fraser Canyon,,NA,NA,FRCany,GStr,FRCany+GStr,Fraser_Canyon,3,NA,NA,
Coho,Co,CO_07,NA,NA,Lower Thompson,,NA,NA,LTHOM,GStr,LTHOM+GStr,Fraser_Thompson,3,NA,NA,
Coho,Co,CO_06,NA,NA,Middle Fraser,,NA,NA,MFR,GStr,MFR+GStr,Fraser_Mid,3,NA,NA,
Coho,Co,CO_09,NA,NA,North Thompson,,NA,NA,NTHOM,GStr,NTHOM+GStr,Fraser_Thompson,3,NA,NA,
Coho,Co,CO_08,NA,NA,South Thompson,,NA,NA,STHOM,GStr,STHOM+GStr,Fraser_Thompson,3,NA,NA,
Sockeye,Sk,CU_19,16,Gate,Anderson_Seton_ES,,,,,,,,4,Early Summer,,Anderson-Seton - Early Summer
Sockeye,Sk,CU_1,4,Bowr,Bowron_ES,,53.145776,-121.093205,UFR,GStr,UFR+GStr,Fraser_Mid,4,Early Summer,NA,Bowron - Early Summer
Sockeye,Sk,CU_6,7,Chil,Chilko_S_ES,,51.325983,-124.095829,MFR,GStr,MFR+GStr,Fraser_Mid,4,Summer,NA,Chilko - Summer
Sockeye,Sk,CU_17,NA,NA,Chilliwack_ES,,49.079098,-121.435047,LFR,GStr,LFR+GStr,Fraser_Lower,4,Early Summer,NA,Chilliwack - Early Summer
Sockeye,Sk,CU_8,11,Cult,Cultus_L,,49.061475,-121.983312,LFR,GStr,LFR+GStr,Fraser_Lower,4,Late,NA,Cultus - Late
Sockeye,Sk,CU_7,3,Stell,Fran_Fras_S,,54.074324,-124.767103,MFR,GStr,MFR+GStr,Fraser_Mid,4,Summer,NA,Francois-Fraser - Summer
Sockeye,Sk,CU_13,NA,NA,Harrison_DS_L,,49.566419,-121.869325,LFR,GStr,LFR+GStr,Fraser_Lower,4,Late,NA,Harrison (D/S) - Late
Sockeye,Sk,CU_9,19,Harr,Harrison_R,,49.286905,-121.899221,LFR,GStr,LFR+GStr,Fraser_Lower,4,Summer,NA,Harrison River - Summer
Sockeye,Sk,CU_11,13,Weav,Harrison_US_L,,49.555384,-121.862927,LFR,GStr,LFR+GStr,Fraser_Lower,4,Late,NA,Harrison (U/S) - Late
Sockeye,Sk,CU_2,5,Raft,Kamloops_ES,,50.731927,-120.602129,NTh,GStr,NTh+GStr,Fraser_Thompson_Lower,4,Early Summer,NA,Kamloops - Summer
Sockeye,Sk,CU_12,10,Birk,Lillooet_Harr_L,,50.261719,-122.532211,LILL,GStr,LILL+GStr,Fraser_Lower,4,Late,NA,Lillooet-Harrison - Late
Sockeye,Sk,CU_3,17,Nadi,Nadina_Francois_ES,,54.025274,-125.690174,MFR,GStr,MFR+GStr,Fraser_Mid,4,Early Summer,NA,Nadina-Francois - Early Summer
Sockeye,Sk,CU_14,NA,NA,Nahatlatch_ES,,49.978597,-121.775875,FRCany,GStr,FRCany+GStr,Fraser_Canyon,4,Early Summer,NA,Nahatlatch - Early Summer
Sockeye,Sk,CU_4,14,UBarr,North_Barriere_ES,,51.330911,-119.853905,NTh,GStr,NTh+GStr,Fraser_Thompson,4,Early Summer,NA,North Barriere - Early Summer
Sockeye,Sk,CU_5,18,UPit,Pitt_ES,,49.428248,-122.541373,LFR,GStr,LFR+GStr,Fraser_Lower,4,Early Summer,NA,Pitt - Early Summer
Sockeye,Sk,CU_22,6,Ques,Quesnel_S,,,,,,,,4,Summer,,Quesnel - Summer
Sockeye,Sk,CU_10,12,Port,Seton_L,,50.685389,-122.101863,NTh,GStr,NTh+GStr,Fraser_Thompson,4,Late,NA,Seton - Late
Sockeye,Sk,CU_20,99,Scot&Sey,Shuswap_ES,,,,,,,,4,Early Summer,,Shuswap - Early Summer
Sockeye,Sk,CU_23,9,LShu,Shuswap_L,,,,,,,,4,Late,,Shuswap Complex - Late
Sockeye,Sk,CU_18,1,EStu,Takla_Trem_EStu,,,,,,,,4,Early Stuart,,Takla-Trembleur - Early Stuart
Sockeye,Sk,CU_21,2,LStu,Takla_Trem_S_S,,,,,,,,4,Summer,,Takla-Trembleur-Stuart - Summer
Sockeye,Sk,CU_15,NA,NA,Taseko_ES,,51.335367,-123.615414,MFR,GStr,MFR+GStr,Fraser_Mid,4,Early Summer,NA,Taseko - Early Summer
Sockeye,Sk,CU_16,NA,NA,Widgeon_RT,,49.366612,-122.637603,LFR,GStr,LFR+GStr,Fraser_Lower,4,Summer,NA,Widgeon - Summer
