CU_ID,CWT_Ind_POP_ID,CWT_Ind_SYSNM,CWT_Ind_Exact,CWT_Ind_Proxy,species,CU_Name,CU_acro,CU-Code,type,DU_ID,latitude,longitude,CU_fname,full_CU_acro,comments,Area,RunTime,SBC_CK,AvgGen,AvgGen_Decimal,Areas_MayWS,Predominant_Juvenile_Type,Yr_FirstRels,Yr_FirstRels_fromSameCU,Yr_FirstRels_fromOtherCU,DataQual_Category,DataQual_Level
CK-01,,,,SUM,CK,Okanagan_1.x,OK,,current,DU_Ok,49.07637,-119.51818,CK::Okanagan,CK::OK,"Proxy CWT indicator used for AvgGen is SUM (Columbia River Summer stock, upper Columbia River); 4 chosen for AvgGen time rather than the actual rounded value of 3",CR,Summer,Y,4,4.489927,GS+OK,Ocean,,,,Rel_Idx,
CK-02,,,,NSF,CK,Boundary Bay_FA_0.3,BB,,current,DU1,49.050899,-122.8337027,CK::Boundary Bay,CK::BB,"Proxy CWT indicator used for AvgGen is NSF (Nooksack Fall stock, North Puget Sound)",SC,Fall,Y,4,3.765861,GS+OK,Ocean,1984,1984,1991,Rel_Idx,
CK-03,46034,HARRISON RIVER,HAR,HAR,CK,Lower Fraser River_FA_0.3,LFR-fall,,current,DU2,49.218903,-121.945066,CK::Lower Fraser River-fall timing (white),CK::LFR-fall,,FR,Fall,Y,4,3.797094,Fraser-Lower,Ocean,1972,1972,1997,Abs_Abd,
CK-04,,,,DOM,CK,Lower Fraser River_SP_1.3,LFR-spring,,current,DU3,49.460826,-122.4924814,CK::Lower Fraser River-spring timing,CK::LFR-spring,Alouette & Stave extirpated due to dam construction,FR,Spring,Y,5,4.515152,Fraser-Lower,Stream,1978,1978,1989,Rel_Idx,
CK-05,,,,DOM,CK,Lower Fraser River-Upper Pitt_SU_1.3,LFR-UPITT,,current,DU4,49.566286,-122.634339,CK::Lower Fraser River-Upper Pitt,CK::LFR-UPITT,,FR,Summer,Y,5,4.515152,Fraser-Lower,Stream,1982,1982,,Rel_Idx,
CK-06,,,,DOM,CK,Lower Fraser River_SU_1.3,LFR-summer,,current,DU5,49.72016855,-122.157779,CK::Lower Fraser River-summer timing,CK::LFR-summer,,FR,Summer,Y,5,4.515152,Fraser-Lower,Stream,1982,1982,1982,Rel_Idx,
CK-07,,,,SHU,CK,Maria Slough_SU_0.3,Maria,,current,DU6,49.227919,-121.733305,CK::Maria Slough,CK::Maria,,FR,Summer,Y,4,3.8285,Fraser-Lower,Ocean,1990,1990,,Rel_Idx,
CK-08,,,,DOM,CK,Middle Fraser-Fraser Canyon_SP_1.3,FRCanyon,,current,DU7,49.977915,-121.512032,CK::Fraser Canyon-Nahatlatch,CK::NAHAT,,FR,Spring,Y,5,4.515152,Fraser-UpperUPF,Stream,,,,Rel_Idx,
CK-09,,,,DOM,CK,Middle Fraser River-Portage_FA_1.3,Portage,,current,DU8,50.70803,-122.270059,CK::Middle Fraser River-Portage,CK::Portage,,FR,Fall,Y,5,4.515152,Fraser-UpperUPF,Stream,,,,Rel_Idx,
CK-10,,,,DOM,CK,Middle Fraser River_SP_1.3,MFR-spring,,current,DU9,52.72549964,-122.6181922,CK::Middle Fraser River-spring timing,CK::MFR-spring,,FR,Spring,Y,5,4.515152,Fraser-UpperUPF,Stream,1983,1983,1989,Rel_Idx,
CK-11,,,,DOM,CK,Middle Fraser River_SU_1.3,MFR-summer,,current,DU10,52.94072095,-123.4585458,CK::Middle Fraser River-summer timing,CK::MFR-summer,,FR,Summer,Y,5,4.515152,Fraser-UpperUPF,Stream,1981,1981,,Rel_Idx,
CK-12,47487,DOME CREEK,DOM,DOM,CK,Upper Fraser River_SP_1.3,UFR-spring,,current,DU11,53.67953103,-120.9021509,CK::Upper Fraser River-spring timing,CK::UFR-spring,,FR,Spring,Y,5,4.515152,Fraser-UpperUPF,Stream,1981,1981,,Rel_Idx,
CK-13,,,,SHU,CK,South Thompson_SU_0.3,STh-0.3,,current,DU12,50.94251125,-119.4355425,CK::South Thompson-summer timing-age 0.3,CK::STh-0.3,,FR,Summer,Y,4,3.8285,Fraser-THOM,Ocean,,,,Rel_Idx,
CK-14,,,,DOM,CK,South Thompson_SU_1.3,STh-1.3,,current,DU13,50.8752315,-119.251533,CK::South Thompson-summer timing-age 1.3,CK::STh-1.3,,FR,Summer,Y,5,4.515152,Fraser-THOM,Stream,1984,1984,,Rel_Idx,
CK-15,46447,SHUSWAP RIVER-MIDDLE,SHU,SHU,CK,Shuswap River_SU_0.3,STh-SHUR,,current,DU12,50.576293,-118.8984295,CK::Shuswap River-summer timing-age 0.3,CK::STh-SHUR,,FR,Summer,Y,4,3.8285,Fraser-THOM,Ocean,1982,1982,,Abs_Abd,
CK-16,,,,NIC,CK,South Thompson-Bessette Creek_SU_1.2,STh-BESS,,current,DU14,50.25159,-118.935535,CK::South Thompson-Bessette Creek,CK::STh-BESS,,FR,Summer,Y,4,4.063568,Fraser-THOM,Stream,,,,Rel_Idx,
CK-17,46176,NICOLA RIVER,NIC,NIC,CK,Lower Thompson_SP_1.2,LTh,,current,DU15,50.336506,-120.9842179,CK::Lower Thompson-spring timing-age 1.2,CK::LTh,,FR,Spring,Y,4,4.063568,Fraser-THOM,Stream,1981,1981,,Rel_Idx,
CK-18,,,,DOM,CK,North Thompson_SP_1.3,NTh-spr,,current,DU16,51.83759443,-119.6156737,CK::North Thompson-spring timing-age 1.3,CK::NTh-spr,,FR,Spring,Y,5,4.515152,Fraser-THOM,Stream,1986,1986,,Rel_Idx,
CK-19,,,,DOM,CK,North Thompson_SU_1.3,NTh-sum,,current,DU17,51.43836057,-120.0999803,CK::North Thompson-summer timing-age 1.3,CK::NTh-sum,,FR,Summer,Y,5,4.515152,Fraser-THOM,Stream,1985,1985,,Rel_Idx,
CK-20,,,,BQR,CK,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr,,current,DU18,49.82000109,-123.6849117,CK::South Coast-Georgia Strait,CK::SC+GStr,,SC,Fall,Y,4,3.600164,GS+OK,Ocean,1969,1976,1969,Rel_Idx,
CK-21,,,,COW,CK,East Vancouver Island-Goldstream_FA_0.x,Goldstr,,current,DU21,48.521776,-123.5053625,CK::East Vancouver Island-Goldstream,CK::Goldstr,,SC,Fall,Y,3,3.278956,GS+OK,Ocean,1983,1983,1984,Abs_Abd,
CK-22,40023,COWICHAN RIVER,COW,COW,CK,East Vancouver Island-Cowichan & Koksilah_FA_0.x,CWCH-KOK,,current,DU21,48.78960057,-123.9518269,CK::East Vancouver Island-Cowichan & Koksilah,CK::CWCH-KOK,,SC,Fall,Y,3,3.278956,GS+OK,Ocean,1980,1980,,Abs_Abd,
CK-23,,,,PPS,CK,East Vancouver Island-Nanaimo_SP_1.x,NanR-spr,,current,DU19,49.089668,-124.22946,CK::East Vancouver Island-Nanaimo-spring timing,CK::NanR-spr,"No spring-run CWT indicator available from VI; made a choice to use Puntledge Summer avg gen time; COW & NAN likely too unusual, especially for spring life history",SC,Spring,Y,4,3.510898,GS+OK,Stream,,,,Rel_Idx,
CK-25,51519,NANAIMO RIVER,NAN,NAN,CK,East Vancouver Island-Nanaimo & Chemainus_FA_0.x,EVI-fall,,current,DU21,49.0467525,-123.8255375,CK::East Vancouver Island-Nanaimo & Chemainus-fall timing,CK::midEVI-fall,,SC,Fall,Y,3,3.221377,GS+OK,Ocean,1974,1974,,Rel_Idx,
CK-27,51368,QUALICUM RIVER,BQR,BQR,CK,East Vancouver Island-Qualicum & Puntledge_FA_0.x,QP-fall,,current,DU21,49.6828075,-124.8908822,CK::East Vancouver Island-Qualicum & Puntledge-fall timing,CK::QP-fall,,SC,Fall,Y,4,3.600164,GS+OK,Ocean,1968,1968,1985,Rel_Idx,
CK-28,,,,BQR,CK,Southern Mainland-Southern Fjords_FA_0.x,SMn-SFj,,current,DU22,50.77191119,-125.7759716,CK::South Coast-southern fjords,CK::SC+SFj,Used BQR for proxy CWT indicator but should be revisited when data available from the Phillips R indicator in this CU,SC,Fall,Y,4,3.600164,WCVI/NEVI/USC,Ocean,1989,1989,1990,Rel_Idx,
CK-29,52948,QUINSAM RIVER,QUI,QUI,CK,East Vancouver Island-North_FA_0.x,NEVI,,current,DU23,50.47273457,-126.6023304,CK::Northeast Vancouver Island,CK::NEVI,,VI,Fall,Y,4,4.407503,WCVI/NEVI/USC,Ocean,1971,1971,,Rel_Idx,
CK-31,3306,SOMASS RIVER,RBT,RBT,CK,West Vancouver Island-South_FA_0.x,SWVI,,current,DU24,49.02515337,-125.2102267,CK::Southwest Vancouver Island,CK::SWVI,,VI,Fall,Y,4,3.998962,WCVI/NEVI/USC,Ocean,1973,1973,,Rel_Idx,
CK-32,,,,RBT,CK,West Vancouver Island-Nootka & Kyuquot_FA_0.x,NoKy,,current,DU25,49.91102432,-126.8499923,CK::Nootka & Kyuquot,CK::NoKy,,VI,Fall,Y,4,3.998962,WCVI/NEVI/USC,Ocean,1980,1980,,Rel_Idx,
CK-33,,,,RBT,CK,West Vancouver Island-North_FA_0.x,NWVI,,current,DU26,50.479909,-127.7383889,CK::Northwest Vancouver Island,CK::NWVI,,VI,Fall,Y,4,3.998962,WCVI/NEVI/USC,Ocean,1983,1983,,Rel_Idx,
CK-34,,,,ATN,CK,Homathko_SU_x.x,HOMATH,,current,DU27,50.932154,-124.859249,CK::Homathko,CK::HOMATH,Proxy CWT Indicator is the Atnarko River Summer run (same adult run timing and predominant juvenile type) in the central coast region,SC,Summer,Y,5,4.503519,WCVI/NEVI/USC,Stream,,,,Rel_Idx,
CK-35,,,,ATN,CK,Klinaklini_SU_1.3,KLINA,,current,DU28,51.1258385,-125.6105435,CK::Klinaklini,CK::KLINA,Proxy CWT Indicator is the Atnarko River Summer run (same adult run timing and predominant juvenile type) in the central coast region,SC,Summer,Y,5,4.503519,WCVI/NEVI/USC,Stream,1986,1986,,Rel_Idx,
CK-82,,,,DOM,CK,Upper Adams River_SU_x.x,UADAMS,,current,DU_NA,51.411,-119.456,CK::Adams River - Upper,CK::Adams-upper,New CU defined (Feb 2013); no life hostory data available; DOM avg gen time chosen due to geographic location (above Upper Adams Lake; indicative of adult spring-run timing),FR,Summer,Y,5,4.515152,Fraser-THOM,Ocean,1987,,1987,Rel_Idx,
CK-83,53068,PUNTLEDGE RIVER,PPS,PPS,CK,East Vancouver Island-Georgia Strait_SU_0.3,EVIGStr-sum,,current,DU20,49.044255,-123.9115533,CK::East Vancouver Island-summer timing,CK::midEVI-sum,"Includes Nanaimo and Puntledge summers.  (Chemainus summers determined to be a NuSEDS artifact, recoded as Chemainus falls.)",SC,Summer,Y,4,3.510898,GS+OK,Ocean,1972,1972,,Rel_Idx,
CK-9005,,,,,CK,Southern BC-miscellaneous,sBC-misc,,bin,DU_NA,,,CK::Southern BC-miscellaneous,CK::sBC-misc,,SC,Fall,Y,3,3.998962,,,,,,TBD,
CK-9006,,,,,CK,Fraser-Cross-CU Supplementation Exclusion,FR-XCU,,bin,DU_NA,49.125664,-122.098166,CK::Fraser-Cross-CU Supplementation Exclusion,CK::FR-XCU,,FR,Summer,Y,3,3.475359,,,,,,TBD,
CK-9007,,,,,CK,Southern BC-Cross-CU Supplementation Exclusion,sBC-XCU,,bin,DU_NA,,,CK::Southern BC-Cross-CU Supplementation Exclusion,CK::sBC-XCU,,SC,Fall,Y,4,3.998962,,,,,,TBD,
CK-9008,696,CHILLIWACK/VEDDER RIVER,CHI,CHI,CK,Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,,bin,DU_TBD6,49.125664,-122.098166,CK::Fraser-Harrison fall transplant_FA_0.3,CK::Chil_transp_F,Population of Harrison Fall (whites) now naturalized in Chilliwack River,FR,Fall,Y,3,3.475359,Fraser-Lower,Ocean,1982,1985,1982,Rel_Idx,
