Pop_UID,Pop_ID,Pop_Name,CU_ID,TimeSeriesData_Pop_Name
CK-01.48442,48442,OKANAGAN RIVER,CK-01,NA
CK-02.1840,1840,NICOMEKL RIVER,CK-02,NA
CK-02.2168,2168,SERPENTINE RIVER,CK-02,NA
CK-02.586,586,CAMPBELL RIVER/BB,CK-02,NA
CK-03.46034,46034,HARRISON RIVER,CK-03,HARRISON RIVER
CK-04.46101,46101,BIRKENHEAD RIVER,CK-04,BIRKENHEAD RIVER
CK-04.46111,46111,GREEN RIVER/LILL,CK-04,GREEN RIVER
CK-04.69055,69055,RYAN RIVER,CK-04,
CK-04.69350,69350,COQUITLAM RIVER,CK-04,
CK-04.69351,69351,CHILLIWACK/VEDDER RIVER,CK-04,
CK-05.47921,47921,PITT RIVER-UPPER,CK-05,PITT RIVER-UPPER
CK-05.69058,69058,BLUE CREEK/LFR,CK-05,
CK-06.44538,44538,LILLOOET RIVER,CK-06,
CK-06.46029,46029,LILLOOET RIVER-UPPER,CK-06,
CK-06.46068,46068,COGBURN CREEK,CK-06,COGBURN CREEK
CK-06.46076,46076,BIG SILVER CREEK,CK-06,BIG SILVER CREEK
CK-06.46082,46082,TIPELLA CREEK,CK-06,TIPELLA CREEK
CK-06.46087,46087,DOUGLAS CREEK/LILL,CK-06,
CK-06.46097,46097,SLOQUET CREEK,CK-06,SLOQUET CREEK
CK-06.46967,46967,LILLOOET RIVER-LOWER,CK-06,
CK-06.46985,46985,CHILLIWACK/VEDDER RIVER,CK-06,CHILLIWACK
CK-07.47096,47096,MARIA SLOUGH,CK-07,MARIA SLOUGH
CK-08.47156,47156,ANDERSON RIVER,CK-08,
CK-08.47165,47165,NAHATLATCH RIVER,CK-08,NAHATLATCH RIVER
CK-09.47189,47189,PORTAGE CREEK,CK-09,PORTAGE CREEK
CK-10.2483,2483,SWIFT RIVER/MFR,CK-10,SWIFT RIVER
CK-10.44752,44752,BAEZAEKO RIVER,CK-10,BAEZAEKO RIVER
CK-10.44762,44762,NAZKO RIVER,CK-10,NAZKO RIVER
CK-10.45051,45051,MCKINLEY CREEK,CK-10,MCKINLEY CREEK
CK-10.45510,45510,ENDAKO RIVER,CK-10,ENDAKO RIVER
CK-10.45520,45520,SHOVEL CREEK,CK-10,SHOVEL CREEK
CK-10.45599,45599,DRIFTWOOD RIVER,CK-10,
CK-10.45991,45991,WEST ROAD (BLACKWATER) RIVER,CK-10,WEST ROAD (BLACKWATER) RIVER
CK-10.46011,46011,CHILAKO RIVER,CK-10,CHILAKO RIVER
CK-10.46841,46841,CHILCOTIN RIVER-UPPER,CK-10,CHILCOTIN RIVER-UPPER
CK-10.46842,46842,CHILCOTIN RIVER-LOWER,CK-10,CHILCOTIN RIVER-LOWER
CK-10.46861,46861,TASEKO LAKE,CK-10,
CK-10.46892,46892,CARIBOO RIVER-UPPER,CK-10,CARIBOO RIVER-UPPER
CK-10.46901,46901,HORSEFLY RIVER,CK-10,HORSEFLY RIVER
CK-10.47175,47175,STEIN RIVER,CK-10,
