"Species","DU_ID","CU_Name","CU_acro","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","AllSitesInfilledAdj","TotalER","MarineSurvival","Hatch_Rel_from_Within_CU","Hatch_Rel_from_Outside_CU","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1980,18,NA,5.57549679,NA,NA,NA,NA,18,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1981,83,NA,25.7092352,NA,NA,NA,NA,83,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1982,75,NA,23.23123662,NA,NA,NA,NA,75,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1983,57,NA,17.65573983,NA,NA,10441,NA,57,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1984,155,NA,48.01122235,NA,NA,10000,NA,155,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1985,150,NA,46.46247325,NA,NA,9117,NA,150,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1986,36,NA,11.15099358,NA,NA,18857,NA,36,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1987,4,NA,1.238999287,NA,NA,NA,NA,4,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1988,37,NA,11.4607434,0.3433598,0.002928259,39677,NA,37,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1989,NA,NA,NA,0.4693246,0.006549578,62129,NA,NA,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1990,58,NA,17.96548966,NA,NA,68679,10000,58,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1991,88,NA,27.2579843,NA,NA,29603,7000,88,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1992,19,NA,5.885246611,0.2047137,0.002715607,84000,8500,19,NA,NA,NA
"Chinook","DU1","Boundary Bay_FA_0.3","BB","CK-02",1993,34,NA,10.53149394,0.3109193,0.009097696,30142,8000,34,NA,NA,NA
