"CU_Name","Year","Pop_Name","SpnForTrend_Total","Pop_ID","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","CU_ID","DU_ID"
"Fraser Canyon",1998,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",1998,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",1998,"Nahatlatch R",5460,47159,NA,5460,NA,NA,NA,"CO_02",NA
"Fraser Canyon",1999,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",1999,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",1999,"Nahatlatch R",4096,47159,NA,4096,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2000,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2000,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2000,"Nahatlatch R",2719,47159,NA,2719,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2001,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2001,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2001,"Nahatlatch R",5971,47159,NA,5971,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2002,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2002,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2002,"Nahatlatch R",3817,47159,NA,3817,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2003,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2003,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2003,"Nahatlatch R",4552,47159,NA,4552,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2004,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2004,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2004,"Nahatlatch R",5872,47159,NA,5872,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2005,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2005,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2005,"Nahatlatch R",2269,47159,NA,2269,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2006,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2006,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2006,"Nahatlatch R",1605,47159,NA,1605,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2007,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2007,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2007,"Nahatlatch R",2739,47159,NA,2739,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2008,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2008,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2008,"Nahatlatch R",1138,47159,NA,1138,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2009,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2009,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2009,"Nahatlatch R",2308,47159,NA,2308,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2010,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2010,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2010,"Nahatlatch R",2227,47159,NA,2227,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2011,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2011,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2011,"Nahatlatch R",3189,47159,NA,3189,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2012,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2012,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2012,"Nahatlatch R",5134,47159,NA,5134,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2013,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2013,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2013,"Nahatlatch R",5398,47159,NA,5398,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2014,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2014,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2014,"Nahatlatch R",1048,47159,NA,1048,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2015,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2015,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2015,"Nahatlatch R",352,47159,NA,352,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2016,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2016,"Kwoiek Cr",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2016,"Nahatlatch R",1160,47159,NA,1160,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2017,"Fraser R",NA,NA,NA,NA,NA,NA,NA,"CO_02",NA
