"","Pop_Name","Year","SpnForTrend_Total","Pop_ID","CU_ID","CU_Name","DU_ID","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Species","Recruits_Total","Recruits_Wild"
"1","ADAMS RIVER",1977,1165,"46242","PKO-01","Fraser Pink",NA,1165,1165,1165,"Pink",NA,NA
"2","ADAMS RIVER",1983,3450,"46242","PKO-01","Fraser Pink",NA,3450,3450,3450,"Pink",NA,NA
"3","ADAMS RIVER",1965,53,"46242","PKO-01","Fraser Pink",NA,53,53,53,"Pink",NA,NA
"4","ADAMS RIVER",1989,1300,"46242","PKO-01","Fraser Pink",NA,1300,1300,1300,"Pink",NA,NA
"5","ADAMS RIVER",1981,1122,"46242","PKO-01","Fraser Pink",NA,1122,1122,1122,"Pink",NA,NA
"6","ADAMS RIVER",1991,2153,"46242","PKO-01","Fraser Pink",NA,2153,2153,2153,"Pink",NA,NA
"7","ADAMS RIVER",1987,1310,"46242","PKO-01","Fraser Pink",NA,1310,1310,1310,"Pink",NA,NA
"8","ADAMS RIVER",1985,243,"46242","PKO-01","Fraser Pink",NA,243,243,243,"Pink",NA,NA
"9","ADAMS RIVER",1973,119,"46242","PKO-01","Fraser Pink",NA,119,119,119,"Pink",NA,NA
"10","ADAMS RIVER",1975,2447,"46242","PKO-01","Fraser Pink",NA,2447,2447,2447,"Pink",NA,NA
"11","ADAMS RIVER",1979,3951,"46242","PKO-01","Fraser Pink",NA,3951,3951,3951,"Pink",NA,NA
"12","ADAMS RIVER",1971,815,"46242","PKO-01","Fraser Pink",NA,815,815,815,"Pink",NA,NA
"13","ALOUETTE RIVER",1985,3557,"47924","PKO-01","Fraser Pink",NA,3557,3557,3557,"Pink",NA,NA
"14","ALOUETTE RIVER",1987,828,"47924","PKO-01","Fraser Pink",NA,828,828,828,"Pink",NA,NA
"15","ALOUETTE RIVER",1989,507,"47924","PKO-01","Fraser Pink",NA,507,507,507,"Pink",NA,NA
"16","ALOUETTE RIVER",1991,2600,"47924","PKO-01","Fraser Pink",NA,2600,2600,2600,"Pink",NA,NA
"17","ALOUETTE RIVER",1959,0,"47924","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"18","ALOUETTE RIVER",1981,0,"47924","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"19","ALOUETTE RIVER",1957,8,"47924","PKO-01","Fraser Pink",NA,8,8,8,"Pink",NA,NA
"20","AMERICAN CREEK",1985,4412,"47141","PKO-01","Fraser Pink",NA,4412,4412,4412,"Pink",NA,NA
"21","AMERICAN CREEK",1987,3,"47141","PKO-01","Fraser Pink",NA,3,3,3,"Pink",NA,NA
"22","AMERICAN CREEK",1991,1945,"47141","PKO-01","Fraser Pink",NA,1945,1945,1945,"Pink",NA,NA
"23","AMERICAN CREEK",1965,101,"47141","PKO-01","Fraser Pink",NA,101,101,101,"Pink",NA,NA
"24","AMERICAN CREEK",1973,52,"47141","PKO-01","Fraser Pink",NA,52,52,52,"Pink",NA,NA
"25","AMERICAN CREEK",1981,234,"47141","PKO-01","Fraser Pink",NA,234,234,234,"Pink",NA,NA
"26","AMERICAN CREEK",1983,333,"47141","PKO-01","Fraser Pink",NA,333,333,333,"Pink",NA,NA
"27","AMERICAN CREEK",1957,8,"47141","PKO-01","Fraser Pink",NA,8,8,8,"Pink",NA,NA
"28","AMERICAN CREEK",1989,0,"47141","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"29","AMERICAN CREEK",1959,790,"47141","PKO-01","Fraser Pink",NA,790,790,790,"Pink",NA,NA
"30","AMERICAN CREEK",1961,147,"47141","PKO-01","Fraser Pink",NA,147,147,147,"Pink",NA,NA
"31","AMERICAN CREEK",1967,192,"47141","PKO-01","Fraser Pink",NA,192,192,192,"Pink",NA,NA
"32","AMERICAN CREEK",1963,307,"47141","PKO-01","Fraser Pink",NA,307,307,307,"Pink",NA,NA
"33","ANDERSON RIVER",1987,283,"47154","PKO-01","Fraser Pink",NA,283,283,283,"Pink",NA,NA
