"CU_Name","CU_acro","DU_ID","CU_ID","Pop_Name","Pop_ID","Year","EstClass","SpnForTrend_Total","pNOS_Used","SpnForTrend_Wild","StartYear","UseYear","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1995,"INFILL",101.69484671636,"1",101.69484671636,NA,TRUE,101.69484671636,101.69484671636,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1996,"INFILL",118.421450259846,"1",118.421450259846,NA,TRUE,118.421450259846,118.421450259846,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1997,"INFILL",147.245566381754,"1",147.245566381754,NA,TRUE,147.245566381754,147.245566381754,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1998,"INFILL",202.043425109985,"1",202.043425109985,NA,TRUE,202.043425109985,202.043425109985,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,1999,"INFILL",110.628056124909,"1",110.628056124909,NA,TRUE,110.628056124909,110.628056124909,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2000,"INFILL",48.352253171871,"1",48.352253171871,NA,TRUE,48.352253171871,48.352253171871,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2001,"INFILL",88.8523468672566,"1",88.8523468672566,NA,TRUE,88.8523468672566,88.8523468672566,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2002,"RELATIVE ABUNDANCE (TYPE-4)",2,"1",2,NA,TRUE,2,2,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2003,"INFILL",206.104894283666,"1",206.104894283666,NA,TRUE,206.104894283666,206.104894283666,NA,NA
"West Vancouver Island-South_FA_0.x","SWVI","DU24","CK-31","CLEMENS CREEK",131,2004,"INFILL",183.393515707592,"1",183.393515707592,NA,TRUE,183.393515707592,183.393515707592,NA,NA
