"Year","Raft River","ETS"
1950,3597.1268,3597.1268
1951,6770.2656,6770.2656
1952,10354.071,10354.071
1953,6259.968,6259.968
1954,9918.084,9918.084
1955,4657.443,4657.443
1956,8476.706,8476.706
1957,6811.98,6811.98
1958,10111.86,10111.86
1959,9825.083,9825.083
1960,5242.863,5242.863
1961,5477.043,5477.043
1962,7212.5562,7212.5562
1963,4931.944,4931.944
1964,4959.566,4959.566
1965,4327.4592,4327.4592
1966,5492.8468,5492.8468
1967,641.0348,641.0348
1968,7506.592,7506.592
1969,4851.5194,4851.5194
1970,2206.459,2206.459
1971,422.127,422.127
1972,7916.9968,7916.9968
1973,2425.7732,2425.7732
1974,2342.7273,2342.7273
1975,2542.2096,2542.2096
1976,8628.607,8628.607
1977,359.8961,359.8961
1978,2493,2493
1979,1472.8524,1472.8524
1980,5118.9264,5118.9264
1981,639.2045,639.2045
1982,2992,2992
1983,2780,2780
1984,14408.0214,14408.0214
1985,3265.4688,3265.4688
1986,2041.5775,2041.5775
1987,1387.4632,1387.4632
1988,19013.2878,19013.2878
1989,1634.9769,1634.9769
1990,630,630
1991,464,464
1992,8224.4696,8224.4696
1993,5036.4013,5036.4013
1994,1641.4656,1641.4656
1995,1021.28,1021.28
1996,39612.5184,39612.5184
1997,5024.2878,5024.2878
1998,6746.6854,6746.6854
1999,6676.1114,6676.1114
2000,57395.6136,57395.6136
2001,30015.1528,30015.1528
2002,17755.4754,17755.4754
2003,9458.684,9458.684
2004,5580.1395,5580.1395
2005,26400.4424,26400.4424
2006,5977.6539,5977.6539
2007,13813.3272,13813.3272
2008,7285.2406,7285.2406
2009,11098.2984,11098.2984
2010,4607.1,4607.1
2011,8054.4556,8054.4556
2012,3217.9651,3217.9651
2013,15834.4032,15834.4032
2014,16656.1734,16656.1734
2015,15591.6448,15591.6448
2016,6662.6166,6662.6166
2017,3933.436,3933.436
2018,3361.484,3361.484
2019,609.5293,609.5293
