"Year","EFS"
1950,0
1951,0
1952,0
1953,NA
1954,NA
1955,NA
1956,NA
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,2057.07862676724
1976,1063
1977,309
1978,354
1979,1054
1980,661
1981,389
1982,1367
1983,1230
1984,716
1985,629
1986,4400
1987,6419
1988,9495
1989,2258
1990,4080
1991,1378
1992,2287
1993,1222
1994,3686
1995,953
1996,6728
1997,4538
1998,3185
1999,1404
2000,2205
2001,2432
2002,3459
2003,1960
2004,584
2005,1290
2006,939
2007,2021
2008,151
2009,740
2010,2894
2011,3455
2012,1140
2013,800
2014,2059
2015,1355
2016,808
2017,1358
2018,987
2019,644
