"DataSet","Species","Year","SpnForAbd_Total","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","CU_ID","CU_Name","DU_ID","Recruits_Total","Recruits_Wild","CU_ID_Report","Abd_StartYr","UseYear"
"Sk_Fraser","Sockeye",1950,0,NA,0,NA,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1951,0,NA,0,NA,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1952,6928.6,NA,6928.6,NA,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1953,57.942,NA,57.942,NA,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1954,35.235,18,35.235,18,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1955,60.291,31,60.291,31,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1956,7405.7202,4147,7405.7202,4147,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1957,856.0728,429,856.0728,429,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1958,61,31,61,31,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1959,582,370,582,370,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1960,4795.918,2772,4795.918,2772,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1961,240.312,120,240.312,120,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1962,113.5737,68,113.5737,68,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1963,1941.336,1068,1941.336,1068,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1964,18387.408,8206,18387.408,8206,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1965,1451.1996,941,1451.1996,941,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1966,49.4585,30,49.4585,30,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1967,701.008,351,701.008,351,"CU_19","Anderson_Seton_ES","TBD",NA,NA,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1968,6639.7137,3834,6639.7137,3834,"CU_19","Anderson_Seton_ES","TBD",78774,78774,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1969,551.3343,360,551.3343,360,"CU_19","Anderson_Seton_ES","TBD",3724,3724,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1970,34.125,14,34.125,14,"CU_19","Anderson_Seton_ES","TBD",154,154,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1971,164.6946,115,164.6946,115,"CU_19","Anderson_Seton_ES","TBD",7721,7721,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1972,5528.1779,3128,5528.1779,3128,"CU_19","Anderson_Seton_ES","TBD",128433,128433,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1973,635.2395,351,635.2395,351,"CU_19","Anderson_Seton_ES","TBD",13241,13241,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1974,55.349,37,55.349,37,"CU_19","Anderson_Seton_ES","TBD",1413,1413,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1975,1740.196,1246,1740.196,1246,"CU_19","Anderson_Seton_ES","TBD",15888,15888,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1976,14496.2313,8820,14496.2313,8820,"CU_19","Anderson_Seton_ES","TBD",70185,70185,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1977,1938.9807,1174,1938.9807,1174,"CU_19","Anderson_Seton_ES","TBD",20020,20020,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1978,193.9935,129,193.9935,129,"CU_19","Anderson_Seton_ES","TBD",1058,1058,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1979,2368.9204,1649,2368.9204,1649,"CU_19","Anderson_Seton_ES","TBD",15902,15902,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1980,18533.6758,11032,18533.6758,11032,"CU_19","Anderson_Seton_ES","TBD",77848,77848,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1981,3384.4458,1907,3384.4458,1907,"CU_19","Anderson_Seton_ES","TBD",17352,17352,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1982,713.8658,439,713.8658,439,"CU_19","Anderson_Seton_ES","TBD",6340,6340,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1983,4968.3743,3055,4968.3743,3055,"CU_19","Anderson_Seton_ES","TBD",26556,26556,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1984,16893.1602,9148,16893.1602,9148,"CU_19","Anderson_Seton_ES","TBD",136133,136133,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1985,3396.0808,2032,3396.0808,2032,"CU_19","Anderson_Seton_ES","TBD",125622,125622,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1986,3072.502,1880,3072.502,1880,"CU_19","Anderson_Seton_ES","TBD",21000,21000,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1987,6836.9688,4105,6836.9688,4105,"CU_19","Anderson_Seton_ES","TBD",26150,26150,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1988,34690.5174,17841,34690.5174,17841,"CU_19","Anderson_Seton_ES","TBD",309753,309753,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1989,15072.4537,9795,15072.4537,9795,"CU_19","Anderson_Seton_ES","TBD",47315,47315,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1990,4918.2313,3304,4918.2313,3304,"CU_19","Anderson_Seton_ES","TBD",14784,14784,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1991,7567.2104,4618,7567.2104,4618,"CU_19","Anderson_Seton_ES","TBD",20443,20443,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1992,15947.895,9224,15947.895,9224,"CU_19","Anderson_Seton_ES","TBD",183794,183794,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1993,13923.0828,8780,13923.0828,8780,"CU_19","Anderson_Seton_ES","TBD",66967,66967,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1994,2648.9826,1706,2648.9826,1706,"CU_19","Anderson_Seton_ES","TBD",33549,33549,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1995,7058.923,4533,7058.923,4533,"CU_19","Anderson_Seton_ES","TBD",21489,21489,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1996,24969.5006,14139,24969.5006,14139,"CU_19","Anderson_Seton_ES","TBD",197587,197587,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1997,3765.0633,1877,3765.0633,1877,"CU_19","Anderson_Seton_ES","TBD",12667,12667,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1998,4408.4784,2442,4408.4784,2442,"CU_19","Anderson_Seton_ES","TBD",4404,4404,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",1999,2620.763,1765,2620.763,1765,"CU_19","Anderson_Seton_ES","TBD",40134,40134,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2000,36652.6206,16571,36652.6206,16571,"CU_19","Anderson_Seton_ES","TBD",91378,91378,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2001,6295.1112,4007,6295.1112,4007,"CU_19","Anderson_Seton_ES","TBD",49931,49931,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2002,1838.2586,1144,1838.2586,1144,"CU_19","Anderson_Seton_ES","TBD",11739,11739,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2003,8109.6966,5036,8109.6966,5036,"CU_19","Anderson_Seton_ES","TBD",4548,4548,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2004,8377.1786,5483,8377.1786,5483,"CU_19","Anderson_Seton_ES","TBD",48974,48974,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2005,13616.82,8851,13616.82,8851,"CU_19","Anderson_Seton_ES","TBD",14910,14910,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2006,2055.4736,1456,2055.4736,1456,"CU_19","Anderson_Seton_ES","TBD",38495,38495,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2007,1931.58,1079,1931.58,1079,"CU_19","Anderson_Seton_ES","TBD",107653,107653,"CU-19",1950,TRUE
"Sk_Fraser","Sockeye",2008,3424.6104,1752,3424.6104,1752,"CU_19","Anderson_Seton_ES","TBD",77315,77315,"CU-19",1950,TRUE
