"","DataSet","Year","Pop_Name","CU_Name","Escapement_Wild","Escapement_Total","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"1","Sk_Fraser",1938,"Chilko River","Chilko - Summer",10870,10870,NA,NA,46843,"SEL-06-03/SEL-06-02",NA
"2","Sk_Fraser",1938,"Birkenhead River","Lillooet-Harrison - Late",11100,11100,NA,NA,46098,"SEL-04-01",NA
"3","Sk_Fraser",1938,"Little River","Shuswap Complex - Late",175000,175000,NA,NA,46228,"SEL-09-03",NA
"4","Sk_Fraser",1938,"Middle River","Takla-Trembleur-Stuart - Summer",62,62,NA,NA,45552,"SEL-06-13",NA
"5","Sk_Fraser",1938,"Chilliwack Lake","Chilliwack - Early Summer",25,25,NA,NA,45092,"SEL-03-01",NA
"6","Sk_Fraser",1938,"Cultus Lake","Cultus - Late",13342,13342,NA,NA,45093,"SEL-03-02",NA
"7","Sk_Fraser",1938,"Gluske Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45572,"SEL-06-14",NA
"8","Sk_Fraser",1938,"Hudson Bay Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45592,"SEL-06-14",NA
"9","Sk_Fraser",1938,"Leo Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45575,"SEL-06-14",NA
"10","Sk_Fraser",1938,"McDougall Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45579,"SEL-06-14",NA
"11","Sk_Fraser",1938,"Paula Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45557,"SEL-06-14",NA
"12","Sk_Fraser",1938,"Point Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45585,"SEL-06-14",NA
"13","Sk_Fraser",1938,"Sakeniche River","Takla-Trembleur - Early Stuart",0,0,NA,NA,45577,"SEL-06-14",NA
"14","Sk_Fraser",1938,"Sandpoint Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45576,"SEL-06-14",NA
"15","Sk_Fraser",1938,"Shale Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45588,"SEL-06-14",NA
"16","Sk_Fraser",1938,"Sinta Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45580,"SEL-06-14",NA
"17","Sk_Fraser",1938,"Maclaing Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45591,"SEL-06-14",NA
"18","Sk_Fraser",1938,"15 Mile Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45590,"SEL-06-14",NA
"19","Sk_Fraser",1938,"25 Mile Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45587,"SEL-06-14",NA
"20","Sk_Fraser",1938,"Kazchek Creek","Takla-Trembleur-Stuart - Summer",0,0,NA,NA,45560,"SEL-06-13",NA
"21","Sk_Fraser",1938,"Kuzkwa Creek","Takla-Trembleur-Stuart - Summer",0,0,NA,NA,45554,"SEL-06-13",NA
"22","Sk_Fraser",1938,"Pinchi Creek","Takla-Trembleur-Stuart - Summer",0,0,NA,NA,45539,"SEL-06-13",NA
"23","Sk_Fraser",1938,"Sakeniche River","Takla-Trembleur-Stuart - Summer",0,0,NA,NA,45578,"SEL-06-13",NA
"24","Sk_Fraser",1938,"Tachie River","Takla-Trembleur-Stuart - Summer",0,0,NA,NA,45549,"SEL-06-13",NA
"25","Sk_Fraser",1938,"Fleming Creek","Takla-Trembleur - Early Stuart",5,5,NA,NA,45556,"SEL-06-14",NA
"26","Sk_Fraser",1938,"Forfar Creek","Takla-Trembleur - Early Stuart",4694,4694,NA,NA,45571,"SEL-06-14",NA
"27","Sk_Fraser",1938,"Kazchek Creek","Takla-Trembleur - Early Stuart",4,4,NA,NA,45559,"SEL-06-14",NA
"28","Sk_Fraser",1938,"O'Ne-ell Creek","Takla-Trembleur - Early Stuart",2835,2835,NA,NA,45570,"SEL-06-14",NA
"29","Sk_Fraser",1938,"Narrows Creek","Takla-Trembleur - Early Stuart",115,115,NA,NA,45586,"SEL-06-14",NA
"30","Sk_Fraser",1938,"Van Decar Creek","Takla-Trembleur - Early Stuart",18,18,NA,NA,45569,"SEL-06-14",NA
"31","Sk_Fraser",1938,"East Creek","Harrison (U/S) - Late",187,187,NA,NA,46055,"SEL-03-04",NA
"32","Sk_Fraser",1938,"Harrison River","Harrison River - Summer",7500,7500,NA,NA,46030,"SER-03",NA
"33","Sk_Fraser",1938,"Trout Lake Creek","Harrison (D/S) - Late",2520,2520,NA,NA,46059,"SEL-03-03",NA
"34","Sk_Fraser",1938,"Weaver Creek","Harrison (U/S) - Late",18012,18012,NA,NA,46044,"SEL-03-04",NA
"35","Sk_Fraser",1938,"Adams River, lower","Shuswap Complex - Late",620000,620000,NA,NA,46239,"SEL-09-03",NA
"36","Sk_Fraser",1938,"Scotch Creek","Shuswap Complex - Late",2039,2039,NA,NA,46289,"SEL-09-03",NA
"37","Sk_Fraser",1938,"Shuswap Lake","Shuswap Complex - Late",1130,1130,NA,NA,45764,"SEL-09-03",NA
"38","Sk_Fraser",1938,"Spuzzum Creek","CU not identified",7,7,NA,NA,47150,"OsoSkaInd",NA
"39","Sk_Fraser",1938,"Spuzzum Creek","CU not identified",7,7,NA,NA,47150,"OsoSkaOkaCU",NA
"40","Sk_Fraser",1938,"Kawkawa Creek/Lake","Kawkawa - Late",31,31,NA,NA,47125,"OsoSkaInd",NA
"41","Sk_Fraser",1938,"Kawkawa Creek/Lake","Kawkawa - Late",31,31,NA,NA,47125,"OsoSkaOkaCU",NA
"42","Sk_Fraser",1938,"Upper Pitt River","Pitt - Early Summer",8457,8457,NA,NA,47917,"SEL-03-05",NA
"43","Sk_Fraser",1938,"Widgeon Slough","Widgeon - Summer",400,400,NA,NA,47954,"SER-02",NA
"44","Sk_Fraser",1938,"Endako River","Fraser - Early Summer",117,117,NA,NA,45502,"OsoSkaInd",NA
"45","Sk_Fraser",1938,"Endako River","Fraser - Early Summer",117,117,NA,NA,45502,"OsoSkaOkaCU",NA
"46","Sk_Fraser",1938,"Nithi River","Francois-Fraser - Summer",90,90,NA,NA,45522,"SEL-06-07",NA
"47","Sk_Fraser",1938,"Ormond Creek","Francois-Fraser - Summer",11,11,NA,NA,46023,"OsoSkaInd",NA
"48","Sk_Fraser",1938,"Ormond Creek","Francois-Fraser - Summer",11,11,NA,NA,46023,"OsoSkaOkaCU",NA
"49","Sk_Fraser",1938,"Finn Creek","Kamloops - Summer",0,0,NA,NA,46782,"SEL-10-01",NA
"50","Sk_Fraser",1938,"Lion Creek","Kamloops - Summer",0,0,NA,NA,46772,"SEL-10-01",NA
"51","Sk_Fraser",1938,"Ryan River","Lillooet-Harrison - Late",0,0,NA,NA,46122,"SEL-04-01",NA
"52","Sk_Fraser",1938,"Miller Creek","Lillooet-Harrison - Late",0,0,NA,NA,46117,"SEL-04-01",NA
"53","Sk_Fraser",1938,"Green River","Lillooet-Harrison - Late",0,0,NA,NA,46107,"SEL-04-01",NA
"54","Sk_Fraser",1938,"Stellako River","Francois-Fraser - Summer",6943,6943,NA,NA,46013,"SEL-06-07",NA
"55","Sk_Fraser",1938,"Raft River","Kamloops - Summer",587,587,NA,NA,46710,"SEL-10-01",NA
"56","Sk_Fraser",1938,"Bowron River, upper","Bowron - Early Summer",2205,2205,NA,NA,47419,"SEL-07-01",NA
"57","Sk_Fraser",1938,"Quesnel River","Middle Fraser - Summer",4,4,NA,NA,46873,"SEL-06-10",NA
"58","Sk_Fraser",1938,"Gates River","Anderson-Seton - Early Summer",13,13,NA,NA,47211,"SEL-06-01",NA
"59","Sk_Fraser",1938,"Portage Creek","Seton - Late",56,56,NA,NA,47181,"SEL-06-11",NA
"60","Sk_Fraser",1938,"Seton Creek","CU not identified",162,162,NA,NA,NA,"OsoSkaInd",NA
"61","Sk_Fraser",1938,"Seton Creek","CU not identified",162,162,NA,NA,NA,"OsoSkaOkaCU",NA
