CU_ID,Species,Stock,Label,Year,Metric,Value,LBM,UBM,Status,Data_Type
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1995,RelAbd,8027.199949,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1996,RelAbd,8979.263227,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1997,RelAbd,6475.151322,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1998,RelAbd,7354.485992,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1999,RelAbd,5740.829532,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2000,RelAbd,6319.001303,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2001,RelAbd,7185.487296,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2002,RelAbd,5774.118575,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2003,RelAbd,7658.256579,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2004,RelAbd,5295.147942,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2005,RelAbd,6421.643193,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2006,RelAbd,6603.47435,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2007,RelAbd,4613.170632,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2008,RelAbd,3688.738493,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2009,RelAbd,3312.837236,3662,22534,Red,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2010,RelAbd,4987.567537,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2011,RelAbd,10683.57501,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2012,RelAbd,14208.48195,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2013,RelAbd,21227.4121,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2014,RelAbd,22552.77507,3662,22534,Green,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2015,RelAbd,18119.96176,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2016,RelAbd,15877.6588,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2017,RelAbd,9617.771549,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2018,RelAbd,6398.122675,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2019,RelAbd,5532.377948,3662,22534,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1995,AbsAbd,8027.199949,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1996,AbsAbd,8979.263227,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1997,AbsAbd,6475.151322,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1998,AbsAbd,7354.485992,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,1999,AbsAbd,5740.829532,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2000,AbsAbd,6319.001303,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2001,AbsAbd,7185.487296,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2002,AbsAbd,5774.118575,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2003,AbsAbd,7658.256579,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2004,AbsAbd,5295.147942,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2005,AbsAbd,6421.643193,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2006,AbsAbd,6603.47435,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2007,AbsAbd,4613.170632,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2008,AbsAbd,3688.738493,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2009,AbsAbd,3312.837236,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2010,AbsAbd,4987.567537,1000,10000,Amber,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2011,AbsAbd,10683.57501,1000,10000,Green,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2012,AbsAbd,14208.48195,1000,10000,Green,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2013,AbsAbd,21227.4121,1000,10000,Green,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2014,AbsAbd,22552.77507,1000,10000,Green,Abs_Abd
CU-19,Sockeye,Anderson_Seton_ES,SpnForAbd_Wild,2015,AbsAbd,18119.96176,1000,10000,Green,Abs_Abd
