CU_ID,Species,Stock,DataType,Year,SpnForAbd_Wild,SpnForTrend_Wild,RelLBM,AbsLBM,LongTrend,PercChange,ProbDeclBelowLBM,Percentile,RelUBM,AbsUBM,NumStdMetrics,GenAvgUsed.x,Group,RapidStatus,BinLabel,BinPath,RapidScore,RelLBMCat,AbsLBMCat,LongTrendCat,PercChangeCat,ProbDeclBelowLBMCat,PercentileCat,RelUBMCat,AbsUBMCat,RelAbdCat,AbsAbdCat,GenAvgUsed.y,IntStatusRaw,IntStatus,IntStatusRaw_Short,IntStatus_Short,ConfidenceRating5,ConfidenceRating3,ConfidenceRating2,IntStatus5,IntStatus3,IntStatus2,ProxySource
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,1999,201.3830706,201.3830706,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2000,209.8022079,209.8022079,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2001,357.5437716,357.5437716,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2002,437,437,NA,NA,NA,NA,NA,NA,NA,NA,0,285.0433521,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.0433521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2003,101,101,NA,NA,NA,NA,NA,NA,NA,NA,0,239.8752943,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.8752943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2004,67,67,NA,NA,NA,NA,NA,NA,NA,NA,0,180.3232423,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.3232423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2005,67,67,NA,NA,NA,NA,NA,NA,NA,NA,0,118.641903,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.641903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2006,173,173,NA,NA,NA,NA,NA,NA,NA,NA,0,94.10859087,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.10859087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2007,98,98,NA,NA,NA,NA,NA,NA,NA,NA,0,93.40184306,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.40184306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2008,229,229,NA,NA,NA,NA,NA,NA,NA,NA,0,126.9976299,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.9976299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2009,185,185,NA,NA,NA,NA,NA,NA,NA,NA,0,163.7079791,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.7079791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2010,156,156,NA,NA,NA,-39.1339,65.0333,NA,NA,NA,1,159.5289369,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,Red,NA,NA,NA,NA,NA,NA,159.5289369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2011,238,238,NA,NA,NA,-20.7146,45.8667,NA,NA,NA,1,199.1485697,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,Amber,NA,NA,NA,NA,NA,NA,199.1485697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2012,147,147,NA,NA,NA,-15.9449,41.5667,NA,NA,NA,1,178.2574357,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,Amber,NA,NA,NA,NA,NA,NA,178.2574357,Red,Red,R,R,NA,NA,NA,Red,Red,Red,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2013,131,131,NA,NA,100,20.0757,20.2667,NA,NA,NA,2,163.520628,CK-Inner_South_Coast,Amber,Node65," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,Green,Green,NA,NA,NA,NA,NA,NA,163.520628,NA,NA,NA,NA,Low,Low,Moderate,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2014,66,66,NA,NA,86,43.7091,8.5667,NA,NA,NA,2,131.879527,CK-Inner_South_Coast,Amber,Node65," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,Green,Green,NA,NA,NA,NA,NA,NA,131.879527,NA,NA,NA,NA,Low,Low,Moderate,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2015,65,65,NA,NA,65,-2.5445,30.2333,NA,NA,NA,2,95.33699976,CK-Inner_South_Coast,Red,Node17,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend < 79",5,NA,NA,Amber,Green,NA,NA,NA,NA,NA,NA,95.33699976,NA,NA,NA,NA,Moderate,Moderate,High,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2016,97,97,NA,NA,60,-33.6121,60.2667,NA,NA,NA,2,85.92609604,CK-Inner_South_Coast,Red,Node17,"Data Type is RelAbd OR AbsLBM >= 1.5, then Data Type is RelAbd OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend < 79",5,NA,NA,Amber,Red,NA,NA,NA,NA,NA,NA,85.92609604,NA,NA,NA,NA,Moderate,Moderate,High,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2017,533,533,NA,NA,80,-8.8233,37.2,NA,NA,NA,2,122.0363076,CK-Inner_South_Coast,Amber,Node65," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,Green,Green,NA,NA,NA,NA,NA,NA,122.0363076,NA,NA,NA,NA,Low,Low,Moderate,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2018,160,160,NA,NA,99,0.3409,31.1333,NA,NA,NA,2,152.2765647,CK-Inner_South_Coast,Amber,Node65," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,Green,Green,NA,NA,NA,NA,NA,NA,152.2765647,NA,NA,NA,NA,Low,Low,Moderate,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2019,324,324,NA,NA,143,14.3163,23.7667,NA,NA,NA,2,227.531214,CK-Inner_South_Coast,Amber,Node65," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,Green,Green,NA,NA,NA,NA,NA,NA,227.531214,NA,NA,NA,NA,Low,Low,Moderate,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2020,503,503,NA,NA,205,113.3251,5.9667,NA,NA,NA,2,343.3523678,CK-Inner_South_Coast,Amber,Node65," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,Green,Green,NA,NA,NA,NA,NA,NA,343.3523678,NA,NA,NA,NA,Low,Low,Moderate,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2021,629,629,NA,NA,201,275.7142,1.2333,NA,NA,NA,2,357.8663846,CK-Inner_South_Coast,Amber,Node65," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,Green,Green,NA,NA,NA,NA,NA,NA,357.8663846,NA,NA,NA,NA,Low,Low,Moderate,NA,NA,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.x,Rel_Idx,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Inner_South_Coast,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,Rel_Idx,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,CK-Fraser_Lower,None,Node16.NA,"No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
