"","Year","Species","CU_ID","CU_Name","DU_ID","SpnForAbd_Wild","SpnForTrend_Wild","SpnForAbd_Total","SpnForTrend_Total","Recruits_Wild","Recruits_Total"
"1",2002,"Chum","CM-02","Lower Fraser Chum",NA,1972855,1972855,1972855,1972855,NA,NA
"2",2003,"Chum","CM-02","Lower Fraser Chum",NA,1318122,1318122,1318122,1318122,NA,NA
"3",2004,"Chum","CM-02","Lower Fraser Chum",NA,2275626,2275626,2275626,2275626,NA,NA
"4",2005,"Chum","CM-02","Lower Fraser Chum",NA,1083494,1083494,1083494,1083494,NA,NA
"5",2006,"Chum","CM-02","Lower Fraser Chum",NA,1694308,1694308,1694308,1694308,NA,NA
"6",2007,"Chum","CM-02","Lower Fraser Chum",NA,912235,912235,912235,912235,NA,NA
"7",2008,"Chum","CM-02","Lower Fraser Chum",NA,824240,824240,824240,824240,NA,NA
"8",2009,"Chum","CM-02","Lower Fraser Chum",NA,383380,383380,383380,383380,NA,NA
"9",2010,"Chum","CM-02","Lower Fraser Chum",NA,512954,512954,512954,512954,NA,NA
"10",2011,"Chum","CM-02","Lower Fraser Chum",NA,892769,892769,892769,892769,NA,NA
"11",2012,"Chum","CM-02","Lower Fraser Chum",NA,1210546,1210546,1210546,1210546,NA,NA
"12",2013,"Chum","CM-02","Lower Fraser Chum",NA,813607,813607,813607,813607,NA,NA
"13",2014,"Chum","CM-02","Lower Fraser Chum",NA,996800,996800,996800,996800,NA,NA
"14",2015,"Chum","CM-02","Lower Fraser Chum",NA,792024,792024,792024,792024,NA,NA
"15",2016,"Chum","CM-02","Lower Fraser Chum",NA,1714959,1714959,1714959,1714959,NA,NA
"16",2017,"Chum","CM-02","Lower Fraser Chum",NA,578422,578422,578422,578422,NA,NA
"17",2018,"Chum","CM-02","Lower Fraser Chum",NA,637163,637163,637163,637163,NA,NA
"18",2019,"Chum","CM-02","Lower Fraser Chum",NA,264222,264222,264222,264222,NA,NA
"19",2020,"Chum","CM-02","Lower Fraser Chum",NA,505580,505580,505580,505580,NA,NA
"20",2021,"Chum","CM-02","Lower Fraser Chum",NA,481590,481590,481590,481590,NA,NA
