"Species","CU_ID","CU_Name","Year","SpnForTrend_Total","SpnForTrend_Wild","Hatchery_Origin_Spawners","Rec.Nat.Age3","Rec.Nat.Age4","Rec.Hat.Age3","Rec.Hat.Age4","Recruits_Wild","Rec.Hat.Total","Rec.3.Total","Rec.4.Total","Recruits_Total","SpnForAbd_Total","SpnForAbd_Wild","Total_ER","DU_ID"
"Coho","CO_01","Middle Fraser",1998,4851,4834,17,5891,306,278,11,6197,289,6169,317,6486,4851,4834,NA,NA
"Coho","CO_01","Middle Fraser",1999,1652,1608,44,4060,306,146,0,4366,146,4206,306,4512,1652,1608,NA,NA
"Coho","CO_01","Middle Fraser",2000,3920,3872,48,4068,384,0,0,4452,0,4068,384,4452,3920,3872,NA,NA
"Coho","CO_01","Middle Fraser",2001,6162,5884,278,5096,176,0,0,5272,0,5096,176,5272,6162,5884,NA,NA
"Coho","CO_01","Middle Fraser",2002,4170,4025,145,2340,101,0,0,2441,0,2340,101,2441,4170,4025,NA,NA
"Coho","CO_01","Middle Fraser",2003,3809,3809,0,1335,785,0,0,2120,0,1335,785,2120,3809,3809,NA,NA
"Coho","CO_01","Middle Fraser",2004,4760,4760,0,10429,114,0,0,10543,0,10429,114,10543,4760,4760,NA,NA
"Coho","CO_01","Middle Fraser",2005,2189,2189,0,1509,182,0,0,1691,0,1509,182,1691,2189,2189,NA,NA
"Coho","CO_01","Middle Fraser",2006,1301,1301,0,2424,366,0,0,2790,0,2424,366,2790,1301,1301,NA,NA
"Coho","CO_01","Middle Fraser",2007,9958,9958,0,4868,314,0,0,5182,0,4868,314,5182,9958,9958,NA,NA
"Coho","CO_01","Middle Fraser",2008,1464,1464,0,4174,562,0,0,4736,0,4174,562,4736,1464,1464,NA,NA
"Coho","CO_01","Middle Fraser",2009,2306,2306,0,7463,971,0,1,8434,1,7463,972,8435,2306,2306,NA,NA
"Coho","CO_01","Middle Fraser",2010,4689,4689,0,12894,333,10,0,13227,10,12904,333,13237,4689,4689,NA,NA
"Coho","CO_01","Middle Fraser",2011,3920,3920,0,4422,115,0,0,4537,0,4422,115,4537,3920,3920,NA,NA
"Coho","CO_01","Middle Fraser",2012,7127,7127,0,1532,1027,0,0,2559,0,1532,1027,2559,7127,7127,NA,NA
"Coho","CO_01","Middle Fraser",2013,11625,11616,9,13648,283,0,0,13931,0,13648,283,13931,11625,11616,NA,NA
"Coho","CO_01","Middle Fraser",2014,3243,3243,0,3753,293,0,0,4046,0,3753,293,4046,3243,3243,NA,NA
"Coho","CO_01","Middle Fraser",2015,1354,1354,0,3889,275,0,0,4164,0,3889,275,4164,1354,1354,NA,NA
"Coho","CO_01","Middle Fraser",2016,13540,13540,0,3654,571,0,0,4225,0,3654,571,4225,13540,13540,NA,NA
