"Species","Year","SpnForAbd_Total","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","CU_ID","CU_Name","DU_ID","STK_ID","STK_NAME"
"Sockeye",1961,3172.897818,3172.897818,3172.897818,3172.897818,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1962,5430.506455,5430.506455,5430.506455,5430.506455,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1963,26237.73109,26237.73109,26237.73109,26237.73109,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1964,23251.55603,23251.55603,23251.55603,23251.55603,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1965,17879.29135,17879.29135,17879.29135,17879.29135,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1966,73659.0366,73659.0366,73659.0366,73659.0366,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1967,26964.0961,26964.0961,26964.0961,26964.0961,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1968,45522.88,45522.88,45522.88,45522.88,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1969,10710.592,10710.592,10710.592,10710.592,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1970,29341.888,29341.888,29341.888,29341.888,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1971,36090.9141,36090.9141,36090.9141,36090.9141,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1972,21564,21564,21564,21564,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1973,12133,12133,12133,12133,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1974,7110.434712,7110.434712,7110.434712,7110.434712,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1975,12739.23404,12739.23404,12739.23404,12739.23404,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1976,16428.544,16428.544,16428.544,16428.544,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1977,13176.448,13176.448,13176.448,13176.448,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1978,4750.144,4750.144,4750.144,4750.144,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1979,15009.28,15009.28,15009.28,15009.28,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1980,15807.04,15807.04,15807.04,15807.04,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1981,16938.304,16938.304,16938.304,16938.304,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1982,11703.04,11703.04,11703.04,11703.04,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1983,16761.472,16761.472,16761.472,16761.472,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1984,53720.67986,53720.67986,53720.67986,53720.67986,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1985,31945.74646,31945.74646,31945.74646,31945.74646,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1986,15472.15812,15472.15812,15472.15812,15472.15812,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1987,21090.09404,21090.09404,21090.09404,21090.09404,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1988,20652.928,20652.928,20652.928,20652.928,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1989,17947.46414,17947.46414,17947.46414,17947.46414,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1990,6261.494874,6261.494874,6261.494874,6261.494874,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1991,19737.56439,19737.56439,19737.56439,19737.56439,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1992,33184.31818,33184.31818,33184.31818,33184.31818,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1993,17151.424,17151.424,17151.424,17151.424,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1994,1976.704,1976.704,1976.704,1976.704,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1995,4581.290136,4581.290136,4581.290136,4581.290136,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1996,17034.93753,17034.93753,17034.93753,17034.93753,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1997,11995.86628,11995.86628,11995.86628,11995.86628,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1998,3708.12834,3708.12834,3708.12834,3708.12834,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1999,5648,5648,5648,5648,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2000,29243,29243,29243,29243,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2001,41921.52918,41921.52918,41921.52918,41921.52918,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2002,4898,4898,4898,4898,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2003,17753,17753,17753,17753,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2004,41571,41571,41571,41571,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2005,31536,31536,31536,31536,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2006,20819,20819,20819,20819,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2007,13504.13636,13504.13636,13504.13636,13504.13636,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2008,127602.4545,127602.4545,127602.4545,127602.4545,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2009,64141.36364,64141.36364,64141.36364,64141.36364,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2010,209974,209974,209974,209974,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2011,77650,77650,77650,77650,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2012,94071.31818,94071.31818,94071.31818,94071.31818,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2013,36557,36557,36557,36557,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2014,146700.8636,146700.8636,146700.8636,146700.8636,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2015,10443,10443,10443,10443,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2016,55190,55190,55190,55190,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2017,10040,10040,10040,10040,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2018,31001,31001,31001,31001,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2019,13108,13108,13108,13108,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2020,48138,48138,48138,48138,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",2021,10699,10699,10699,10699,"SEL_1_1","Osoyoos",NA,"SEL_1_1","Osoyoos"
"Sockeye",1961,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1962,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1963,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1964,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1965,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1966,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1967,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1968,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1969,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1970,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1971,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1972,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1973,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1974,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1975,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1976,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1977,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1978,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1979,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1980,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1981,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1982,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1983,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1984,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1985,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1986,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1987,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1988,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1989,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1990,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
