"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","CK-02",1996,123,NA,"DU1","Boundary Bay_FA_0.3","BB",123,NA,NA,NA
"Chinook","CK-02",1997,381,NA,"DU1","Boundary Bay_FA_0.3","BB",381,NA,NA,NA
"Chinook","CK-03",1975,15000,15000,"DU2","Lower Fraser River_FA_0.3","LFR-fall",15000,15000,NA,NA
"Chinook","CK-03",1976,7500,7500,"DU2","Lower Fraser River_FA_0.3","LFR-fall",7500,7500,NA,NA
"Chinook","CK-03",1977,25000,25000,"DU2","Lower Fraser River_FA_0.3","LFR-fall",25000,25000,NA,NA
"Chinook","CK-03",1978,15000,15000,"DU2","Lower Fraser River_FA_0.3","LFR-fall",15000,15000,NA,NA
"Chinook","CK-03",1979,15000,15000,"DU2","Lower Fraser River_FA_0.3","LFR-fall",15000,15000,NA,NA
"Chinook","CK-03",1980,10000,10000,"DU2","Lower Fraser River_FA_0.3","LFR-fall",10000,10000,NA,NA
"Chinook","CK-03",1981,20000,20000,"DU2","Lower Fraser River_FA_0.3","LFR-fall",20000,20000,NA,NA
"Chinook","CK-03",1982,22000,22000,"DU2","Lower Fraser River_FA_0.3","LFR-fall",22000,22000,NA,NA
"Chinook","CK-03",1983,6000,6000,"DU2","Lower Fraser River_FA_0.3","LFR-fall",6000,6000,NA,NA
"Chinook","CK-03",1984,122403,122403,"DU2","Lower Fraser River_FA_0.3","LFR-fall",122403,122403,NA,NA
"Chinook","CK-03",1985,175419,175419,"DU2","Lower Fraser River_FA_0.3","LFR-fall",175419,175419,NA,NA
"Chinook","CK-03",1986,163329,163329,"DU2","Lower Fraser River_FA_0.3","LFR-fall",163329,163329,NA,NA
"Chinook","CK-03",1987,79956,79956,"DU2","Lower Fraser River_FA_0.3","LFR-fall",79956,79956,NA,NA
"Chinook","CK-03",1988,35583,35583,"DU2","Lower Fraser River_FA_0.3","LFR-fall",35583,35583,NA,NA
"Chinook","CK-03",1989,76085,76085,"DU2","Lower Fraser River_FA_0.3","LFR-fall",76085,76085,NA,NA
"Chinook","CK-03",1990,178854,178854,"DU2","Lower Fraser River_FA_0.3","LFR-fall",178854,178854,NA,NA
