Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,CU_ID,CU_Name,DU_ID,STK_ID,STK_NAME,TotalER,Recruits_Total,sr_spn,Recruits_Wild,Trends_StartYr,Abd_StartYr,FirstYrUse
Sockeye,1950,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,NA,NA,NA,1950,1950,1950
Sockeye,1951,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,NA,NA,NA,1950,1950,1950
Sockeye,1952,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,NA,NA,NA,1950,1950,1950
Sockeye,1953,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,NA,NA,NA,1950,1950,1950
Sockeye,1954,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,NA,NA,NA,1950,1950,1950
Sockeye,1955,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,NA,NA,NA,1950,1950,1950
Sockeye,1956,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,37412.84209,NA,37412.84209,1950,1950,1950
Sockeye,1957,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,30051.93504,NA,30051.93504,1950,1950,1950
Sockeye,1958,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,17526.54987,NA,17526.54987,1950,1950,1950
Sockeye,1959,NA,NA,NA,NA,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,NA,14254.02738,NA,14254.02738,1950,1950,1950
Sockeye,1960,7763.168203,7763.168203,7763.168203,7763.168203,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.322044761,25957.85943,7763.168203,25957.85943,1950,1950,1950
Sockeye,1961,29389.13677,29389.13677,29389.13677,29389.13677,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.30429612,37048.09703,29389.13677,37048.09703,1950,1950,1950
Sockeye,1962,22058.48794,22058.48794,22058.48794,22058.48794,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.332543912,49046.34754,22058.48794,49046.34754,1950,1950,1950
Sockeye,1963,19962.43252,19962.43252,19962.43252,19962.43252,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.204082734,34620.52679,19962.43252,34620.52679,1950,1950,1950
Sockeye,1964,4214.29131,4214.29131,4214.29131,4214.29131,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.321603169,9991.13483,4214.29131,9991.13483,1950,1950,1950
Sockeye,1965,17522.57966,17522.57966,17522.57966,17522.57966,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.273235398,5861.047942,17522.57966,5861.047942,1950,1950,1950
Sockeye,1966,18631.60369,18631.60369,18631.60369,18631.60369,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.37896325,7902.214394,18631.60369,7902.214394,1950,1950,1950
Sockeye,1967,27725.60073,27725.60073,27725.60073,27725.60073,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.416051123,13444.72342,27725.60073,13444.72342,1950,1950,1950
Sockeye,1968,33270.72087,33270.72087,33270.72087,33270.72087,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.368186928,11040.67389,33270.72087,11040.67389,1950,1950,1950
Sockeye,1969,6654.144174,6654.144174,6654.144174,6654.144174,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.302526223,4840.724766,6654.144174,4840.724766,1950,1950,1950
Sockeye,1970,4990.608131,4990.608131,4990.608131,4990.608131,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.304807425,5415.688986,4990.608131,5415.688986,1950,1950,1950
Sockeye,1971,2550.755267,2550.755267,2550.755267,2550.755267,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.330471479,15558.06805,2550.755267,15558.06805,1950,1950,1950
Sockeye,1972,8872.192233,8872.192233,8872.192233,8872.192233,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.338718932,26501.23024,8872.192233,26501.23024,1950,1950,1950
Sockeye,1973,8872.192233,8872.192233,8872.192233,8872.192233,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.377517522,30617.64809,8872.192233,30617.64809,1950,1950,1950
Sockeye,1974,3881.584102,3881.584102,3881.584102,3881.584102,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.408979885,39192.23418,3881.584102,39192.23418,1950,1950,1950
Sockeye,1975,1330.828835,1330.828835,1330.828835,1330.828835,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.254541218,30894.40377,1330.828835,30894.40377,1950,1950,1950
Sockeye,1976,6654.144174,6654.144174,6654.144174,6654.144174,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.345330282,11028.40641,6654.144174,11028.40641,1950,1950,1950
Sockeye,1977,15526.33641,15526.33641,15526.33641,15526.33641,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.349050219,18423.62576,15526.33641,18423.62576,1950,1950,1950
Sockeye,1978,19962.43252,19962.43252,19962.43252,19962.43252,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.363051794,16913.26171,19962.43252,16913.26171,1950,1950,1950
Sockeye,1979,19962.43252,19962.43252,19962.43252,19962.43252,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.338878085,13268.64671,19962.43252,13268.64671,1950,1950,1950
Sockeye,1980,33270.72087,33270.72087,33270.72087,33270.72087,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.357918258,22215.92281,33270.72087,22215.92281,1950,1950,1950
Sockeye,1981,1996.243252,1996.243252,1996.243252,1996.243252,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.346273815,25707.47179,1996.243252,25707.47179,1950,1950,1950
Sockeye,1982,10535.72828,10535.72828,10535.72828,10535.72828,SEL-20-01,Alastair,NA,SEL-20-01,Alastair,0.427354621,19066.39934,10535.72828,19066.39934,1950,1950,1950
