"","Year","Pop_Name","Species","CU_ID","CU_Name","POPID","SpnForAbd_Wild","SpnForTrend_Wild","SpnForAbd_Total","SpnForTrend_Total","Pop_ID","DU_ID","Recruits_Total","Recruits_Wild"
"1",2002,"Stave River","Chum","CM-02","Lower Fraser Chum",48008,NA,NA,475000,475000,48008,NA,NA,NA
"2",2002,"Barnes Creek","Chum","CM-02","Lower Fraser Chum",7473,NA,NA,86,86,7473,NA,NA,NA
"3",2002,"Blaney Creek","Chum","CM-02","Lower Fraser Chum",47935,NA,NA,675,675,47935,NA,NA,NA
"4",2002,"Chilqua Slough & Creek","Chum","CM-02","Lower Fraser Chum",48025,NA,NA,2539,2539,48025,NA,NA,NA
"5",2002,"Coghlan Creek","Chum","CM-02","Lower Fraser Chum",47980,NA,NA,156,156,47980,NA,NA,NA
"6",2002,"Hicks Creek","Chum","CM-02","Lower Fraser Chum",47098,NA,NA,500,500,47098,NA,NA,NA
"7",2002,"Hopedale Creek","Chum","CM-02","Lower Fraser Chum",44645,NA,NA,2616,2616,44645,NA,NA,NA
"8",2002,"Kanaka Creek","Chum","CM-02","Lower Fraser Chum",47963,NA,NA,15630,15630,47963,NA,NA,NA
"9",2002,"MacIntyre Creek","Chum","CM-02","Lower Fraser Chum",47950,NA,NA,215,215,47950,NA,NA,NA
"10",2002,"Nathan Creek","Chum","CM-02","Lower Fraser Chum",47992,NA,NA,212,212,47992,NA,NA,NA
"11",2002,"Norrish  Suicide  Creek","Chum","CM-02","Lower Fraser Chum",47557,NA,NA,7804,7804,47557,NA,NA,NA
"12",2002,"North Alouette River","Chum","CM-02","Lower Fraser Chum",47928,NA,NA,NA,NA,47928,NA,NA,NA
"13",2002,"Peach Creek","Chum","CM-02","Lower Fraser Chum",47015,NA,NA,NA,NA,47015,NA,NA,NA
"14",2002,"Post Creek","Chum","CM-02","Lower Fraser Chum",47062,NA,NA,NA,NA,47062,NA,NA,NA
"15",2002,"Salmon River","Chum","CM-02","Lower Fraser Chum",47970,NA,NA,150,150,47970,NA,NA,NA
"16",2002,"Siddall Creek","Chum","CM-02","Lower Fraser Chum",46978,NA,NA,17,17,46978,NA,NA,NA
"17",2002,"Silverdale Creek","Chum","CM-02","Lower Fraser Chum",48012,NA,NA,6433,6433,48012,NA,NA,NA
"18",2002,"Squawkum Creek","Chum","CM-02","Lower Fraser Chum",46037,NA,NA,12454,12454,46037,NA,NA,NA
"19",2002,"Street Creek","Chum","CM-02","Lower Fraser Chum",47000,NA,NA,2682,2682,47000,NA,NA,NA
"20",2002,"Sweltzer Creek","Chum","CM-02","Lower Fraser Chum",47018,NA,NA,NA,NA,47018,NA,NA,NA
"21",2002,"Wahleach Creek","Chum","CM-02","Lower Fraser Chum",47102,NA,NA,NA,NA,47102,NA,NA,NA
"22",2002,"Whonnock Creek","Chum","CM-02","Lower Fraser Chum",48002,NA,NA,NA,NA,48002,NA,NA,NA
"23",2002,"Widgeon Creek","Chum","CM-02","Lower Fraser Chum",47957,NA,NA,NA,NA,47957,NA,NA,NA
"24",2002,"Worth Creek","Chum","CM-02","Lower Fraser Chum",46969,NA,NA,1470,1470,46969,NA,NA,NA
"25",2002,"Harrison River","Chum","CM-02","Lower Fraser Chum",46033,NA,NA,1485401,1485401,46033,NA,NA,NA
"26",2003,"Stave River","Chum","CM-02","Lower Fraser Chum",48008,NA,NA,2e+05,2e+05,48008,NA,NA,NA
"27",2003,"Barnes Creek","Chum","CM-02","Lower Fraser Chum",7473,NA,NA,NA,NA,7473,NA,NA,NA
"28",2003,"Blaney Creek","Chum","CM-02","Lower Fraser Chum",47935,NA,NA,NA,NA,47935,NA,NA,NA
"29",2003,"Chilqua Slough & Creek","Chum","CM-02","Lower Fraser Chum",48025,NA,NA,NA,NA,48025,NA,NA,NA
"30",2003,"Coghlan Creek","Chum","CM-02","Lower Fraser Chum",47980,NA,NA,NA,NA,47980,NA,NA,NA
"31",2003,"Hicks Creek","Chum","CM-02","Lower Fraser Chum",47098,NA,NA,NA,NA,47098,NA,NA,NA
"32",2003,"Hopedale Creek","Chum","CM-02","Lower Fraser Chum",44645,NA,NA,NA,NA,44645,NA,NA,NA
"33",2003,"Kanaka Creek","Chum","CM-02","Lower Fraser Chum",47963,NA,NA,NA,NA,47963,NA,NA,NA
"34",2003,"MacIntyre Creek","Chum","CM-02","Lower Fraser Chum",47950,NA,NA,NA,NA,47950,NA,NA,NA
"35",2003,"Nathan Creek","Chum","CM-02","Lower Fraser Chum",47992,NA,NA,NA,NA,47992,NA,NA,NA
"36",2003,"Norrish  Suicide  Creek","Chum","CM-02","Lower Fraser Chum",47557,NA,NA,NA,NA,47557,NA,NA,NA
"37",2003,"North Alouette River","Chum","CM-02","Lower Fraser Chum",47928,NA,NA,NA,NA,47928,NA,NA,NA
"38",2003,"Peach Creek","Chum","CM-02","Lower Fraser Chum",47015,NA,NA,NA,NA,47015,NA,NA,NA
"39",2003,"Post Creek","Chum","CM-02","Lower Fraser Chum",47062,NA,NA,NA,NA,47062,NA,NA,NA
"40",2003,"Salmon River","Chum","CM-02","Lower Fraser Chum",47970,NA,NA,NA,NA,47970,NA,NA,NA
"41",2003,"Siddall Creek","Chum","CM-02","Lower Fraser Chum",46978,NA,NA,NA,NA,46978,NA,NA,NA
"42",2003,"Silverdale Creek","Chum","CM-02","Lower Fraser Chum",48012,NA,NA,NA,NA,48012,NA,NA,NA
"43",2003,"Squawkum Creek","Chum","CM-02","Lower Fraser Chum",46037,NA,NA,NA,NA,46037,NA,NA,NA
"44",2003,"Street Creek","Chum","CM-02","Lower Fraser Chum",47000,NA,NA,NA,NA,47000,NA,NA,NA
