"CU_Name","Year","Pop_Name","SpnForTrend_Total","Pop_ID","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","CU_ID","DU_ID"
"Fraser Canyon",1998,"Nahatlatch R",5460,47159,NA,5460,NA,NA,NA,"CO_02",NA
"Fraser Canyon",1999,"Nahatlatch R",4096,47159,NA,4096,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2000,"Nahatlatch R",2719,47159,NA,2719,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2001,"Nahatlatch R",5971,47159,NA,5971,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2002,"Nahatlatch R",3817,47159,NA,3817,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2003,"Nahatlatch R",4552,47159,NA,4552,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2004,"Nahatlatch R",5872,47159,NA,5872,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2005,"Nahatlatch R",2269,47159,NA,2269,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2006,"Nahatlatch R",1605,47159,NA,1605,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2007,"Nahatlatch R",2739,47159,NA,2739,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2008,"Nahatlatch R",1138,47159,NA,1138,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2009,"Nahatlatch R",2308,47159,NA,2308,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2010,"Nahatlatch R",2227,47159,NA,2227,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2011,"Nahatlatch R",3189,47159,NA,3189,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2012,"Nahatlatch R",5134,47159,NA,5134,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2013,"Nahatlatch R",5398,47159,NA,5398,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2014,"Nahatlatch R",1048.117175,47159,NA,1048.117175,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2015,"Nahatlatch R",351.6928226,47159,NA,351.6928226,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2016,"Nahatlatch R",1159.606667,47159,NA,1159.606667,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2017,"Nahatlatch R",1656.666667,47159,NA,1656.666667,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2018,"Nahatlatch R",4915.531365,47159,NA,4915.531365,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2019,"Nahatlatch R",3258.927536,47159,NA,3258.927536,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2020,"Nahatlatch R",5311.249597,47159,NA,5311.249597,NA,NA,NA,"CO_02",NA
"Fraser Canyon",2021,"Nahatlatch R",2372.338164,47159,NA,2372.338164,NA,NA,NA,"CO_02",NA
"Lower Thompson",1998,"Bonaparte R",63,46200,NA,63,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Coldwater R",691,46190,NA,691,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Deadman R",131,46210,NA,131,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Spius Cr",1271,46180,NA,1271,NA,NA,NA,"CO_03",NA
"Lower Thompson",1998,"Tranquille R",9.233742601,44975,NA,9.233742601,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Bonaparte R",42,46200,NA,42,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Coldwater R",1812,46190,NA,1812,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Deadman R",1089,46210,NA,1089,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Spius Cr",1032,46180,NA,1032,NA,NA,NA,"CO_03",NA
"Lower Thompson",1999,"Tranquille R",17.15656596,44975,NA,17.15656596,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Bonaparte R",62,46200,NA,62,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Coldwater R",2870,46190,NA,2870,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Deadman R",773,46210,NA,773,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Spius Cr",1034.25905,46180,NA,1034.25905,NA,NA,NA,"CO_03",NA
"Lower Thompson",2000,"Tranquille R",0,44975,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Bonaparte R",136,46200,NA,136,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Coldwater R",4600,46190,NA,4600,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Deadman R",861,46210,NA,861,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Spius Cr",3910,46180,NA,3910,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Tranquille R",15,44975,NA,15,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Bonaparte R",600,46200,NA,600,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Coldwater R",5661,46190,NA,5661,NA,NA,NA,"CO_03",NA
