"Year","Watershed.Group.Name","Pop_Name","Timing.Group","CU_Name","SpnForTrend_Total","adults","eff_fem","EstClass","SpnForTrend_Wild","SpnForAbd_Wild","SpnForAbd_Total","Recruits_Total","Recruits_Wild","Pop_ID","MapPOP_ID","CU_ID","CU_Name.Check","DU_ID","CU_ID_Alt2_CULookup"
1938,"Chilcotin","Chilko River","t3","Chilko - Summer",10870,10838,5142,"RELATIVE ABUNDANCE (TYPE-3)",10870,10870,10870,NA,NA,46843,46843,"L-06-03","CHILKO-SUMMER TIMING",NA,"SEL-06-03/SEL-06-02"
1938,"Chilcotin","S. End Chilko Lake","t2","Chilko - Early Summer",0,0,0,"",0,0,0,NA,NA,45081,45081,"L-06-02","CHILKO-EARLY SUMMER TIMING",NA,"SEL-06-02"
1938,"Chilcotin","Taseko Lake","t2","Taseko - Early Summer",0,0,0,"",0,0,0,NA,NA,46853,46853,"L-06-16","TASEKO-EARLY SUMMER TIMING",NA,"SEL-06-16"
1938,"Early South Thompson","Adams River, lower","t2","Shuswap - Early Summer",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,46238,46238,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING",NA,"SEL-09-02"
1938,"Early South Thompson","Adams River, upper","t2","Shuswap - Early Summer",0,0,0,"",0,0,0,NA,NA,46248,NA,NA,NA,NA,NA
1938,"Early South Thompson","Anstey River","t2","Shuswap - Early Summer",0,0,0,"",0,0,0,NA,NA,46348,46348,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING",NA,"SEL-09-02"
1938,"Early South Thompson","Eagle River","t2","Shuswap - Early Summer",0,0,0,"",0,0,0,NA,NA,46358,46358,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING",NA,"SEL-09-02"
1938,"Early South Thompson","Momich River, lower","t2","Shuswap - Early Summer",0,0,0,"",0,0,0,NA,NA,46268,NA,NA,NA,NA,NA
1938,"Early South Thompson","Scotch Creek","t2","Shuswap - Early Summer",0,0,0,"",0,0,0,NA,NA,46288,46288,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING",NA,"SEL-09-02"
1938,"Early South Thompson","Seymour River","t2","Shuswap - Early Summer",0,0,0,"",0,0,0,NA,NA,46328,46328,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING",NA,"SEL-09-02"
1938,"Early Stuart","15 Mile Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45590,45590,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","25 Mile Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45587,45587,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Ankwill Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45596,45596,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Bates Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,45597,45597,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Bivouac Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,45574,45574,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Blanchet Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45589,45589,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Crow Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45583,45583,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Driftwood River","t1","Takla-Trembleur - Early Stuart",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,45598,45598,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Dust Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,45581,45581,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Fleming Creek","t1","Takla-Trembleur - Early Stuart",5,5,3,"RELATIVE ABUNDANCE (TYPE-4)",5,5,5,NA,NA,45556,45556,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Forfar Creek","t1","Takla-Trembleur - Early Stuart",4694,4694,2361,"RELATIVE ABUNDANCE (TYPE-3)",4694,4694,4694,NA,NA,45571,45571,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","French Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45595,45595,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Frypan Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45593,45593,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Gluske Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,45572,45572,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Hudson Bay Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45592,45592,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Kastberg Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45605,45605,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Kazchek Creek","t1","Takla-Trembleur - Early Stuart",4,4,2,"RELATIVE ABUNDANCE (TYPE-3)",4,4,4,NA,NA,45559,45559,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
