"CU_Name","CU_acro","DU_ID","CU_ID","Pop_Name","Pop_ID","Year","EstClass","SpnForTrend_Total","StartYear","UseYear","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1996,"OtherSource",123,1979,TRUE,123,123,123,NA,NA
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1997,"OtherSource",381,1979,TRUE,381,381,381,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1986,"RELATIVE ABUNDANCE (TYPE-4)",4291,1986,TRUE,4291,4291,4291,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1987,"RELATIVE ABUNDANCE (TYPE-4)",16790,1986,TRUE,16790,16790,16790,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1988,"RELATIVE ABUNDANCE (TYPE-4)",14466,1986,TRUE,14466,14466,14466,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1989,"RELATIVE ABUNDANCE (TYPE-4)",2933,1986,TRUE,2933,2933,2933,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1990,"RELATIVE ABUNDANCE (TYPE-4)",1570,1986,TRUE,1570,1570,1570,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1991,"RELATIVE ABUNDANCE (TYPE-4)",8392,1986,TRUE,8392,8392,8392,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1992,"RELATIVE ABUNDANCE (TYPE-4)",35856,1986,TRUE,35856,35856,35856,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1993,"RELATIVE ABUNDANCE (TYPE-4)",17834,1986,TRUE,17834,17834,17834,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1994,"RELATIVE ABUNDANCE (TYPE-4)",6826,1986,TRUE,6826,6826,6826,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1995,"RELATIVE ABUNDANCE (TYPE-4)",29820,1986,TRUE,29820,29820,29820,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1996,"RELATIVE ABUNDANCE (TYPE-4)",21928,1986,TRUE,21928,21928,21928,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1997,"RELATIVE ABUNDANCE (TYPE-4)",79717,1986,TRUE,79717,79717,79717,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1998,"RELATIVE ABUNDANCE (TYPE-4)",78780,1986,TRUE,78780,78780,78780,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1999,"RELATIVE ABUNDANCE (TYPE-4)",74945,1986,TRUE,74945,74945,74945,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2000,"TRUE ABUNDANCE (TYPE-2)",70983,1986,TRUE,70983,70983,70983,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2001,"RELATIVE ABUNDANCE (TYPE-4)",68247,1986,TRUE,68247,68247,68247,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2002,"RELATIVE ABUNDANCE (TYPE-4)",58852,1986,TRUE,58852,58852,58852,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2003,"RELATIVE ABUNDANCE (TYPE-4)",54111,1986,TRUE,54111,54111,54111,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2004,"RELATIVE ABUNDANCE (TYPE-4)",54485,1986,TRUE,54485,54485,54485,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2005,"RELATIVE ABUNDANCE (TYPE-4)",31099,1986,TRUE,31099,31099,31099,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2006,"RELATIVE ABUNDANCE (TYPE-4)",41312,1986,TRUE,41312,41312,41312,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2007,"RELATIVE ABUNDANCE (TYPE-4)",23514,1986,TRUE,23514,23514,23514,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2008,"RELATIVE ABUNDANCE (TYPE-4)",35732,1986,TRUE,35732,35732,35732,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2009,"RELATIVE ABUNDANCE (TYPE-4)",14116,1986,TRUE,14116,14116,14116,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2010,"RELATIVE ABUNDANCE (TYPE-4)",74947,1986,TRUE,74947,74947,74947,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2011,"RELATIVE ABUNDANCE (TYPE-4)",47986,1986,TRUE,47986,47986,47986,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2012,"RELATIVE ABUNDANCE (TYPE-4)",14566,1986,TRUE,14566,14566,14566,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2013,"RELATIVE ABUNDANCE (TYPE-4)",45713,1986,TRUE,45713,45713,45713,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2014,"RELATIVE ABUNDANCE (TYPE-4)",49904,1986,TRUE,49904,49904,49904,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2015,"RELATIVE ABUNDANCE (TYPE-4)",25849,1986,TRUE,25849,25849,25849,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2016,"RELATIVE ABUNDANCE (TYPE-4)",34397,1986,TRUE,34397,34397,34397,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2017,"RELATIVE ABUNDANCE (TYPE-4)",20184,1986,TRUE,20184,20184,20184,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2018,"RELATIVE ABUNDANCE (TYPE-4)",17810,1986,TRUE,17810,17810,17810,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2019,"RELATIVE ABUNDANCE (TYPE-4)",70366,1986,TRUE,70366,70366,70366,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2020,"RELATIVE ABUNDANCE (TYPE-4)",35795,1986,TRUE,35795,35795,35795,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2021,"RELATIVE ABUNDANCE (TYPE-4)",52868,1986,TRUE,52868,52868,52868,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,2022,"RELATIVE ABUNDANCE (TYPE-4)",56170,1986,TRUE,56170,56170,56170,NA,NA
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,1996,"RELATIVE ABUNDANCE (TYPE-4)",10,NA,TRUE,10,10,10,NA,NA
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,1998,"RELATIVE ABUNDANCE (TYPE-4)",2,NA,TRUE,2,2,2,NA,NA
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,1999,"INFILL",2.79066603866868,NA,TRUE,2.79066603866868,2.79066603866868,2.79066603866868,NA,NA
