"CU_Name","Year","SpnForTrend_Total","CU_ID","Dataset","Species","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Recruits_Total","Recruits_Wild","DU_ID"
"Southern Coastal Streams",1953,28327.8388,"CM-08","Cm_ISC","Chum",28327.8388,28327.8388,28327.8388,"NA","NA","NA"
"Southern Coastal Streams",1954,49645.64915,"CM-08","Cm_ISC","Chum",49645.64915,49645.64915,49645.64915,"NA","NA","NA"
"Southern Coastal Streams",1955,23599.7914,"CM-08","Cm_ISC","Chum",23599.7914,23599.7914,23599.7914,"NA","NA","NA"
"Southern Coastal Streams",1956,28481.83666,"CM-08","Cm_ISC","Chum",28481.83666,28481.83666,28481.83666,"NA","NA","NA"
"Southern Coastal Streams",1957,31055.29323,"CM-08","Cm_ISC","Chum",31055.29323,31055.29323,31055.29323,"NA","NA","NA"
"Southern Coastal Streams",1958,50017.27295,"CM-08","Cm_ISC","Chum",50017.27295,50017.27295,50017.27295,"NA","NA","NA"
"Southern Coastal Streams",1959,8703.839843,"CM-08","Cm_ISC","Chum",8703.839843,8703.839843,8703.839843,"NA","NA","NA"
"Southern Coastal Streams",1960,9643.992917,"CM-08","Cm_ISC","Chum",9643.992917,9643.992917,9643.992917,"NA","NA","NA"
"Southern Coastal Streams",1961,14969.775,"CM-08","Cm_ISC","Chum",14969.775,14969.775,14969.775,"NA","NA","NA"
"Southern Coastal Streams",1962,9778.417481,"CM-08","Cm_ISC","Chum",9778.417481,9778.417481,9778.417481,"NA","NA","NA"
"Southern Coastal Streams",1963,15162.60451,"CM-08","Cm_ISC","Chum",15162.60451,15162.60451,15162.60451,"NA","NA","NA"
"Southern Coastal Streams",1964,7297.326478,"CM-08","Cm_ISC","Chum",7297.326478,7297.326478,7297.326478,"NA","NA","NA"
"Southern Coastal Streams",1965,2063.690328,"CM-08","Cm_ISC","Chum",2063.690328,2063.690328,2063.690328,"NA","NA","NA"
"Southern Coastal Streams",1966,16042.81474,"CM-08","Cm_ISC","Chum",16042.81474,16042.81474,16042.81474,"NA","NA","NA"
"Southern Coastal Streams",1967,18203.50191,"CM-08","Cm_ISC","Chum",18203.50191,18203.50191,18203.50191,"NA","NA","NA"
"Southern Coastal Streams",1968,10717.68324,"CM-08","Cm_ISC","Chum",10717.68324,10717.68324,10717.68324,"NA","NA","NA"
"Southern Coastal Streams",1969,16141.38657,"CM-08","Cm_ISC","Chum",16141.38657,16141.38657,16141.38657,"NA","NA","NA"
