"CU_ID","Year","Value"
"CK-16",1995,NA
"CK-16",1996,NA
"CK-16",1997,NA
"CK-16",1998,NA
"CK-16",1999,NA
"CK-16",2000,NA
"CK-16",2001,NA
"CK-16",2002,252.650486487941
"CK-16",2003,214.534739313624
"CK-16",2004,252.636904279873
"CK-16",2005,199.922533128249
"CK-16",2006,205.966929799598
"CK-16",2007,81.1983884861687
"CK-16",2008,66.1318358628737
"CK-16",2009,41.5319154037143
"CK-16",2010,38.4142654026047
"CK-16",2011,43.203857825429
"CK-16",2012,28.2118688249982
"CK-16",2013,45.8301206840219
"CK-16",2014,38.0523047972635
"CK-16",2015,78.3788871713425
"CK-16",2016,64.52350438852
"CK-16",2017,35.0607760064759
"CK-16",2018,16.1782710894244
"CK-16",2019,4.67026458425094
"CK-16",2020,NA
"CK-16",2021,NA
"CK-16",2022,NA
"CK-03",1995,82279.7508306332
"CK-03",1996,60478.4958878056
"CK-03",1997,53165.6561644177
"CK-03",1998,63380.0895704306
"CK-03",1999,87664.3500134017
"CK-03",2000,104871.068213272
"CK-03",2001,116567.26973828
"CK-03",2002,93806.9882849713
"CK-03",2003,116134.47863925
"CK-03",2004,133999.133633395
"CK-03",2005,127055.114701783
"CK-03",2006,116971.45570098
"CK-03",2007,87227.4227111667
"CK-03",2008,64449.4029341839
"CK-03",2009,60792.785381436
"CK-03",2010,69511.5710313266
"CK-03",2011,78344.5915738885
"CK-03",2012,79663.0595588794
"CK-03",2013,70520.901907088
"CK-03",2014,57216.9139300136
"CK-03",2015,54492.764360314
"CK-03",2016,53437.0274654195
"CK-03",2017,48710.4739488958
"CK-03",2018,49027.032101534
"CK-03",2019,40019.4362492817
"CK-03",2020,40438.8745786481
"CK-03",2021,42527.5185286755
"CK-03",2022,49062.1595667839
"CK-07",1995,NA
"CK-07",1996,NA
"CK-07",1997,NA
"CK-07",1998,NA
"CK-07",1999,140.276149797455
"CK-07",2000,181.780006342042
"CK-07",2001,260.539890917589
"CK-07",2002,394.698970447819
"CK-07",2003,541.953482858049
"CK-07",2004,NA
"CK-07",2005,NA
"CK-07",2006,NA
"CK-07",2007,NA
"CK-07",2008,507.2081208604
"CK-07",2009,563.293400216014
"CK-07",2010,663.25372198498
"CK-07",2011,799.980909555934
"CK-07",2012,666.195953649199
"CK-07",2013,751.247671628281
"CK-07",2014,650.101057773499
"CK-07",2015,618.712262993636
"CK-07",2016,465.390579234431
"CK-07",2017,237.71746909821
"CK-07",2018,55.1178251954134
"CK-07",2019,38.7358997106009
"CK-07",2020,27.3249678670981
"CK-07",2021,22.3888902433831
"CK-07",2022,55.5876694667456
"CK-13",1995,NA
"CK-13",1996,NA
"CK-13",1997,NA
"CK-13",1998,NA
"CK-13",1999,NA
"CK-13",2000,30016.4959802038
"CK-13",2001,30445.97000693
"CK-13",2002,32362.5962866604
"CK-13",2003,40864.6179682838
"CK-13",2004,51844.2142827446
"CK-13",2005,60849.1655325021
"CK-13",2006,72588.4503553123
"CK-13",2007,77738.9528352035
"CK-13",2008,90995.8223150426
"CK-13",2009,85675.5499618772
"CK-13",2010,77524.3469832066
"CK-13",2011,90379.6625369777
"CK-13",2012,77494.0899656328
"CK-13",2013,85618.9167338806
"CK-13",2014,70271.4158191311
"CK-13",2015,74195.5274113597
"CK-13",2016,88876.4877792134
"CK-13",2017,84109.9761881655
"CK-13",2018,81357.3594794464
"CK-13",2019,82687.0012641817
"CK-13",2020,89795.650633624
"CK-13",2021,107513.069661769
"CK-13",2022,145037.249823669
"CK-15",1995,17730.0900014592
"CK-15",1996,19675.1412016065
"CK-15",1997,24665.6261282593
"CK-15",1998,25771.5247277226
"CK-15",1999,33552.7048539833
"CK-15",2000,31804.8060525092
"CK-15",2001,35770.7106719562
"CK-15",2002,40188.4243962887
"CK-15",2003,38523.2318380498
"CK-15",2004,34070.3703593038
"CK-15",2005,28696.0537896307
"CK-15",2006,29301.1408820087
"CK-15",2007,23376.4292683998
"CK-15",2008,22661.059417846
"CK-15",2009,24684.5661085323
"CK-15",2010,25879.9113248733
"CK-15",2011,27022.5143451984
"CK-15",2012,19772.7112691366
"CK-15",2013,20423.5465489063
"CK-15",2014,18102.1807059083
"CK-15",2015,21666.4657796
"CK-15",2016,23903.0537378698
"CK-15",2017,19708.0997800504
"CK-15",2018,15544.1476514445
"CK-15",2019,14473.8877053966
"CK-15",2020,20424.5103435707
"CK-15",2021,24866.4572088907
"CK-15",2022,29500.7276668373
"CK-82",1995,NA
"CK-82",1996,NA
"CK-82",1997,NA
"CK-82",1998,NA
"CK-82",1999,NA
"CK-82",2000,NA
"CK-82",2001,NA
"CK-82",2002,NA
"CK-82",2003,81.8510332058335
"CK-82",2004,96.0423552551228
"CK-82",2005,NA
"CK-82",2006,NA
"CK-82",2007,NA
"CK-82",2008,NA
"CK-82",2009,NA
"CK-82",2010,73.9078521692362
"CK-82",2011,62.2606141921667
"CK-82",2012,85.3811005195155
"CK-82",2013,NA
"CK-82",2014,NA
"CK-82",2015,NA
"CK-82",2016,NA
"CK-82",2017,NA
"CK-82",2018,NA
"CK-82",2019,NA
"CK-82",2020,NA
"CK-82",2021,NA
"CK-82",2022,NA
