"CU_ID","Species","Stock","Year","DataType","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","NumStdMetrics","GenAvgUsed","Group","SynStatus","BinLabel","BinPath","IntStatus","IntScore","SynScore","ErrorScore","ErrorType"
"CU-1","Sockeye","Bowron_ES",2023,"Abs_Abd",NA,NA,NA,-97.0323,99.5,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-10","Sockeye","Seton_L",2023,"Abs_Abd",NA,NA,NA,-92.6404,92.6333,NA,NA,NA,1,NA,"SK-Fraser_Lat","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-11","Sockeye","Harrison_US_L",2023,"Abs_Abd",NA,NA,NA,-98.2371,98.6667,NA,NA,NA,1,NA,"SK-Fraser_Lat","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-12","Sockeye","Lillooet_Harr_L",2023,"Abs_Abd",NA,NA,NA,-99.3023,98.3333,NA,NA,NA,1,NA,"SK-Fraser_Lat","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-13","Sockeye","Harrison_DS_L",2023,"Rel_Idx",NA,NA,NA,-99.6149,99.8667,NA,NA,NA,1,NA,"SK-Fraser_Lat","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-14","Sockeye","Nahatlatch_ES",2023,"Abs_Abd",NA,NA,NA,-97.7128,92.8,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",1995,"Rel_Idx",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",1996,"Rel_Idx",NA,NA,NA,261.5348,6.7,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",1997,"Rel_Idx",NA,NA,NA,734.2444,0.4,NA,NA,NA,1,671.044127550769,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",1998,"Rel_Idx",NA,NA,NA,1762.9736,0.4333,NA,NA,NA,1,724.40584316793,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",2019,"Rel_Idx",NA,NA,NA,-88.353,93.1333,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",2020,"Rel_Idx",NA,NA,NA,-94.4151,97.8,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",2021,"Rel_Idx",NA,NA,NA,-98.2575,99.4333,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",2022,"Rel_Idx",NA,NA,NA,-99.8641,99.8,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-15","Sockeye","Taseko_ES",2023,"Rel_Idx",NA,NA,NA,-99.9003,99.9667,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-16","Sockeye","Widgeon_RT",2023,"Abs_Abd",NA,NA,NA,-97.1027,99.8667,NA,NA,NA,1,NA,"SK-Fraser_RT","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",1995,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",1996,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",1997,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",1998,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",1999,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",2000,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",2001,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",2002,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",2003,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
"CU-17","Sockeye","Chilliwack_ES",2023,"Abs_Abd",NA,NA,NA,-98.3198,97.6,NA,NA,NA,1,NA,"SK-Fraser_Esum","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"NA"
