"Year","Gates Channel","Gates Creek","Gates River","EFS"
1950,NA,NA,0,0
1951,NA,NA,0,0
1952,NA,NA,4147,4147
1953,NA,NA,29,29
1954,NA,NA,18,18
1955,NA,NA,31,31
1956,NA,NA,4147,4147
1957,NA,NA,429,429
1958,NA,NA,31,31
1959,NA,NA,370,370
1960,NA,NA,2772,2772
1961,NA,NA,120,120
1962,NA,NA,68,68
1963,NA,NA,1068,1068
1964,NA,NA,8206,8206
1965,NA,NA,941,941
1966,NA,NA,30,30
1967,NA,NA,351,351
1968,2447,NA,1387,3834
1969,280,NA,80,360
1970,7,NA,7,14
1971,73,NA,42,115
1972,2241,NA,887,3128
1973,288,NA,63,351
1974,34,NA,3,37
1975,1006,NA,240,1246
1976,7384,NA,1436,8820
1977,725,NA,449,1174
1978,81,NA,48,129
1979,1451,NA,198,1649
1980,9511,NA,1521,11032
1981,1744,NA,163,1907
1982,411,NA,28,439
1983,2872,NA,183,3055
1984,8598,NA,550,9148
1985,1798,NA,234,2032
1986,1690,NA,190,1880
1987,3369,NA,736,4105
1988,10091,NA,7750,17841
1989,8149,NA,1646,9795
1990,2693,NA,611,3304
1991,4106,NA,512,4618
1992,8492,NA,732,9224
1993,8207,NA,573,8780
1994,1706,NA,0,1706
1995,NA,NA,4533,4533
1996,4345,NA,9794,14139
1997,1809,NA,68,1877
1998,2311,NA,131,2442
1999,1736,NA,29,1765
2000,4314,NA,12257,16571
2001,3865,NA,142,4007
2002,1096,NA,48,1144
2003,4519,NA,517,5036
2004,5047,NA,436,5483
2005,7671,NA,1180,8851
2006,1456,NA,0,1456
2007,1079,NA,0,1079
2008,1112,NA,640,1752
2009,2771,NA,2503,5274
2010,3552,NA,2351,5903
2011,5136,NA,21297,26433
2012,2588,NA,4311,6899
2013,5302,NA,17702,23004
2014,3211,NA,5245,8456
2015,3484,NA,6159,9643
2016,1584,NA,1951,3535
2017,1093,NA,2111,3204
2018,820,NA,753,1573
2019,1178,NA,3765,4943
2020,NA,NA,3274,3274
2021,NA,NA,15405,15405
