"Year","Bowron River, upper","Huckey Creek","Pomeroy Creek","Sus Creek","EFS"
1950,7298,NA,NA,NA,7298
1951,10040,NA,NA,NA,10040
1952,8568,NA,NA,NA,8568
1953,5734,NA,NA,NA,5734
1954,4566,NA,NA,NA,4566
1955,4472,NA,NA,NA,4472
1956,3639,NA,NA,NA,3639
1957,6416,NA,NA,NA,6416
1958,8297,NA,NA,NA,8297
1959,14614,NA,NA,NA,14614
1960,3506,NA,NA,NA,3506
1961,3675,NA,NA,NA,3675
1962,3219,NA,NA,NA,3219
1963,11467,NA,NA,NA,11467
1964,690,NA,NA,NA,690
1965,1170,NA,NA,NA,1170
1966,1151,NA,NA,NA,1151
1967,13991,NA,NA,NA,13991
1968,1710,NA,NA,NA,1710
1969,1936,NA,NA,NA,1936
1970,497,NA,NA,NA,497
1971,10761,NA,NA,NA,10761
1972,1969,NA,NA,NA,1969
1973,2012,NA,NA,NA,2012
1974,1046,NA,NA,NA,1046
1975,14735,NA,NA,NA,14735
1976,1069,NA,NA,NA,1069
1977,1214,NA,NA,NA,1214
1978,1678,NA,NA,NA,1678
1979,16178,NA,NA,NA,16178
1980,1376,NA,NA,NA,1376
1981,562,NA,NA,NA,562
1982,990,NA,NA,NA,990
1983,3484,NA,NA,NA,3484
1984,4909,NA,NA,NA,4909
1985,3030,NA,NA,NA,3030
1986,1396,NA,NA,NA,1396
1987,5660,NA,NA,NA,5660
1988,7405,NA,NA,NA,7405
1989,1367,NA,NA,NA,1367
1990,5065,NA,NA,NA,5065
1991,2460,NA,NA,NA,2460
1992,1117,NA,NA,NA,1117
1993,592,NA,NA,NA,592
1994,1845,NA,NA,NA,1845
1995,13467,NA,NA,NA,13467
1996,4055,NA,NA,NA,4055
1997,2119,NA,NA,NA,2119
1998,2830,NA,NA,NA,2830
1999,3295,NA,NA,NA,3295
2000,6720,NA,NA,NA,6720
2001,2752,NA,NA,NA,2752
2002,4505,NA,NA,NA,4505
2003,3038,NA,NA,NA,3038
2004,418,40,NA,NA,458
2005,825,41,NA,NA,866
2006,614,22,NA,NA,636
2007,1024,51,NA,NA,1075
2008,275,0,NA,NA,275
2009,833,10,NA,NA,843
2010,4023,72,NA,NA,4095
2011,1988,49,NA,NA,2037
2012,30,0,NA,NA,30
2013,1922,2,NA,NA,1924
2014,6161,91,NA,NA,6252
2015,2194,17,NA,NA,2211
2016,72,0,NA,NA,72
2017,122,0,NA,NA,122
2018,4722,124,NA,NA,4846
2019,10,NA,NA,NA,10
2020,172,0,NA,NA,172
2021,1609,100,NA,NA,1709
2022,1521,4,NA,NA,1525
2023,NA,NA,NA,NA,NA
