"Year","Bowron River, upper","Huckey Creek","ETS"
1950,14253.6888,NA,14253.6888
1951,19184.1268,NA,19184.1268
1952,16459.806,NA,16459.806
1953,11720.9356,NA,11720.9356
1954,9282.642,NA,9282.642
1955,8254.18,NA,8254.18
1956,6174.3032,NA,6174.3032
1957,10603.3108,NA,10603.3108
1958,13103.4004,NA,13103.4004
1959,25819.2516,NA,25819.2516
1960,6726.936,NA,6726.936
1961,6575.9772,NA,6575.9772
1962,5549.2808,NA,5549.2808
1963,19275.6047,NA,19275.6047
1964,1324.2,NA,1324.2
1965,2127.2,NA,2127.2
1966,2092.584,NA,2092.584
1967,27980.346,NA,27980.346
1968,3419.617,NA,3419.617
1969,3872,NA,3872
1970,873.306,NA,873.306
1971,19964.151,NA,19964.151
1972,3653.0264,NA,3653.0264
1973,4023.8024,NA,4023.8024
1974,1850,NA,1850
1975,26219.16,NA,26219.16
1976,2037.15,NA,2037.15
1977,2207,NA,2207
1978,2772.8748,NA,2772.8748
1979,30898,NA,30898
1980,2638.7492,NA,2638.7492
1981,1032.876,NA,1032.876
1982,1647,NA,1647
1983,5805.9,NA,5805.9
1984,9562.4001,NA,9562.4001
1985,5845.6695,NA,5845.6695
1986,2850.1638,NA,2850.1638
1987,11071,NA,11071
1988,12464.334,NA,12464.334
1989,2534,NA,2534
1990,7513.374,NA,7513.374
1991,4919,NA,4919
1992,2560,NA,2560
1993,1184,NA,1184
1994,4380,NA,4380
1995,27557.6919,NA,27557.6919
1996,8146.5664,NA,8146.5664
1997,4755.1924,NA,4755.1924
1998,4751,NA,4751
1999,8238,NA,8238
2000,12480.384,NA,12480.384
2001,5504.9166,NA,5504.9166
2002,8432.355,NA,8432.355
2003,6076.8,NA,6076.8
2004,836,80,916
2005,1649,81,1730
2006,1383.3216,48.8448,1432.1664
2007,2030.3097,102.0552,2132.3649
2008,773.3475,0,773.3475
2009,1666.7392,20.4622,1687.2014
2010,8045.5864,143.6192,8189.2056
2011,3896.6928,94.4004,3991.0932
2012,59,0,59
2013,3221.1206,3.9608,3225.0814
2014,11252.9385,165.6375,11418.576
2015,3431.909,26.129,3458.038
2016,143,0,143
2017,244,0,244
2018,8087.625,213.3,8300.925
2019,20,NA,20
2020,344,0,344
2021,2886.5644,178.5904,3065.1548
