"Year","Chilko Channel","Chilko River","S. End Chilko Lake","EFS"
1950,NA,6555,0,6555
1951,NA,57563,0,57563
1952,NA,233628,0,233628
1953,NA,94471,0,94471
1954,NA,21247,0,21247
1955,NA,75834,0,75834
1956,NA,368607,0,368607
1957,NA,83128,0,83128
1958,NA,70433,0,70433
1959,NA,272891,0,272891
1960,NA,244864,0,244864
1961,NA,15038,0,15038
1962,NA,42125,0,42125
1963,NA,57207,0,57207
1964,NA,131590,0,131590
1965,NA,20813,0,20813
1966,NA,107541,0,107541
1967,NA,90006,0,90006
1968,NA,181912,0,181912
1969,NA,25519,0,25519
1970,NA,50923,0,50923
1971,NA,90643,6722,97365
1972,NA,331140,1213,332353
1973,NA,30231,0,30231
1974,NA,70790,337,71127
1975,NA,102022,31760,133782
1976,NA,211581,16745,228326
1977,NA,19832,553,20385
1978,NA,82726,2844,85570
1979,NA,134853,13067,147920
1980,NA,276086,17148,293234
1981,NA,20084,80,20164
1982,NA,135971,6544,142515
1983,NA,178374,35341,213715
1984,NA,220003,63149,283152
1985,NA,34718,261,34979
1986,NA,158632,6872,165504
1987,NA,139496,128615,268111
1988,2040,133032,71134,206206
1989,803,34089,7919,42811
1990,6095,491896,NA,497991
1991,10059,587478,NA,597537
1992,4446,315513,NA,319959
1993,3112,319186,NA,322298
1994,418,253558,NA,253976
1995,3558,294469,NA,298027
1996,NA,504469,NA,504469
1997,3568,505730,NA,509298
1998,NA,467624,NA,467624
1999,NA,432565,NA,432565
2000,NA,395559,NA,395559
2001,NA,331244,NA,331244
2002,NA,215050,NA,215050
2003,NA,334896,NA,334896
2004,0,49193,NA,49193
2005,NA,285065,NA,285065
2006,NA,261918,NA,261918
2007,NA,156518,NA,156518
2008,NA,68731,NA,68731
2009,NA,127367,NA,127367
2010,NA,1181540,NA,1181540
2011,NA,457653,NA,457653
2012,NA,90759,NA,90759
2013,NA,624483,NA,624483
2014,NA,669181,NA,669181
2015,NA,429012,NA,429012
2016,NA,66013,NA,66013
2017,NA,212956,NA,212956
2018,NA,388737,NA,388737
2019,NA,74636,NA,74636
2020,NA,27054,NA,27054
2021,NA,539551,NA,539551
