"Year","Chilliwack Lake","Chilliwack River, upper","EFS"
1950,0,NA,0
1951,0,NA,0
1952,0,NA,0
1953,0,NA,0
1954,0,NA,0
1955,0,NA,0
1956,0,NA,0
1957,0,NA,0
1958,0,NA,0
1959,0,NA,0
1960,0,NA,0
1961,0,NA,0
1962,0,NA,0
1963,0,NA,0
1964,0,NA,0
1965,0,NA,0
1966,0,NA,0
1967,0,NA,0
1968,25,NA,25
1969,0,NA,0
1970,0,NA,0
1971,0,0,0
1972,216,NA,216
1973,0,0,0
1974,200,0,200
1975,130,NA,130
1976,784,NA,784
1977,0,0,0
1978,832,NA,832
1979,0,NA,0
1980,0,NA,0
1981,0,NA,0
1982,2675,NA,2675
1983,182,NA,182
1984,72,NA,72
1985,10,NA,10
1986,579,NA,579
1987,772,NA,772
1988,3887,143,4030
1989,65,0,65
1990,1290,0,1290
1991,770,NA,770
1992,1374,892,2266
1993,220,NA,220
1994,3938,28,3966
1995,346,NA,346
1996,1805,NA,1805
1997,300,NA,300
1998,424,NA,424
1999,210,NA,210
2000,3910,880,4790
2001,1108,12333,13441
2002,1427,730,2157
2003,1964,915,2879
2004,825,19562,20387
2005,169,1801,1970
2006,187,378,565
2007,510,561,1071
2008,905,18813,19718
2009,228,2127,2355
2010,1127,374,1501
2011,2105,361,2466
2012,1477,77253,78730
2013,380,5053,5433
2014,463,1281,1744
2015,417,2549,2966
2016,290,29822,30112
2017,12,2524,2536
2018,48,927,975
2019,45,574,619
2020,20,19220,19240
2021,5,873,878
2022,237,1649,1886
