"Year","Chilliwack Lake","Chilliwack River, upper","ETS"
1950,0,NA,0
1951,0,NA,0
1952,0,NA,0
1953,0,NA,0
1954,0,NA,0
1955,0,NA,0
1956,0,NA,0
1957,0,NA,0
1958,0,NA,0
1959,0,NA,0
1960,0,NA,0
1961,0,NA,0
1962,0,NA,0
1963,0,NA,0
1964,0,NA,0
1965,0,NA,0
1966,0,NA,0
1967,0,NA,0
1968,50,NA,50
1969,0,NA,0
1970,0,NA,0
1971,0,0,0
1972,431.2,NA,431.2
1973,0,0,0
1974,400,0,400
1975,260,NA,260
1976,1260.61,NA,1260.61
1977,0,0,0
1978,1539,NA,1539
1979,0,NA,0
1980,0,NA,0
1981,0,NA,0
1982,3781,NA,3781
1983,270,NA,270
1984,180,NA,180
1985,20,NA,20
1986,1129.08,NA,1129.08
1987,1677.7332,NA,1677.7332
1988,6507.228,263,6770.228
1989,89,0,89
1990,2212.829,0,2212.829
1991,1050,NA,1050
1992,2351.6334,1525.869,3877.5024
1993,500,NA,500
1994,7777.903,55.0648,7832.9678
1995,854.4536,NA,854.4536
1996,4077.0604,NA,4077.0604
1997,773,NA,773
1998,716.4144,NA,716.4144
1999,420.0144,NA,420.0144
2000,6687.3107,1421.1061,8108.4168
2001,2634.8085,24188.0919,26822.9004
2002,2693.465,1134,3827.465
2003,3356.0448,1564,4920.0448
2004,1619.8,38371.1456,39990.9456
2005,290.67,3107,3397.67
2006,346.1205,699.869,1045.9895
2007,916.0632,1007.0823,1923.1455
2008,1854.582,38557.6422,40412.2242
2009,504,4993.5392,5497.5392
2010,2049.1972,679.4603,2728.6575
2011,3809.0864,652.4455,4461.5319
2012,2585.2692,119525.4352,122110.7044
2013,788,10689.9264,11477.9264
2014,895.3776,2372.0774,3267.455
2015,784.4274,4791.1844,5575.6118
2016,506.4048,52208.8776,52715.2824
2017,29.019,6496.3868,6525.4058
2018,92.31,1818.1233,1910.4333
2019,98,1249,1347
