"Year","Stellako River","ETS"
1950,130446.3895,130446.3895
1951,90071.25,90071.25
1952,39216.9024,39216.9024
1953,40895.2604,40895.2604
1954,136439.9862,136439.9862
1955,49757.3963,49757.3963
1956,37746.116,37746.116
1957,36199.1234,36199.1234
1958,111588.7191,111588.7191
1959,78250.2435,78250.2435
1960,37923.552,37923.552
1961,33366.456,33366.456
1962,84089.6175,84089.6175
1963,77724.64,77724.64
1964,30241.31,30241.31
1965,38254.6505,38254.6505
1966,95691.0825,95691.0825
1967,55006.924,55006.924
1968,26948.5632,26948.5632
1969,44324.3477,44324.3477
1970,41922.5738,41922.5738
1971,38579.652,38579.652
1972,36112.8,36112.8
1973,29382.4256,29382.4256
1974,40007.8575,40007.8575
1975,111968.8524,111968.8524
1976,131982.6904,131982.6904
1977,20348.1963,20348.1963
1978,57360.7622,57360.7622
1979,269623.0432,269623.0432
1980,52416.375,52416.375
1981,21014.0728,21014.0728
1982,62950.056,62950.056
1983,111822.7788,111822.7788
1984,59695.1901,59695.1901
1985,40149.8163,40149.8163
1986,74938.867,74938.867
1987,183960.5775,183960.5775
1988,333468.9438,333468.9438
1989,38804.9673,38804.9673
1990,93356.48,93356.48
1991,94400.0916,94400.0916
1992,97430.3176,97430.3176
1993,87719.5872,87719.5872
1994,123065.4418,123065.4418
1995,87823.7484,87823.7484
1996,309650.1447,309650.1447
1997,51692.3666,51692.3666
1998,183079.1542,183079.1542
1999,125994.7577,125994.7577
2000,346743.6924,346743.6924
2001,138039.5853,138039.5853
2002,321646.0537,321646.0537
2003,77968.0512,77968.0512
2004,86651.262,86651.262
2005,174720.5133,174720.5133
2006,145702.3911,145702.3911
2007,38848.32,38848.32
2008,137964.8469,137964.8469
2009,27444.6065,27444.6065
2010,195989.7695,195989.7695
2011,51112.9174,51112.9174
2012,78931.424,78931.424
2013,97551.7103,97551.7103
2014,458122.7007,458122.7007
2015,94146.899,94146.899
2016,29820.8219,29820.8219
2017,89387.3354,89387.3354
2018,176667.403,176667.403
2019,45720.3451,45720.3451
2020,43798.6141,43798.6141
2021,117665.6897,117665.6897
2022,122757.5388,122757.5388
