"Year","Big Silver Creek","EFS"
1950,11,11
1951,73,73
1952,2667,2667
1953,65,65
1954,123,123
1955,84,84
1956,2816,2816
1957,171,171
1958,0,0
1959,22,22
1960,2331,2331
1961,175,175
1962,119,119
1963,33,33
1964,2208,2208
1965,315,315
1966,145,145
1967,0,0
1968,479,479
1969,38,38
1970,106,106
1971,0,0
1972,921,921
1973,128,128
1974,435,435
1975,16,16
1976,633,633
1977,104,104
1978,694,694
1979,54,54
1980,171,171
1981,67,67
1982,894,894
1983,59,59
1984,56,56
1985,40,40
1986,1785,1785
1987,280,280
1988,166,166
1989,33,33
1990,864,864
1991,1177,1177
1992,1614,1614
1993,745,745
1994,316,316
1995,646,646
1996,1561,1561
1997,935,935
1998,2966,2966
1999,499,499
2000,3595,3595
2001,5790,5790
2002,14406,14406
2003,5805,5805
2004,9617,9617
2005,2837,2837
2006,10433,10433
2007,2461,2461
2008,831,831
2009,3377,3377
2010,5626,5626
2011,2748,2748
2012,948,948
2013,3724,3724
2014,2969,2969
2015,3933,3933
2016,1400,1400
2017,3072,3072
2018,496,496
2019,25,25
