"Year","Big Silver Creek","ETS"
1950,21.9775,21.9775
1951,184.611,184.611
1952,5720.9,5720.9
1953,129.989,129.989
1954,245.2689,245.2689
1955,167.9081,167.9081
1956,5630.17,5630.17
1957,341.9699,341.9699
1958,0,0
1959,35,35
1960,4032.0182,4032.0182
1961,349.8818,349.8818
1962,237.357,237.357
1963,65.0534,65.0534
1964,3926,3926
1965,523.9436,523.9436
1966,289.2239,289.2239
1967,0,0
1968,958.219,958.219
1969,74.7235,74.7235
1970,212.8,212.8
1971,0,0
1972,1841.296,1841.296
1973,237.357,237.357
1974,778,778
1975,31,31
1976,1587.814,1587.814
1977,174.1439,174.1439
1978,1253,1253
1979,84.2022,84.2022
1980,404.5032,404.5032
1981,115.3391,115.3391
1982,1786.589,1786.589
1983,117.2825,117.2825
1984,124,124
1985,79.5,79.5
1986,2591.0716,2591.0716
1987,493.5612,493.5612
1988,249.8554,249.8554
1989,65,65
1990,1373,1373
1991,2078,2078
1992,3228,3228
1993,1169,1169
1994,632,632
1995,1314.6457,1314.6457
1996,3291.4408,3291.4408
1997,1559,1559
1998,5665.7416,5665.7416
1999,681.9722,681.9722
2000,8043.3836,8043.3836
2001,10487.9254,10487.9254
2002,29213.067,29213.067
2003,10753.722,10753.722
2004,19692.183,19692.183
2005,4423.573,4423.573
2006,21253.2742,21253.2742
2007,4277.8528,4277.8528
2008,1530.0175,1530.0175
2009,6008.6261,6008.6261
2010,9888.5864,9888.5864
2011,5728.8,5728.8
2012,1649.94,1649.94
2013,5797.715,5797.715
2014,4863.8624,4863.8624
2015,6483.5096,6483.5096
2016,2864.4875,2864.4875
2017,5478.6122,5478.6122
2018,947.085,947.085
2019,50,50
2020,146,146
2021,1750.3515,1750.3515
